occcd,soctitle,employment_2024,employment_2030,employment_change
53-1047,"First-Line Supervisors of Transportation and Material-Moving Workers, Except Aircraft Cargo Handling Supervisors",2751.1261827295943,2697.2940811635103,-53.83210156608402
13-1082,Project Management Specialists,2040.1662723373645,2100.928518497385,60.762246160020595
53-3099,"Motor Vehicle Operators, All Other",1645.0134509327606,1702.009122971605,56.995672038844305
51-9199,"Production Workers, All Other",1150.3849902708225,1137.9754692952085,-12.409520975613987
13-2051,Financial and Investment Analysts,526.6511736750635,538.450316892831,11.799143217767437
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",569.4868417267116,523.0762449995664,-46.410596727145276
51-4199,"Metal Workers and Plastic Workers, All Other",340.57089475199695,298.48503838237326,-42.085856369623684
43-9199,"Office and Administrative Support Workers, All Other",131.87581985133258,126.11847205129143,-5.7573478000411455
23-2099,"Legal Support Workers, All Other",92.39054431808619,93.8035865988453,1.4130422807591145
53-7199,"Material Moving Workers, All Other",41.669075144499935,42.29439086486902,0.6253157203690876
17-3028,Calibration Technologists and Technicians,33.53031980482513,31.24241872069374,-2.287901084131395
29-2072,Medical Records Specialists,0.33534541199858,0.3762895731152694,0.040944161116689415
