legacy_stage,legacy_sector,naics_code,legacy_naics_title,legacy_bea_share_to_set,naics_title,segment_id,segment_name,stage,share_of_intermediate_inputs,share_of_total_commodity_output,merge_status
Upstream,1. Materials & Processing - Non-Metals,3252,"""Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing""",0.012321176,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1.0,Materials & Processing - Non-Metals,Upstream,0.0254537475314253,0.02246672876682,both
Upstream,1. Materials & Processing - Coatings & Surface Treatments,3255,"""Paint, Coating, and Adhesive Manufacturing""",0.012321176,"Paint, Coating, and Adhesive Manufacturing",1.0,Materials & Processing - Coatings & Surface Treatments,Upstream,0.1734086271001649,0.1465252515708414,both
Upstream,1. Materials & Processing - Non-Metals,3261,"""Plastics Product Manufacturing""",0.060836224,Plastics Product Manufacturing,1.0,Materials & Processing - Non-Metals,Upstream,0.0468238109936048,0.0451953482294525,both
Upstream,1. Materials & Processing - Non-Metals,3262,"""Rubber Product Manufacturing""",0.060836224,Rubber Product Manufacturing,1.0,Materials & Processing - Non-Metals,Upstream,0.1613774132749223,0.1503987846562856,both
Upstream,1. Materials & Processing - Non-Metals,3272,"""Glass and Glass Product Manufacturing""",0.035458353,Glass and Glass Product Manufacturing,1.0,Materials & Processing - Non-Metals,Upstream,0.1190707463169823,0.1121744766843329,both
Upstream,1. Materials & Processing - Metals,3311,"""Iron and Steel Mills and Ferroalloy Manufacturing""",0.145481535,Iron and Steel Mills and Ferroalloy Manufacturing,1.0,Materials & Processing - Metals,Upstream,0.1181021731710092,0.1425083110235062,both
Upstream,1. Materials & Processing - Metals,3312,"""Steel Product Manufacturing from Purchased Steel""",0.145481535,Steel Product Manufacturing from Purchased Steel,1.0,Materials & Processing - Metals,Upstream,0.0088647904294689,0.0111387477019573,both
Upstream,1. Materials & Processing - Metals,3313,"""Alumina and Aluminum Production and Processing""",0.145481535,Alumina and Aluminum Production and Processing,1.0,Materials & Processing - Metals,Upstream,0.071517290972086,0.0955124847214946,both
Upstream,1. Materials & Processing - Metals,3314,"""Nonferrous Metal (except Aluminum) Production and Processing""",0.145481535,Nonferrous Metal (except Aluminum) Production and Processing,1.0,Materials & Processing - Metals,Upstream,0.0575960355318826,0.0743424058481822,both
Upstream,3. Forging & Foundries,3315,"""Foundries""",0.145481535,Foundries,3.0,Forging & Foundries,Upstream,0.3643117465657415,0.3607592740396294,both
Upstream,3. Forging & Foundries,3321,"""Forging and Stamping""",0.053466266,Forging and Stamping,3.0,Forging & Foundries,Upstream,0.1647503285151117,0.1633710134540834,both
Upstream,4. Parts & Machining,3326,"""Spring and Wire Product Manufacturing""",0.053466266,Spring and Wire Product Manufacturing,4.0,Parts & Machining,Upstream,0.0998417721518987,0.1117803365810451,both
