NAICS,Code,Commodity Description,3361MV,T001_Intermediate Inputs,Final Use (GDP),Total Commodity Output
3252,325211,Plastics material and resin manufacturing,1830,76307.0,12230.0,88537.0
3252,3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,606,19396.0,494.0,19890.0
3255,325510,Paint and coating manufacturing,4168,23433.0,3689.0,27121.0
3255,325520,Adhesive manufacturing,2035,12338.0,2875.0,15213.0
3261,326110,Plastics packaging materials and unlaminated film and sheet manufacturing,1897,37419.0,2717.0,40136.0
3261,326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",346,17467.0,290.0,17757.0
3261,326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",166,4500.0,29.0,4529.0
3261,326140,Polystyrene foam product manufacturing,118,8133.0,801.0,8934.0
3261,326150,Urethane and other foam product (except polystyrene) manufacturing,924,9898.0,702.0,10600.0
3261,326160,Plastics bottle manufacturing,0,11616.0,-501.0,11115.0
3261,326190,Other plastics product manufacturing,5196,95638.0,2616.0,98254.0
3262,326210,Tire manufacturing,2208,15731.0,3117.0,18847.0
3262,326220,Rubber and plastics hoses and belting manufacturing,1210,6759.0,-828.0,5931.0
3262,326290,Other rubber product manufacturing,2918,16772.0,578.0,17350.0
3272,327200,Glass and glass product manufacturing,2942,24708.0,1519.0,26227.0
3311,331110,Iron and steel mills and ferroalloy manufacturing,14532,123046.0,-21073.0,101973.0
3312,331200,Steel product manufacturing from purchased steel,103,11619.0,-2372.0,9247.0
3313,331313,Alumina refining and primary aluminum production,571,18739.0,-9923.0,8816.0
3313,33131B,Aluminum product manufacturing from purchased aluminum,2711,27152.0,-1606.0,25546.0
3314,331410,Nonferrous metal (except aluminum) smelting and refining,516,30136.0,-14664.0,15472.0
3314,331420,"Copper rolling, drawing, extruding and alloying",2521,20570.0,-640.0,19930.0
3314,331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",380,8621.0,1940.0,10561.0
3315,331510,Ferrous metal foundries,4438,16237.0,256.0,16493.0
3315,331520,Nonferrous metal foundries,5958,12299.0,25.0,12324.0
3321,332114,Custom roll forming,2587,6682.0,30.0,6712.0
3321,332119,"Metal crown, closure, and other metal stamping (except automotive)",1127,10874.0,69.0,10943.0
3321,33211A,"All other forging, stamping, and sintering",1301,12884.0,158.0,13042.0
3326,332600,Spring and wire product manufacturing,631,6320.0,-675.0,5645.0
3327,332710,Machine shops,3514,35638.0,1406.0,37044.0
3327,332720,"Turned product and screw, nut, and bolt manufacturing",4683,31132.0,-2022.0,29110.0
3328,332800,"Coating, engraving, heat treating and allied activities",1628,25747.0,375.0,26122.0
3329,332913,Plumbing fixture fitting and trim manufacturing,35,5468.0,-998.0,4470.0
3329,33291A,Valve and fittings other than plumbing,935,28303.0,-4188.0,24115.0
3329,332991,Ball and roller bearing manufacturing,603,7454.0,-1471.0,5983.0
3329,332996,Fabricated pipe and pipe fitting manufacturing,4,5311.0,638.0,5949.0
3329,332999,Other fabricated metal manufacturing,180,16549.0,-2648.0,13901.0
3329,33299A,"Ammunition, arms, ordnance, and accessories manufacturing",0,5457.0,7607.0,13063.0
3335,333511,Industrial mold manufacturing,6,2285.0,4100.0,6385.0
3335,333514,"Special tool, die, jig, and fixture manufacturing",278,2334.0,7973.0,10307.0
3335,333517,Machine tool manufacturing,77,1987.0,5614.0,7601.0
