segment,occcd,soctitle,occ_level,year,employment,share_within_level,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped
1. Materials & Processing,00-0000,Total all occupations,major,2021,72030.0,,"Total, all occupations",Summary,169956.1,175167.9,5211.8,3.1,18863.3,49500,—,—,—,
1. Materials & Processing,11-0000,Management Occupations,major,2021,4640.0,0.06444444444444444,  Management occupations,Summary,13607.6,14441.0,833.4,6.1,1147.9,122090,—,—,—,
1. Materials & Processing,11-1011,Chief Executives,detailed,2021,90.0,0.0012665353222628764,      Chief executives,Line item,309.4,322.7,13.3,4.3,22.2,206420,Bachelor's degree,5 years or more,nan,BA+
1. Materials & Processing,11-1021,General and Operations Managers,detailed,2021,1320.0,0.018575851393188854,      General and operations managers,Line item,3712.9,3876.8,164.0,4.4,308.7,102950,Bachelor's degree,5 years or more,nan,BA+
1. Materials & Processing,11-2021,Marketing Managers,detailed,2021,80.0,0.001125809175344779,        Marketing managers,Line item,407.0,433.7,26.7,6.6,34.3,161030,Bachelor's degree,5 years or more,nan,BA+
1. Materials & Processing,11-2022,Sales Managers,detailed,2021,250.0,0.0035181536729524347,        Sales managers,Line item,619.5,648.5,29.0,4.7,49.0,138060,Bachelor's degree,Less than 5 years,nan,BA+
1. Materials & Processing,11-3012,Administrative Services Managers,detailed,2021,,,        Administrative services managers,Line item,271.2,283.8,12.6,4.6,23.2,108390,Bachelor's degree,Less than 5 years,nan,BA+
1. Materials & Processing,11-3013,Facilities Managers,detailed,2021,40.0,0.0005629045876723895,        Facilities managers,Line item,151.4,157.1,5.7,3.8,13.2,104690,Bachelor's degree,Less than 5 years,nan,BA+
1. Materials & Processing,11-3021,Computer and Information Systems Managers,detailed,2021,150.0,0.0021108922037714607,      Computer and information systems managers,Line item,667.1,768.7,101.6,15.2,55.6,171200,Bachelor's degree,5 years or more,nan,BA+
1. Materials & Processing,11-3031,Financial Managers,detailed,2021,320.0,0.004503236701379116,      Financial managers,Line item,868.6,997.4,128.8,14.8,74.6,161700,Bachelor's degree,5 years or more,nan,BA+
1. Materials & Processing,11-3051,Industrial Production Managers,detailed,2021,1470.0,0.020686743596960315,      Industrial production managers,Line item,241.9,246.5,4.6,1.9,17.1,121440,Bachelor's degree,5 years or more,nan,BA+
1. Materials & Processing,11-3061,Purchasing Managers,detailed,2021,90.0,0.0012665353222628764,      Purchasing managers,Line item,83.5,86.1,2.6,3.1,6.4,139510,Bachelor's degree,5 years or more,nan,BA+
1. Materials & Processing,11-3071,"Transportation, Storage, and Distribution Managers",detailed,2021,100.0,0.0014072614691809737,"      Transportation, storage, and distribution managers",Line item,216.7,229.8,13.1,6.1,18.5,102010,High school diploma or equivalent,5 years or more,nan,HS or less
1. Materials & Processing,11-3121,Human Resources Managers,detailed,2021,120.0,0.0016887137630171687,      Human resources managers,Line item,221.9,233.0,11.1,5.0,17.9,140030,Bachelor's degree,5 years or more,nan,BA+
1. Materials & Processing,11-9041,Architectural and Engineering Managers,detailed,2021,450.0,0.0063326766113143826,      Architectural and engineering managers,Line item,212.5,220.5,8.0,3.8,14.5,167740,Bachelor's degree,5 years or more,nan,BA+
1. Materials & Processing,11-9121,Natural Sciences Managers,detailed,2021,60.0,0.0008443568815085843,      Natural sciences managers,Line item,104.3,108.2,3.9,3.7,8.5,161180,Bachelor's degree,5 years or more,nan,BA+
1. Materials & Processing,11-9199,"Managers, All Other",detailed,2021,70.0,0.0009850830284266817,"      Managers, all other",Line item,1333.7,1393.5,59.8,4.5,106.7,136550,Bachelor's degree,Less than 5 years,nan,BA+
1. Materials & Processing,13-0000,Business and Financial Operations Occupations,major,2021,3300.0,0.04583333333333333,  Business and financial operations occupations,Summary,11262.0,11848.9,586.9,5.2,942.5,80920,—,—,—,
1. Materials & Processing,13-1020,Buyers and Purchasing Agents,detailed,2021,520.0,0.007317759639741064,      Buyers and purchasing agents,Line item,522.2,552.3,30.1,5.8,52.2,75650,Bachelor's degree,nan,Moderate-term on-the-job training,BA+
1. Materials & Processing,13-1041,Compliance Officers,detailed,2021,40.0,0.0005629045876723895,      Compliance officers,Line item,418.0,430.3,12.3,3.0,33.3,78420,Bachelor's degree,nan,Moderate-term on-the-job training,BA+
1. Materials & Processing,13-1051,Cost Estimators,detailed,2021,150.0,0.0021108922037714607,      Cost estimators,Line item,221.4,212.1,-9.3,-4.2,16.9,77070,Bachelor's degree,nan,Moderate-term on-the-job training,BA+
1. Materials & Processing,13-1071,Human Resources Specialists,detailed,2021,470.0,0.006614128905150577,        Human resources specialists,Line item,944.3,1002.7,58.4,6.2,81.8,72910,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,13-1081,Logisticians,detailed,2021,290.0,0.004081058260624824,        Logisticians,Line item,241.0,281.3,40.3,16.7,26.4,80880,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,13-1082,Project Management Specialists,detailed,2021,320.0,0.004503236701379116,        Project management specialists,Line item,1046.3,1105.0,58.7,5.6,78.2,100750,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,13-1111,Management Analysts,detailed,2021,140.0,0.0019701660568533634,      Management analysts,Line item,1075.1,1169.7,94.5,8.8,98.1,101190,Bachelor's degree,Less than 5 years,nan,BA+
1. Materials & Processing,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,2021,40.0,0.0005629045876723895,"      Compensation, benefits, and job analysis specialists",Line item,107.0,112.7,5.6,5.3,8.5,77020,Bachelor's degree,Less than 5 years,nan,BA+
1. Materials & Processing,13-1151,Training and Development Specialists,detailed,2021,280.0,0.003940332113706727,      Training and development specialists,Line item,452.3,501.0,48.7,10.8,43.9,65850,Bachelor's degree,Less than 5 years,nan,BA+
1. Materials & Processing,13-1161,Market Research Analysts and Marketing Specialists,detailed,2021,280.0,0.003940332113706727,      Market research analysts and marketing specialists,Line item,941.7,1004.7,63.0,6.7,87.2,76950,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,13-1199,"Business Operations Specialists, All Other",detailed,2021,100.0,0.0014072614691809737,"      Business operations specialists, all other",Line item,1205.7,1242.0,36.3,3.0,108.2,81270,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,13-2011,Accountants and Auditors,detailed,2021,590.0,0.008302842668167746,      Accountants and auditors,Line item,1579.8,1652.6,72.8,4.6,124.2,81680,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,13-2051,Financial and Investment Analysts,detailed,2021,60.0,0.0008443568815085843,        Financial and investment analysts,Line item,368.5,389.6,21.1,5.7,25.1,101350,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-0000,Computer and Mathematical Occupations,major,2021,690.0,0.009583333333333333,  Computer and mathematical occupations,Summary,5416.7,5962.3,545.6,10.1,355.4,105850,—,—,—,
1. Materials & Processing,15-1211,Computer Systems Analysts,detailed,2021,50.0,0.0007036307345904869,        Computer systems analysts,Line item,521.1,566.5,45.5,8.7,34.2,103790,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-1232,Computer User Support Specialists,detailed,2021,160.0,0.002251618350689558,        Computer user support specialists,Line item,729.5,702.5,-27.0,-3.7,40.8,60340,"Some college, no degree",nan,Moderate-term on-the-job training,SC or associate's
1. Materials & Processing,15-1244,Network and Computer Systems Administrators,detailed,2021,110.0,0.0015479876160990713,        Network and computer systems administrators,Line item,331.5,317.7,-13.8,-4.2,14.3,96800,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-1251,Computer Programmers,detailed,2021,30.0,0.00042217844075429216,        Computer programmers,Line item,121.2,113.9,-7.2,-6.0,5.5,98670,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-1252,Software Developers,detailed,2021,150.0,0.0021108922037714607,        Software developers,Line item,1693.8,1961.4,267.7,15.8,115.2,133080,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-1299,"Computer Occupations, All Other",detailed,2021,40.0,0.0005629045876723895,"      Computer occupations, all other",Line item,472.0,510.5,38.5,8.2,31.3,108970,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-2051,Data Scientists,detailed,2021,,,      Data scientists,Line item,245.9,328.3,82.5,33.5,23.4,112590,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-0000,Architecture and Engineering Occupations,major,2021,3750.0,0.052083333333333336,  Architecture and engineering occupations,Summary,2648.4,2788.3,139.9,5.3,186.5,97310,—,—,—,
1. Materials & Processing,17-2041,Chemical Engineers,detailed,2021,230.0,0.00323670137911624,      Chemical engineers,Line item,21.6,22.1,0.6,2.6,1.1,121860,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2071,Electrical Engineers,detailed,2021,40.0,0.0005629045876723895,        Electrical engineers,Line item,192.0,205.7,13.8,7.2,11.7,111910,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2072,"Electronics Engineers, Except Computer",detailed,2021,,,"        Electronics engineers, except computer",Line item,95.9,101.8,6.0,6.2,5.7,127590,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2081,Environmental Engineers,detailed,2021,,,      Environmental engineers,Line item,39.4,41.0,1.5,3.9,3.0,104170,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,2021,,,"        Health and safety engineers, except mining safety engineers and inspectors",Line item,23.8,24.9,1.1,4.4,1.5,109660,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2112,Industrial Engineers,detailed,2021,1800.0,0.02533070644525753,        Industrial engineers,Line item,351.1,389.6,38.5,11.0,25.2,101140,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2131,Materials Engineers,detailed,2021,130.0,0.001829439909935266,      Materials engineers,Line item,23.0,24.3,1.3,5.7,1.5,108310,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2141,Mechanical Engineers,detailed,2021,540.0,0.007599211933577259,      Mechanical engineers,Line item,293.1,319.6,26.5,9.1,18.1,102320,Bachelor's degree,nan,nan,BA+
