naics_code,segment_id,segment_name,stage,year,employment_qcew_raw,share_to_set,employment_adj
3252,1,Materials & Processing - Non-Metals,Upstream,2001,4283.0,0.09,385.46999999999997
3252,1,Materials & Processing - Non-Metals,Upstream,2002,3978.0,0.09,358.02
3252,1,Materials & Processing - Non-Metals,Upstream,2003,3895.0,0.09,350.55
3252,1,Materials & Processing - Non-Metals,Upstream,2004,3832.0,0.09,344.88
3252,1,Materials & Processing - Non-Metals,Upstream,2005,6830.0,0.09,614.6999999999999
3252,1,Materials & Processing - Non-Metals,Upstream,2006,6783.0,0.09,610.47
3252,1,Materials & Processing - Non-Metals,Upstream,2007,6779.0,0.09,610.11
3252,1,Materials & Processing - Non-Metals,Upstream,2008,6769.0,0.09,609.2099999999999
3252,1,Materials & Processing - Non-Metals,Upstream,2009,6523.0,0.09,587.0699999999999
3252,1,Materials & Processing - Non-Metals,Upstream,2010,6533.0,0.09,587.97
3252,1,Materials & Processing - Non-Metals,Upstream,2011,6916.0,0.09,622.4399999999999
3252,1,Materials & Processing - Non-Metals,Upstream,2012,7097.0,0.09,638.73
3252,1,Materials & Processing - Non-Metals,Upstream,2013,6984.0,0.09,628.56
3252,1,Materials & Processing - Non-Metals,Upstream,2014,6953.0,0.09,625.77
3252,1,Materials & Processing - Non-Metals,Upstream,2015,6829.0,0.09,614.61
3252,1,Materials & Processing - Non-Metals,Upstream,2016,6811.0,0.09,612.99
3252,1,Materials & Processing - Non-Metals,Upstream,2017,6837.0,0.09,615.3299999999999
3252,1,Materials & Processing - Non-Metals,Upstream,2018,7265.0,0.09,653.85
3252,1,Materials & Processing - Non-Metals,Upstream,2019,7361.0,0.09,662.49
3252,1,Materials & Processing - Non-Metals,Upstream,2020,6140.0,0.09,552.6
3252,1,Materials & Processing - Non-Metals,Upstream,2021,5947.0,0.09,535.23
3252,1,Materials & Processing - Non-Metals,Upstream,2022,5713.0,0.09,514.17
3252,1,Materials & Processing - Non-Metals,Upstream,2023,5346.0,0.09,481.14
3252,1,Materials & Processing - Non-Metals,Upstream,2024,5524.0,0.09,497.15999999999997
3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,2001,4166.0,0.56,2332.96
3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,2002,4122.0,0.56,2308.32
3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,2003,4023.0,0.56,2252.88
3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,2004,3984.0,0.56,2231.0400000000004
3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,2005,3423.0,0.56,1916.88
3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,2006,3299.0,0.56,1847.4400000000003
3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,2007,3260.0,0.56,1825.6000000000001
3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,2008,3024.0,0.56,1693.44
3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,2009,2493.0,0.56,1396.0800000000002
3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,2010,2425.0,0.56,1358.0000000000002
3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,2011,2788.0,0.56,1561.2800000000002
