series_id,year,employment,naics_code,segment_id,segment_name,stage,segment_label
ENU260001053252,2001,4283.0,3252,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053255,2001,4166.0,3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053261,2001,39596.0,3261,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053262,2001,6288.0,3262,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053272,2001,8879.0,3272,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053311,2001,7341.0,3311,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053312,2001,3124.0,3312,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053313,2001,2167.0,3313,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053314,2001,2746.0,3314,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053315,2001,16071.0,3315,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053328,2001,17977.0,3328,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053335,2001,49161.0,3335,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053339,2001,20727.0,3339,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053321,2001,6498.0,3321,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053326,2001,4191.0,3326,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053327,2001,26164.0,3327,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053329,2001,15390.0,3329,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053344,2001,8133.0,3344,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053336,2001,4912.0,3336,5,Component Systems,Upstream,5. Component Systems
ENU260001053345,2001,9488.0,3345,5,Component Systems,Upstream,5. Component Systems
ENU260001053359,2001,1798.0,3359,5,Component Systems,Upstream,5. Component Systems
ENU260001055413,2001,83373.0,5413,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055414,2001,3402.0,5414,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055417,2001,15682.0,5417,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001053361,2001,90361.0,3361,7,Core Automotive,OEM,7. Core Automotive
ENU260001053362,2001,10139.0,3362,7,Core Automotive,OEM,7. Core Automotive
ENU260001053363,2001,203833.0,3363,7,Core Automotive,OEM,7. Core Automotive
ENU260001054231,2001,20063.0,4231,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054235,2001,7797.0,4235,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054238,2001,26299.0,4238,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054239,2001,6498.0,4239,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054247,2001,3190.0,4247,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054413,2001,13540.0,4413,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054571,2001,30203.17649841309,4571,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054411,2001,42508.0,4411,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001058111,2001,33107.0,8111,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001054841,2001,24304.0,4841,10,Logistics,Downstream,10. Logistics
ENU260001054842,2001,12159.0,4842,10,Logistics,Downstream,10. Logistics
ENU260001053252,2002,3978.0,3252,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053255,2002,4122.0,3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053261,2002,37337.0,3261,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053262,2002,5751.0,3262,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053272,2002,8436.0,3272,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053311,2002,7068.0,3311,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053312,2002,2591.0,3312,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053313,2002,1742.0,3313,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053314,2002,2347.0,3314,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053315,2002,14575.0,3315,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053328,2002,16786.0,3328,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053335,2002,43233.0,3335,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053339,2002,18002.0,3339,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053321,2002,6278.0,3321,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053326,2002,3598.0,3326,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053327,2002,26087.0,3327,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053329,2002,14215.0,3329,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053344,2002,6974.0,3344,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053336,2002,4690.0,3336,5,Component Systems,Upstream,5. Component Systems
ENU260001053345,2002,8563.0,3345,5,Component Systems,Upstream,5. Component Systems
ENU260001053359,2002,2001.0,3359,5,Component Systems,Upstream,5. Component Systems
ENU260001055413,2002,76342.0,5413,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055414,2002,3538.0,5414,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055417,2002,22370.0,5417,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001053361,2002,81572.0,3361,7,Core Automotive,OEM,7. Core Automotive
ENU260001053362,2002,10090.0,3362,7,Core Automotive,OEM,7. Core Automotive
ENU260001053363,2002,191518.0,3363,7,Core Automotive,OEM,7. Core Automotive
ENU260001054231,2002,19374.0,4231,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054235,2002,7855.0,4235,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054238,2002,25009.0,4238,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
