stage,year,employment_qcew_raw,employment_bea,naics_count,share_min,share_max,share_weighted
Downstream,2001,219668.1764984131,219668.1764984131,11,1.0,1.0,1.0
Downstream,2002,216974.7277730306,216974.7277730306,11,1.0,1.0,1.0
Downstream,2003,211645.9299837748,211645.9299837748,11,1.0,1.0,1.0
Downstream,2004,210432.40278879803,210432.40278879803,11,1.0,1.0,1.0
Downstream,2005,208775.06699625653,208775.06699625653,11,1.0,1.0,1.0
Downstream,2006,206478.07436879477,206478.07436879477,11,1.0,1.0,1.0
Downstream,2007,204309.68500010174,204309.68500010174,11,1.0,1.0,1.0
Downstream,2008,198611.59295272827,198611.59295272827,11,1.0,1.0,1.0
Downstream,2009,179646.23037465411,179646.23037465411,11,1.0,1.0,1.0
Downstream,2010,180735.81250254312,180735.81250254312,11,1.0,1.0,1.0
Downstream,2011,187714.61084620157,187714.61084620157,11,1.0,1.0,1.0
Downstream,2012,194269.29066594443,194269.29066594443,11,1.0,1.0,1.0
Downstream,2013,200397.9054781596,200397.9054781596,11,1.0,1.0,1.0
Downstream,2014,210050.88727823892,210050.88727823892,11,1.0,1.0,1.0
Downstream,2015,217547.71697362262,217547.71697362262,11,1.0,1.0,1.0
Downstream,2016,220883.18589528403,220883.18589528403,11,1.0,1.0,1.0
Downstream,2017,222321.9301846822,222321.9301846822,11,1.0,1.0,1.0
Downstream,2018,226562.07780456543,226562.07780456543,11,1.0,1.0,1.0
Downstream,2019,229051.66566467285,229051.66566467285,11,1.0,1.0,1.0
Downstream,2020,210261.23542785645,210261.23542785645,11,1.0,1.0,1.0
Downstream,2021,218514.6236228943,218514.6236228943,11,1.0,1.0,1.0
Downstream,2022,227476.0,227476.0,11,1.0,1.0,1.0
Downstream,2023,232636.0,232636.0,11,1.0,1.0,1.0
Downstream,2024,231829.0,231829.0,11,1.0,1.0,1.0
OEM,2001,406790.0,304560.217147131,6,0.002217683,1.0,0.7486915045776223
OEM,2002,385430.0,283406.75808675,6,0.002217683,1.0,0.7353002051909555
OEM,2003,361927.0,262179.699551827,6,0.002217683,1.0,0.7243993942199034
OEM,2004,347949.0,249830.080293171,6,0.002217683,1.0,0.7180077548524956
OEM,2005,330040.0,232300.237573631,6,0.002217683,1.0,0.7038547981263816
OEM,2006,309403.0,214104.81090332998,6,0.002217683,1.0,0.6919933255441285
OEM,2007,291288.0,198274.73240926,6,0.002217683,1.0,0.6806828033055258
OEM,2008,255873.0,167197.092141259,6,0.002217683,1.0,0.6534378075891516
OEM,2009,200373.0,122770.48029532499,6,0.002217683,1.0,0.61270969789006
OEM,2010,206713.0,126211.92266444,6,0.002217683,1.0,0.6105659666515411
