stage,year,employment_qcew
Downstream,2001,219668.1764984131
Downstream,2002,216974.7277730306
Downstream,2003,211645.9299837748
Downstream,2004,210432.40278879803
Downstream,2005,208775.06699625653
Downstream,2006,206478.07436879477
Downstream,2007,204309.68500010174
Downstream,2008,198611.59295272827
Downstream,2009,179646.23037465411
Downstream,2010,180735.81250254312
Downstream,2011,187714.61084620157
Downstream,2012,194269.29066594443
Downstream,2013,200397.9054781596
Downstream,2014,210050.88727823892
Downstream,2015,217547.71697362262
Downstream,2016,220883.18589528403
Downstream,2017,222321.9301846822
Downstream,2018,226562.07780456543
Downstream,2019,229051.66566467285
Downstream,2020,210261.23542785645
Downstream,2021,218514.6236228943
Downstream,2022,227476.0
Downstream,2023,232636.0
Downstream,2024,231829.0
OEM,2001,304560.217147131
OEM,2002,283406.75808675
OEM,2003,262179.699551827
OEM,2004,249830.080293171
OEM,2005,232300.237573631
OEM,2006,214104.81090332998
OEM,2007,198274.73240926
OEM,2008,167197.092141259
OEM,2009,122770.48029532499
OEM,2010,126211.92266444
OEM,2011,137855.046912434
OEM,2012,150376.085020857
OEM,2013,160812.164740158
OEM,2014,170591.252805092
OEM,2015,166930.699725065
OEM,2016,173614.206932086
OEM,2017,180963.197128443
OEM,2018,183253.799170734
OEM,2019,181083.447259269
OEM,2020,154982.927271249
OEM,2021,175133.975417889
OEM,2022,177409.453269932
OEM,2023,179388.02117181302
OEM,2024,173348.581020381
Upstream,2001,15531.291111477
Upstream,2002,14301.686463480999
Upstream,2003,13815.577595825
Upstream,2004,13916.400831207
Upstream,2005,13845.120726927
Upstream,2006,13440.129514147
Upstream,2007,12811.704711004999
Upstream,2008,12205.434202011
Upstream,2009,9411.921174769
Upstream,2010,9994.191463919
Upstream,2011,11129.06674308
Upstream,2012,11715.36168482
Upstream,2013,11933.675616983
Upstream,2014,12387.597036127
Upstream,2015,12696.570305203999
Upstream,2016,12719.915277494
Upstream,2017,12834.685811553
Upstream,2018,13120.431522388999
Upstream,2019,12977.971179738
Upstream,2020,11134.434704308
Upstream,2021,11365.400447482
Upstream,2022,11612.870160894
Upstream,2023,11831.493951842
Upstream,2024,11602.590562029
