stage,year,employment_qcew
Downstream,2001,191105.44649841308
Downstream,2002,188971.9077730306
Downstream,2003,184271.49998377482
Downstream,2004,182221.07278879802
Downstream,2005,179507.84699625653
Downstream,2006,176129.05436879475
Downstream,2007,172390.66500010173
Downstream,2008,168120.42295272826
Downstream,2009,153130.41037465414
Downstream,2010,153943.96250254312
Downstream,2011,159061.61084620157
Downstream,2012,164152.76066594443
Downstream,2013,168523.8554781596
Downstream,2014,176073.6872782389
Downstream,2015,181612.77697362265
Downstream,2016,184188.45589528402
Downstream,2017,185765.3101846822
Downstream,2018,189395.94780456543
Downstream,2019,191198.47566467285
Downstream,2020,175229.51542785644
Downstream,2021,181924.6536228943
Downstream,2022,188989.83
Downstream,2023,194273.65
Downstream,2024,195139.18
OEM,2001,308828.57
OEM,2002,287397.7
OEM,2003,265984.81
OEM,2004,253579.61
OEM,2005,236034.89
OEM,2006,217710.18
OEM,2007,201840.0
OEM,2008,170625.89
OEM,2009,125755.39
OEM,2010,129310.44
OEM,2011,141228.14
OEM,2012,154028.39
OEM,2013,164675.46
OEM,2014,174632.2
OEM,2015,171549.55
OEM,2016,178408.82
OEM,2017,185527.41
OEM,2018,187969.14
OEM,2019,185853.66999999998
OEM,2020,159590.27000000002
OEM,2021,179897.87
OEM,2022,182252.91999999998
OEM,2023,184258.79
OEM,2024,178080.47
Upstream,2001,101204.05
Upstream,2002,93718.87
Upstream,2003,90765.95
Upstream,2004,90949.04
Upstream,2005,90714.65
Upstream,2006,88238.11
Upstream,2007,84293.16
Upstream,2008,80458.02
Upstream,2009,62587.37
Upstream,2010,66263.75
Upstream,2011,73961.21
Upstream,2012,77967.82
Upstream,2013,79599.67
Upstream,2014,82926.78
Upstream,2015,85340.12
Upstream,2016,85692.98
Upstream,2017,86515.83
Upstream,2018,88523.09
Upstream,2019,87573.13
Upstream,2020,75936.48
Upstream,2021,77664.83
Upstream,2022,79474.6
Upstream,2023,81282.5
Upstream,2024,79562.27
