segment_id,segment_name,2024_employment,2030_employment,2024_wages,2030_wages,2024_gdp,2030_gdp,pct_change_employment_2024_2030,pct_change_wages_2024_2030,pct_change_gdp_2024_2030
1,Materials & Processing,74.36365342680243,69.40704770088476,5510.124624665438,6147.190246530079,11078.12131862115,13403.934185150873,-6.665360693711143,11.56172800544093,20.99465062384068
2,Equipment Manufacturing,47.26874713098381,45.13015791470117,3824.741874416753,3889.648352789235,7008.601971581222,7638.014719328321,-4.524319653229888,1.6970159164631171,8.980574874978904
3,Forging & Foundries,16.417431360433866,14.02006113345008,1165.2296904188954,1182.0979570923182,1704.1615465273371,2392.2285028126107,-14.602590224689274,1.4476344717373895,40.3756884250431
4,Parts & Machining,49.90362583772797,47.793034940524386,3945.039006296908,4537.443107703588,6001.388540842001,7814.703865968839,-4.229333764377386,15.016432041891317,30.214929641473066
5,Component Systems,18.9678549911269,18.58149971542941,1663.2394795243044,1912.3458309020498,3139.9796484457224,3649.1852223312867,-2.0368949250098414,14.977178839513305,16.216843129464838
6,Engineering & Design,118.85586240982659,123.13853039417853,13687.67714998053,17246.678593838395,20668.85347088977,27804.867476493826,3.603245054572815,26.001500509258623,34.525446782302126
7,Core Automotive,175.57376562967357,177.51076151940282,14935.12241971528,16653.2000588699,43870.97413731501,56134.351820137614,1.1032376521529002,11.503606002496856,27.953283290310694
8,"Motor Vehicle Parts, Materials, & Products Sales",114.4875240223467,116.08863857676627,7863.520344443304,9622.835657823889,26768.16351026546,32116.692927025862,1.39850570452292,22.373125983247338,19.980935243126655
9,"Dealers, Maintenance, & Repair",69.6122783163643,71.68698234847825,4832.20415709535,6105.1420587173125,12407.600238246032,15978.50953278209,2.9803708229245527,26.342800515844285,28.7800156836843
10,Logistics,47.14308230082194,41.96360290408131,3325.4774279838975,3531.3524768134403,7696.311164029067,8623.490514233781,-10.986722004492949,6.190841865204192,12.047061643481287
