stage,year,employment,wages,gdp
Downstream,1970,165.89169980903065,NDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDND
Downstream,1971,169.76152947621222,NDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDND
Downstream,1972,175.55027052549985,NDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDND
Downstream,1973,180.13317796276695,NDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDND
Downstream,1974,176.2967998594512,NDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDND
Downstream,1975,168.17159844468023,1791.639015907587,NDNDNDNDNDNDNDNDNDNDND
Downstream,1976,171.7101951832021,1998.3771206795413,NDNDNDNDNDNDNDNDNDNDND
Downstream,1977,175.8958597097897,2282.9255591509677,5117.542798482456
Downstream,1978,184.28559552751813,2639.5185299510267,5843.58753487684
Downstream,1979,183.50305275638382,2833.139457889937,6413.572653966711
Downstream,1980,164.08336700582203,2620.445774919333,5957.158047431906
Downstream,1981,154.9771060767847,2701.1098465422815,6166.546093737928
Downstream,1982,147.27015287593193,2662.774667652092,5963.8825329837655
Downstream,1983,148.81264906511018,2824.1134348935384,6558.539425414039
Downstream,1984,160.59176809913757,3323.6321287948244,7745.17068313033
Downstream,1985,171.04031842130982,3671.236437640067,8578.29674641569
Downstream,1986,175.27719824775838,3957.9319190249034,9323.681390499747
Downstream,1987,176.80664051368282,4167.204406996235,9446.868066348912
Downstream,1988,181.8983066169584,4501.340280238554,10039.643603404089
Downstream,1989,188.8932148067787,4749.613192179764,10772.69431869165
Downstream,1990,191.2678629264002,4935.428190168769,10980.820535872004
Downstream,1991,187.2647302800637,4536.451756173508,10928.917428227192
Downstream,1992,186.6345064901866,4922.191683434954,11488.492210938182
Downstream,1993,190.1224632135661,5311.193904304492,12594.490273792891
Downstream,1994,200.4727163133524,5997.111885267315,14734.002019284535
Downstream,1995,208.31275969411035,6379.292395774217,15435.673436878154
Downstream,1996,215.29135958272082,6758.223306207951,16798.695057055633
Downstream,1997,221.485851143906,7269.532853126409,17731.554280169836
Downstream,1998,223.50055984304174,7559.454656700392,18365.95536604176
Downstream,1999,226.499587289525,7912.744630947239,19219.96873598255
Downstream,2000,230.05814356551804,8189.219297480891,20296.601222054884
Downstream,2001,224.22289691024454,8210.809789152028,19687.457654238693
Downstream,2002,220.34159188691467,8249.975499450109,19955.415577786047
Downstream,2003,215.38806632823838,8221.512820416277,20491.49846414297
Downstream,2004,213.46419579657996,8419.838923259424,21232.179607813276
Downstream,2005,213.01064772970992,8525.118325215457,22310.185607473264
Downstream,2006,210.74839476658047,8614.43232650665,22785.157165772038
Downstream,2007,208.86002815928802,8781.846795295429,22932.27115926253
Downstream,2008,203.0178374540671,8753.769693069267,22701.37948048245
Downstream,2009,184.05243431879876,7601.036908106416,20174.25927315041
Downstream,2010,185.13609845009603,7889.071598818738,21870.135952612487
Downstream,2011,191.7952797028561,8543.569560325033,23379.80989986111
Downstream,2012,197.55945909407126,8965.033921458964,24564.601894081814
Downstream,2013,203.7670808694625,9232.467054698289,25555.601479076497
Downstream,2014,212.6824181083818,10063.782563230763,27419.297915958196
Downstream,2015,220.05980681144754,10676.82247049853,28616.30647488543
Downstream,2016,222.94384470577043,11054.428804635578,29682.408291794316
Downstream,2017,225.36784916902397,11381.585092288582,31099.824037728184
Downstream,2018,228.22610648695925,12222.005841678078,33380.15018627
Downstream,2019,230.8478767968338,12575.083331714746,34789.01469705786
Downstream,2020,212.58718299855667,12112.985442055651,33141.32871671322
Downstream,2021,219.0771880955549,13730.622003054374,38802.07931275286
Downstream,2022,228.3878169729303,15011.26294556347,43804.907437037175
Downstream,2023,231.73685220537774,15590.315217474763,45814.40760495949
