segment_id,segment_name,2024_employment,2030_employment,2024_wages,2030_wages,2024_gdp,2030_gdp,pct_change_employment_2024_2030,pct_change_wages_2024_2030,pct_change_gdp_2024_2030
1,Materials & Processing,1359.7341618962982,1293.1320918770964,106728.7216297695,124919.93715429112,261.7274733032808,332.32547029101903,-4.898168471866439,17.04434874393512,26.97385799691409
2,Equipment Manufacturing,442.4782014385324,428.0968279822034,36611.018001391574,40381.25262556462,76.15337213953529,87.4896125716619,-3.250188011426089,10.298087379131994,14.886064941885024
3,Forging & Foundries,196.77499898274738,175.6356464144141,14391.647502994456,15242.507320450719,26.97804942948789,37.85609117146131,-10.742905693109265,5.912177999629476,40.321824490703776
4,Parts & Machining,1041.4700192800042,1004.2166226435863,123296.27014601025,162640.5523207172,214.95406394817044,293.4876383099354,-3.577001348744739,31.91035878710243,36.53504982380836
5,Component Systems,671.5358078550552,662.5440342834817,81223.2415469609,97400.70784680403,189.01460585671248,227.1307913833807,-1.3389864645184035,19.91728720958495,20.16573552816506
6,Engineering & Design,2790.8832929442456,3033.6708353417735,380254.81292522186,484606.9865245051,601.4198371715822,828.4737485634221,8.69930831616391,27.442696332105164,37.752980091187524
7,Core Automotive,1018.6166610717776,1091.4219310924457,79527.86485460657,94029.21063846511,190.497,258.57870839246647,7.147465067384935,18.23429537605469,35.73899242112288
8,"Motor Vehicle Parts, Materials, & Products Sales",3266.853016290316,3388.1866262730628,218178.5413833295,274133.411425771,712.7014456078343,862.8341409255339,3.714082310336915,25.646367276849396,21.065299676733147
9,"Dealers, Maintenance, & Repair",2300.471690396428,2397.907098225799,163314.3646305184,210574.66936663262,385.8038871431638,496.3820479172175,4.2354534609630585,28.93824119086873,28.661753927072393
10,Logistics,1521.6333369334716,1337.4228129723292,107973.42772263443,112950.58677709971,257.541,303.7006027098892,-12.10610463703296,4.60961475378069,17.923205512865607
