stage,year,employment,wages,gdp
Downstream,1970,3525.5265667744206,NDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDND
Downstream,1971,3582.4591977502005,NDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDND
Downstream,1972,3734.388265731923,NDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDND
Downstream,1973,3883.02886425435,NDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDND
Downstream,1974,3882.64629719661,NDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDND
Downstream,1975,3885.2941167256577,41360.19434499067,NDNDNDNDNDNDNDNDNDNDND
Downstream,1976,4044.1901083473035,46172.34520837099,NDNDNDNDNDNDNDNDNDNDND
Downstream,1977,4232.482606246213,51679.47200582441,131.74239639907634
Downstream,1978,4480.027499846669,58808.84109661626,149.10816077436033
Downstream,1979,4600.215872338049,65170.946308196144,165.60977757983483
Downstream,1980,4507.755423284775,68190.07615483223,171.65146329017173
Downstream,1981,4511.511125629723,73197.39108738129,187.01339778779254
Downstream,1982,4462.032748386223,74995.1049482123,188.60921843063835
Downstream,1983,4517.9620496783555,78721.9509712334,206.08276995513017
Downstream,1984,4829.038246116881,89776.15639899734,233.92187062602991
Downstream,1985,5041.645524005967,96661.23645859152,253.56771617831222
Downstream,1986,5146.439376935292,102209.78409071002,268.1283098998687
Downstream,1987,5280.837222259717,109213.21447945524,275.0580270445284
Downstream,1988,5502.022447373871,118190.05505936488,294.0258070720266
Downstream,1989,5617.648020978035,123869.0343879068,311.2952401291316
Downstream,1990,5644.706818738709,128221.45585074683,319.23940461275805
Downstream,1991,5493.175693484839,127041.79650149963,323.95750266752947
Downstream,1992,5437.964429911771,132643.75534771528,340.19278986670946
Downstream,1993,5552.033700191047,140775.67252238674,366.8587665828504
Downstream,1994,5793.686222008741,152831.6711858273,407.1152403025032
Downstream,1995,6011.8313685878,162988.42791557527,423.04605389488114
Downstream,1996,6184.73884748004,172526.86668147377,447.3357310293998
Downstream,1997,6315.976293450772,182957.30667941723,472.2893420305794
Downstream,1998,6415.713413049288,195210.10908272126,500.12559790086294
Downstream,1999,6527.597893843709,206430.53306569206,523.1932909229392
Downstream,2000,6599.512006710686,218195.03748320992,545.6144235461574
Downstream,2001,6525.473499725462,222451.9544989315,533.637632047934
Downstream,2002,6416.264452362562,223045.06344711524,545.4281412792077
Downstream,2003,6338.437787391511,225084.49564374654,564.2089098415839
Downstream,2004,6376.466377729594,235375.9054643746,602.9479465678681
Downstream,2005,6447.65650041204,245842.43562196754,646.8010782395071
Downstream,2006,6507.3362631352,257789.0908793628,685.2305373891484
Downstream,2007,6536.568042172192,266198.8823286855,698.2026069309406
Downstream,2008,6349.533465609583,261409.73090418568,681.9423661873433
Downstream,2009,5876.793663245941,235326.91781818817,611.0273683125457
Downstream,2010,5808.209114893558,239532.16395079714,650.6837159173681
Downstream,2011,5990.39900448281,255270.15751491388,694.2716707113891
Downstream,2012,6165.1110763760225,270564.1765517285,739.1886492486167
Downstream,2013,6307.581313463101,279477.81781289703,778.5466860893949
Downstream,2014,6465.212066835641,296931.21849890595,822.9505516053262
Downstream,2015,6615.981153939534,312608.99198199844,853.3220885784159
Downstream,2016,6666.580176424454,317103.92784424894,865.7341196727231
Downstream,2017,6720.984379436136,328879.43689812545,907.5971260108957
Downstream,2018,6798.313726988314,351897.79796319763,964.9214874392931
Downstream,2019,6893.554232147765,367467.5902714687,1015.3192542682364
Downstream,2020,6568.013281792864,365428.38851782394,980.3656955393815
Downstream,2021,6705.477346941165,413933.5072250645,1142.484671130724
Downstream,2022,6938.910633425361,453720.65375660424,1276.5230382438585
Downstream,2023,7056.019217658892,471203.1513476772,1324.1133259986489
Downstream,2024,7088.958043620216,489466.33373648225,1356.0463327509983
Downstream,2025,7128.989733424148,507020.5604095255,1413.7899826952214
Downstream,2026,7115.027833921601,526415.9351677299,1472.517004566633
Downstream,2027,7102.150219372219,543697.0770426439,1517.4547048076354
Downstream,2028,7101.753788963366,558567.1742515276,1564.793113936807
Downstream,2029,7106.794088985615,576383.2289970929,1614.032551708016
Downstream,2030,7123.516537471191,597658.6675695034,1662.9167915526405
Downstream,2031,7133.525297812403,619986.7177164701,1711.7666453006077
Downstream,2032,7119.389403243069,640725.4792436841,1756.6009806779985
Downstream,2033,7088.508762076703,659095.9242186764,1802.1761613102512
