year,title,code,type,employment_base,employment_proj,share_base,share_proj,change_numeric,change_percent,self_employed,openings,median_wage
2023,"Total, all occupations",00-0000,Summary,167849.8,174589.0,100.0,100.0,6739.2,4.0,5.8,19174.8,48060.0
2023,Management occupations,11-0000,Summary,13181.3,14140.9,7.9,8.1,959.6,7.3,15.1,1160.0,116880.0
2023,Top executives,11-1000,Summary,3977.7,4206.7,2.4,2.4,229.0,5.8,2.7,346.5,103460.0
2023,Chief executives,11-1011,Line item,313.9,331.1,0.2,0.2,17.2,5.5,28.1,23.0,206680.0
2023,General and operations managers,11-1021,Line item,3630.1,3840.5,2.2,2.2,210.4,5.8,0.5,320.8,101280.0
2023,Legislators,11-1031,Line item,33.7,35.0,0.0,0.0,1.4,4.1,,2.7,47290.0
2023,"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,1112.6,1185.7,0.7,0.7,73.1,6.6,1.3,94.1,139850.0
2023,Advertising and promotions managers,11-2011,Line item,22.2,21.7,0.0,0.0,-0.6,-2.6,6.2,1.8,131870.0
2023,Marketing and sales managers,11-2020,Summary,973.8,1039.8,0.6,0.6,66.0,6.8,1.3,83.4,141780.0
2023,Marketing managers,11-2021,Line item,389.1,420.8,0.2,0.2,31.7,8.2,3.2,34.8,157620.0
2023,Sales managers,11-2022,Line item,584.8,619.1,0.3,0.4,34.3,5.9,0.1,48.6,135160.0
2023,Public relations and fundraising managers,11-2030,Summary,116.6,124.2,0.1,0.1,7.7,6.6,,8.9,130480.0
2023,Public relations managers,11-2032,Line item,78.4,83.8,0.0,0.0,5.4,6.9,,6.0,134760.0
2023,Fundraising managers,11-2033,Line item,38.2,40.5,0.0,0.0,2.3,5.9,,2.9,119200.0
2023,Operations specialties managers,11-3000,Summary,2642.4,2957.8,1.6,1.7,315.5,11.9,1.6,230.6,136170.0
2023,Administrative services and facilities managers,11-3010,Summary,397.3,420.8,0.2,0.2,23.4,5.9,0.3,35.2,104900.0
2023,Administrative services managers,11-3012,Line item,256.8,272.8,0.2,0.2,16.0,6.2,,22.7,106470.0
2023,Facilities managers,11-3013,Line item,140.5,147.9,0.1,0.1,7.4,5.3,0.7,12.5,102340.0
2023,Computer and information systems managers,11-3021,Line item,613.5,720.4,0.4,0.4,106.9,17.4,1.0,54.7,169510.0
2023,Financial managers,11-3031,Line item,837.1,975.3,0.5,0.6,138.3,16.5,2.4,75.1,156100.0
2023,Industrial production managers,11-3051,Line item,230.1,236.7,0.1,0.1,6.5,2.8,1.4,17.1,116970.0
2023,Purchasing managers,11-3061,Line item,81.3,85.4,0.0,0.0,4.1,5.1,3.8,6.5,136380.0
2023,"Transportation, storage, and distribution managers",11-3071,Line item,211.8,230.8,0.1,0.1,19.1,9.0,3.7,19.7,99200.0
2023,Compensation and benefits managers,11-3111,Line item,19.1,19.5,0.0,0.0,0.4,2.1,,1.3,136380.0
2023,Human resources managers,11-3121,Line item,208.9,222.5,0.1,0.1,13.5,6.5,1.1,17.4,136350.0
