naics_code,Occupation Title,Occupation Code,Occupation Type,2024 Employment,2024 Percent of Industry,2024 Percent of Occupation,Projected 2034 Employment,Projected 2034 Percent of Industry,Projected 2034 Percent of Occupation,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034",Occupation Sort,Display Level,source_url,annual_employment_rate_change,six_year_employment_rate_change
3252,"Total, all occupations",00-0000,Summary,368.7,100.0,0.2,376.7,100.0,0.2,8.0,2.2,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=3250A1&ioType=i,0.214889,1.296278
3255,"Total, all occupations",00-0000,Summary,178.7,100.0,0.1,182.7,100.0,0.1,4.0,2.3,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=3250A2&ioType=i,0.221616,1.337083
3261,"Total, all occupations",00-0000,Summary,592.5,100.0,0.3,618.8,100.0,0.4,26.3,4.4,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=326100&ioType=i,0.435257,2.640125
3262,"Total, all occupations",00-0000,Summary,132.6,100.0,0.1,134.6,100.0,0.1,2.0,1.5,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=326200&ioType=i,0.149816,0.902266
3272,"Total, all occupations",00-0000,Summary,422.3,100.0,0.2,429.0,100.0,0.2,6.7,1.6,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=327000&ioType=i,0.157534,0.948931
3311,"Total, all occupations",00-0000,Summary,85.6,100.0,0.1,86.9,100.0,0.0,1.3,1.5,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=331100&ioType=i,0.150841,0.908467
3312,"Total, all occupations",00-0000,Summary,59.8,100.0,0.0,60.9,100.0,0.0,1.1,1.9,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=331200&ioType=i,0.182441,1.099653
3313,"Total, all occupations",00-0000,Summary,59.3,100.0,0.0,58.4,100.0,0.0,-0.9,-1.5,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=331300&ioType=i,-0.152817,-0.913408
3314,"Total, all occupations",00-0000,Summary,62.5,100.0,0.0,63.6,100.0,0.0,1.1,1.8,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=331400&ioType=i,0.174621,1.052313
3315,"Total, all occupations",00-0000,Summary,106.0,100.0,0.1,90.4,100.0,0.1,-15.6,-14.7,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=331500&ioType=i,-1.579344,-9.109700
3321,"Total, all occupations",00-0000,Summary,467.8,100.0,0.3,423.2,100.0,0.2,-44.6,-9.5,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=3320A1&ioType=i,-0.996957,-5.834620
3326,"Total, all occupations",00-0000,Summary,467.8,100.0,0.3,423.2,100.0,0.2,-44.6,-9.5,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=3320A1&ioType=i,-0.996957,-5.834620
3327,"Total, all occupations",00-0000,Summary,333.2,100.0,0.2,319.8,100.0,0.2,-13.4,-4.0,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=332700&ioType=i,-0.409630,-2.432746
3328,"Total, all occupations",00-0000,Summary,129.6,100.0,0.1,115.9,100.0,0.1,-13.7,-10.6,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=332800&ioType=i,-1.111032,-6.483755
