naics_code,naics_title,segment_id,segment_name,stage,employment_qcew_2024,mi_employment_pct_change_2024_2030,mi_wage_pct_change_2024_2030,mi_gdp_pct_change_2024_2030,auto_attributed_output,total_industry_output,sam_auto_share,sam_auto_share_us,lightcast_share,lightcast_share_us,legacy_bea_share,bea_summary_total_output_share,bea_detail_intermediate_share,bea_detail_total_output_share,mrio_indirect_share,mrio_total_share
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,Materials & Processing - Non-Metals,Upstream,5524,-4.010993026,5.928505029,30.69804,63487619.99,717260244.6,9%,3%,9%,3%,1%,1%,3%,2%,2%,2%
3255,"Paint, Coating, and Adhesive Manufacturing",1,Materials & Processing - Coatings & Surface Treatments,Upstream,4347,-0.094631809,12.25985943,30.43615047,481253380.2,934455018.2,52%,18%,56%,18%,1%,1%,17%,14%,14%,14%
3261,Plastics Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,34371,-5.836714296,15.42830194,17.52779586,663456631,2827255460,23%,5%,31%,6%,6%,6%,5%,5%,7%,7%
3262,Rubber Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,5147,-12.99083306,5.551523215,1.581927903,201859128.5,368355188.9,55%,18%,67%,33%,6%,6%,16%,15%,12%,13%
3272,Glass and Glass Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,2802,-9.095714184,10.48902856,0.333641565,195236783.4,339733688.5,57%,15%,58%,20%,4%,4%,12%,11%,19%,19%
3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,Materials & Processing - Metals,Upstream,3258,-16.97132597,9.523471513,-1.295295877,874422853,2104222902,42%,11%,54%,14%,15%,15%,12%,14%,22%,22%
3312,Steel Product Manufacturing from Purchased Steel,1,Materials & Processing - Metals,Upstream,1974,-15.00723037,11.21377299,5.671598221,248213268.6,617717566.3,40%,10%,46%,10%,15%,15%,9%,11%,20%,20%
3313,Alumina and Aluminum Production and Processing,1,Materials & Processing - Metals,Upstream,2698,-11.21791951,13.12738323,69.16021411,62219761.96,193965247,32%,11%,37%,13%,15%,15%,7%,9%,5%,5%
3314,Nonferrous Metal (except Aluminum) Production and Processing,1,Materials & Processing - Metals,Upstream,1262,-16.72114925,15.44104803,60.43516926,41188315.53,140456716.7,29%,8%,39%,8%,15%,15%,6%,7%,5%,5%
3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,Materials & Processing - Coatings & Surface Treatments,Upstream,11221,-3.210276903,6.794475967,25.26277384,188054543.3,799032426.4,24%,5%,34%,6%,5%,5%,6%,6%,9%,10%
3335,Metalworking Machinery Manufacturing,2,Equipment Manufacturing,Upstream,29604,-7.811404327,-4.021880535,3.809586577,92055752.97,1178482303,8%,1%,25%,10%,4%,4%,5%,2%,2%,2%
3339,Other General Purpose Machinery Manufacturing,2,Equipment Manufacturing,Upstream,17946,1.053256054,10.1181542,16.39233002,61343862.7,279971379.4,22%,4%,41%,11%,4%,4%,7%,3%,1%,1%
3315,Foundries,3,Forging & Foundries,Upstream,9349,-22.87394608,1.55398105,59.15842013,571396614.1,850540381.9,67%,32%,73%,37%,15%,15%,36%,35%,25%,25%
