Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
OEM,7. Core Automotive,3362,Motor Vehicle Body and Trailer Manufacturing,8090.0,869239055.3857312,884522273.1529398,0.9827215003724773
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,24780.0,4478439353.791715,4892408035.694698,0.9153854954691648
OEM,7. Core Automotive,3363,Motor Vehicle Parts Manufacturing,119010.0,19656287204.619507,21743718586.02389,0.903998418065155
Upstream,5. Component Systems,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",4730.0,974987465.9877731,1149662788.7840538,0.8480638631602342
OEM,7. Core Automotive,3361,Motor Vehicle Manufacturing,48650.0,136927926.91857773,162068821.97850466,0.8448751909650989
,,3343,,,2860295.7355029997,3558056.9313345607,0.8038926275499915
Upstream,3. Forging & Foundries,3315,Foundries,10010.0,1008236512.4679846,1383272755.564572,0.7288775900574147
,,3169,,,3382515.1415,4879937.430877605,0.6931472358840655
,,3141,,,19957447.5619,29552812.106217925,0.6753146702306866
Upstream,1. Materials & Processing - Non-Metals,3262,Rubber Product Manufacturing,5340.0,287731402.8830398,431785085.6713396,0.6663764276055875
,,3161,,,1286104.8588,1950510.741149024,0.6593682524621064
,,3162,,,2091458.2761843319,3343070.735770478,0.625609938134412
Upstream,1. Materials & Processing - Non-Metals,3272,Glass and Glass Product Manufacturing,0.0,247156799.24969333,424908409.231328,0.5816707645226588
Upstream,1. Materials & Processing - Coatings & Surface Treatments,3255,"Paint, Coating, and Adhesive Manufacturing",0.0,721888419.042315,1287336837.2333703,0.5607610985433567
Upstream,1. Materials & Processing - Metals,3311,Iron and Steel Mills and Ferroalloy Manufacturing,3330.0,1829540237.5255775,3383571692.354868,0.540712715400533
Upstream,3. Forging & Foundries,3321,Forging and Stamping,0.0,777379157.0672443,1485069062.3857594,0.5234633033283899
Upstream,4. Parts & Machining,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",24840.0,1389761009.4581325,2699159047.455372,0.5148866684118995
Upstream,1. Materials & Processing - Metals,3312,Steel Product Manufacturing from Purchased Steel,2130.0,269876002.865448,591519606.5417986,0.4562418555206043
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",24130.0,1332062647.8248982,2969193874.7804284,0.4486277097427342
,,3399,,,187752243.70661202,431073388.00719476,0.43554589295008483
Downstream,"9. Dealers, Maintenance, & Repair",4411,Automobile Dealers,38500.0,414330403.0616639,967976930.6108158,0.4280374768851277
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4413,"Automotive Parts, Accessories, and Tire Retailers",17710.0,126906693.86397201,298114084.7549472,0.4256984166591478
,,4412,,,53561639.938439995,128514073.41525865,0.41677645502193345
Upstream,2. Equipment Manufacturing,3339,Other General Purpose Machinery Manufacturing,0.0,355470882.8727559,865209665.81698,0.41084941247980644
Upstream,4. Parts & Machining,3326,Spring and Wire Product Manufacturing,0.0,78908990.45125899,193274168.21856856,0.4082748935285699
Upstream,5. Component Systems,3359,Other Electrical Equipment and Component Manufacturing,4820.0,127456997.6619511,324927617.47160923,0.39226274040275366
