Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
OEM,7. Core Automotive,3362,Motor Vehicle Body and Trailer Manufacturing,8090.0,7289317436.739403,9126057488.012848,0.79873674325567
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,24780.0,49298767266.452995,81701314871.81238,0.6034023729459154
OEM,7. Core Automotive,3363,Motor Vehicle Parts Manufacturing,119010.0,123843875461.73808,206918267621.3151,0.5985159110668132
OEM,7. Core Automotive,3361,Motor Vehicle Manufacturing,48650.0,1505927789.0913754,2616487140.015526,0.575553292833092
Upstream,5. Component Systems,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",4730.0,13197106084.9981,25909712263.392635,0.5093497739704371
,,3343,,,131756270.374,311127588.21394205,0.4234798692406533
Upstream,3. Forging & Foundries,3315,Foundries,10010.0,13969842922.647999,37561318180.15828,0.37192099743793205
Upstream,1. Materials & Processing - Non-Metals,3262,Rubber Product Manufacturing,5340.0,7686604929.8296,23398358003.30793,0.32851044200378976
,,3141,,,638548301.1209999,2511710423.8760195,0.2542284711848293
,,3161,,,19777293.729,90046736.87479675,0.21963365264972173
,,3169,,,58564600.449999996,267501219.0641212,0.2189320880663419
,,3162,,,68715896.75258198,315059316.9758489,0.21810463315975973
Upstream,1. Materials & Processing - Non-Metals,3272,Glass and Glass Product Manufacturing,0.0,3635854166.8908,18060831369.99389,0.20131156160016958
Upstream,1. Materials & Processing - Coatings & Surface Treatments,3255,"Paint, Coating, and Adhesive Manufacturing",0.0,7290926012.8466,41215560384.3107,0.17689741313385118
Upstream,3. Forging & Foundries,3321,Forging and Stamping,0.0,5284085387.519599,29926699814.91751,0.1765675941617074
Upstream,1. Materials & Processing - Metals,3311,Iron and Steel Mills and Ferroalloy Manufacturing,3330.0,19892495977.925,141055165614.62143,0.14102635583211134
Upstream,4. Parts & Machining,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",24840.0,9908214380.899101,70360436837.67017,0.14082081957163686
,,3369,,,1170636072.5112,8706325379.777584,0.13445811194126375
Upstream,1. Materials & Processing - Metals,3313,Alumina and Aluminum Production and Processing,2610.0,5965480243.139999,47583141062.31293,0.12536961852366685
