Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
OEM,7. Core Automotive,3362,Motor Vehicle Body and Trailer Manufacturing,8090.0,872708807.9831115,884522273.1529398,0.9866442422894356
Upstream,5. Component Systems,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",4730.0,1117490602.4527316,1149662788.7840538,0.9720159801246161
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,24780.0,4645523020.25417,4892408035.694698,0.9495371167655537
OEM,7. Core Automotive,3363,Motor Vehicle Parts Manufacturing,119010.0,20404196941.853516,21743718586.02389,0.9383950064074424
Upstream,3. Forging & Foundries,3315,Foundries,10010.0,1292229916.7485504,1383272755.564572,0.9341830174491774
OEM,7. Core Automotive,3361,Motor Vehicle Manufacturing,48650.0,149645165.84760264,162068821.97850466,0.9233433304491484
Upstream,1. Materials & Processing - Non-Metals,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",0.0,2037097796.9413354,2245137970.6672826,0.9073374659179119
Upstream,2. Equipment Manufacturing,3335,Metalworking Machinery Manufacturing,30000.0,615720356.7089565,681557972.9948967,0.9034012968894825
Upstream,1. Materials & Processing - Metals,3314,Nonferrous Metal (except Aluminum) Production and Processing,1250.0,265766186.89794028,294215293.0621523,0.9033051413877312
Upstream,1. Materials & Processing - Metals,3311,Iron and Steel Mills and Ferroalloy Manufacturing,3330.0,2971529122.562134,3383571692.354868,0.8782225981131896
Upstream,1. Materials & Processing - Non-Metals,3262,Rubber Product Manufacturing,5340.0,368214984.2273275,431785085.6713396,0.8527737442686951
,,3343,,,3018459.7738456996,3558056.9313345607,0.8483449905658288
Upstream,1. Materials & Processing - Metals,3312,Steel Product Manufacturing from Purchased Steel,2130.0,487684295.92967755,591519606.5417986,0.8244600695162524
Upstream,3. Forging & Foundries,3321,Forging and Stamping,0.0,1192418845.036501,1485069062.3857594,0.8029383112465378
Upstream,1. Materials & Processing - Metals,3313,Alumina and Aluminum Production and Processing,2610.0,546868698.0563256,682148565.8189805,0.8016856231307335
Upstream,4. Parts & Machining,3326,Spring and Wire Product Manufacturing,0.0,146377464.28076297,193274168.21856856,0.7573565863971466
Upstream,4. Parts & Machining,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",24840.0,2036647939.8143754,2699159047.455372,0.7545490665822091
,,3169,,,3570503.65172416,4879937.430877605,0.7316699655065132
Upstream,4. Parts & Machining,3344,Semiconductor and Other Electronic Component Manufacturing,13800.0,721997321.7459863,993250060.1487813,0.7269038792082596
Upstream,1. Materials & Processing - Non-Metals,3272,Glass and Glass Product Manufacturing,0.0,302350321.4023182,424908409.231328,0.7115658688640193
Upstream,2. Equipment Manufacturing,3339,Other General Purpose Machinery Manufacturing,0.0,611631094.4159359,865209665.81698,0.7069166221558553
,,3161,,,1374355.0385289998,1950510.741149024,0.7046129044741289
Upstream,1. Materials & Processing - Coatings & Surface Treatments,3255,"Paint, Coating, and Adhesive Manufacturing",0.0,886075476.5337265,1287336837.2333703,0.6883011896389145
Upstream,5. Component Systems,3359,Other Electrical Equipment and Component Manufacturing,4820.0,223601809.9134117,324927617.47160923,0.6881588325835339
,,3162,,,2274907.3542958936,3343070.735770478,0.6804843612654207
,,3141,,,20099121.412379496,29552812.106217925,0.6801085913631425
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",24130.0,1978939751.0793045,2969193874.7804284,0.6664905811263829
Upstream,1. Materials & Processing - Coatings & Surface Treatments,3328,"Coating, Engraving, Heat Treating, and Allied Activities",11900.0,509780060.74535894,807906169.5437286,0.6309891915211655
,,3251,,,663695553.1108295,1095730817.6464357,0.6057104011516331
Downstream,"9. Dealers, Maintenance, & Repair",4411,Automobile Dealers,38500.0,582710094.8571987,967976930.6108158,0.601987585065168
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4413,"Automotive Parts, Accessories, and Tire Retailers",17710.0,178729251.89189297,298114084.7549472,0.5995330681501018
,,4412,,,76570184.478335,128514073.41525865,0.595811668274797
,,4237,,,728846487.7931128,1230254658.5333905,0.592435462639893
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,0.0,552843992.3190666,933259237.469978,0.5923798770187378
,,4232,,,141854485.60767433,240775687.70844847,0.5891561849859348
,,3131,,,2397435.910934135,4075141.709918909,0.5883073722562255
Upstream,1. Materials & Processing - Non-Metals,3261,Plastics Product Manufacturing,35520.0,1852099188.217412,3178537014.065183,0.5826891994718897
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4239,Miscellaneous Durable Goods Merchant Wholesalers,0.0,978687426.7616298,1692439755.3077404,0.5782701710310939
,,4233,,,589397975.8644917,1034975547.0249515,0.5694800979199196
Upstream,5. Component Systems,3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",8300.0,122570977.60280982,217943698.33431712,0.5623974381438216
,,3399,,,240810620.55807632,431073388.00719476,0.5586302176325881
,,4236,,,974545680.8628553,1805743757.0707784,0.5396921224547016
,,3332,,,51959680.77715409,97869803.50717689,0.5309061520016625
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4571,Gasoline Stations,27370.0,183186093.84500825,345475794.71706265,0.5302429190300691
,,3366,,,8639427.766862985,16893428.76988786,0.5114075943104316
Upstream,4. Parts & Machining,3329,Other Fabricated Metal Product Manufacturing,0.0,484759565.09456486,976686436.9755298,0.4963308045883207
,,vl|5,,,29329711748.948463,59753781428.62556,0.49084277258640263
,,3353,,,81334995.76511593,170042579.80971593,0.4783213466658343
,,4821,,,306754329.49979377,646995114.6504908,0.4741215544811395
