Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
OEM,7. Core Automotive,3362,Motor Vehicle Body and Trailer Manufacturing,8090.0,7471748305.856302,9126057488.012848,0.818726850632982
Upstream,1. Materials & Processing - Metals,3314,Nonferrous Metal (except Aluminum) Production and Processing,1250.0,42687829750.81877,53070809886.144104,0.8043561016385364
Upstream,3. Forging & Foundries,3315,Foundries,10010.0,28704039102.345,37561318180.15828,0.7641914739165857
Upstream,5. Component Systems,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",4730.0,19479743799.258713,25909712263.392635,0.7518317301725227
OEM,7. Core Automotive,3361,Motor Vehicle Manufacturing,48650.0,1947844654.9800756,2616487140.015526,0.7444503071276388
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,24780.0,60001621782.78779,81701314871.81238,0.7344021559130236
Upstream,1. Materials & Processing - Non-Metals,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",0.0,63600954019.72618,86949268852.14177,0.7314719819884896
OEM,7. Core Automotive,3363,Motor Vehicle Parts Manufacturing,119010.0,146414730106.2032,206918267621.3151,0.7075969260198886
Upstream,1. Materials & Processing - Metals,3313,Alumina and Aluminum Production and Processing,2610.0,29804822412.014965,47583141062.31293,0.6263735799405045
Upstream,2. Equipment Manufacturing,3335,Metalworking Machinery Manufacturing,30000.0,5692299561.282,10020936544.114805,0.5680406752625362
,,3369,,,4756225033.717501,8706325379.777584,0.5462953457683666
,,3343,,,169873459.44939995,311127588.21394205,0.545992917004162
Upstream,3. Forging & Foundries,3321,Forging and Stamping,0.0,15992037507.846119,29926699814.91751,0.5343735729883118
Upstream,1. Materials & Processing - Metals,3311,Iron and Steel Mills and Ferroalloy Manufacturing,3330.0,75080820940.8465,141055165614.62143,0.5322798396903502
Upstream,1. Materials & Processing - Non-Metals,3262,Rubber Product Manufacturing,5340.0,12317937707.008904,23398358003.30793,0.5264445353501926
,,2122,,,13718736054.395634,28191268683.3829,0.4866306730807764
Upstream,1. Materials & Processing - Metals,3312,Steel Product Manufacturing from Purchased Steel,2130.0,13815673257.668901,28822307494.565956,0.47933959695189754
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4571,Gasoline Stations,27370.0,9156341684.873222,19365906642.791557,0.4728072820841273
Upstream,4. Parts & Machining,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",24840.0,29682743970.28839,70360436837.67017,0.42186696536250884
Upstream,1. Materials & Processing - Non-Metals,3272,Glass and Glass Product Manufacturing,0.0,7290280469.076639,18060831369.99389,0.4036514332993911
Upstream,4. Parts & Machining,3326,Spring and Wire Product Manufacturing,0.0,2840812792.730301,7696287622.661771,0.3691146864581189
OEM,6. Engineering & Design,5417,Scientific Research and Development ,28480.0,1984635564.47574,5790265770.901512,0.34275379455799027
Upstream,1. Materials & Processing - Coatings & Surface Treatments,3328,"Coating, Engraving, Heat Treating, and Allied Activities",11900.0,10266624258.905003,30371303002.47711,0.3380370034854167
,,3251,,,62394132805.659454,194278075581.4848,0.32115889875329695
Upstream,4. Parts & Machining,3344,Semiconductor and Other Electronic Component Manufacturing,13800.0,29520336575.578205,96152560763.2528,0.3070156045897029
,,4412,,,1210716118.2387,4013031969.2313323,0.30169610596713087
,,3161,,,27018334.031400003,90046736.87479675,0.3000478970044964
,,3332,,,1857643289.319,6209968570.038768,0.2991389196849676
