Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
OEM,7. Core Automotive,3362,Motor Vehicle Body and Trailer Manufacturing,8090.0,869809264.3816768,884522273.1529398,0.9833661523086157
Upstream,5. Component Systems,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",4730.0,1074617632.0608425,1149662788.7840538,0.9347242013437843
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,24780.0,4535442491.847296,4892408035.694698,0.9270368413176079
OEM,7. Core Automotive,3363,Motor Vehicle Parts Manufacturing,119010.0,19915742081.710278,21743718586.02389,0.915930824017904
OEM,7. Core Automotive,3361,Motor Vehicle Manufacturing,48650.0,141829654.71279016,162068821.97850466,0.8751199211628821
Upstream,3. Forging & Foundries,3315,Foundries,10010.0,1146156157.290513,1383272755.564572,0.828582904333078
,,3343,,,2898077.1226245705,3558056.9313345607,0.8145111724048654
Upstream,1. Materials & Processing - Non-Metals,3262,Rubber Product Manufacturing,5340.0,325583764.3171573,431785085.6713396,0.7540412467256473
,,3169,,,3428949.2932499386,4879937.430877605,0.7026625529158226
Upstream,1. Materials & Processing - Metals,3311,Iron and Steel Mills and Ferroalloy Manufacturing,3330.0,2367748744.920936,3383571692.354868,0.6997779152340206
,,3141,,,20011020.09748595,29552812.106217925,0.6771274430860548
,,3161,,,1305995.386956025,1950510.741149024,0.6695658523708912
Upstream,3. Forging & Foundries,3321,Forging and Stamping,0.0,988708260.802681,1485069062.3857594,0.6657658460774368
,,3162,,,2140246.550146763,3343070.735770478,0.6402037884650085
Upstream,1. Materials & Processing - Non-Metals,3272,Glass and Glass Product Manufacturing,0.0,267803977.17869708,424908409.231328,0.6302628316139058
Upstream,1. Materials & Processing - Metals,3312,Steel Product Manufacturing from Purchased Steel,2130.0,372279597.2672662,591519606.5417986,0.6293613823618199
Upstream,1. Materials & Processing - Metals,3314,Nonferrous Metal (except Aluminum) Production and Processing,1250.0,182798559.04160184,294215293.0621523,0.621308828440084
Upstream,4. Parts & Machining,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",24840.0,1665730654.7608106,2699159047.455372,0.6171294931031114
Upstream,1. Materials & Processing - Coatings & Surface Treatments,3255,"Paint, Coating, and Adhesive Manufacturing",0.0,784869003.070797,1287336837.2333703,0.609684256963832
Upstream,4. Parts & Machining,3326,Spring and Wire Product Manufacturing,0.0,108699290.9194364,193274168.21856856,0.5624098239373163
Upstream,5. Component Systems,3359,Other Electrical Equipment and Component Manufacturing,4820.0,175774342.15018705,324927617.47160923,0.5409646108815156
Upstream,1. Materials & Processing - Metals,3313,Alumina and Aluminum Production and Processing,2610.0,368893815.3948405,682148565.8189805,0.5407822194157228
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",24130.0,1591464568.293193,2969193874.7804284,0.5359921363878206
Upstream,2. Equipment Manufacturing,3339,Other General Purpose Machinery Manufacturing,0.0,458790016.92216927,865209665.81698,0.5302645532617273
Upstream,4. Parts & Machining,3344,Semiconductor and Other Electronic Component Manufacturing,13800.0,510773144.8685982,993250060.1487813,0.51424426271073
,,3399,,,206336591.228937,431073388.00719476,0.47865768792364694
