Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
OEM,7. Core Automotive,3362,Motor Vehicle Body and Trailer Manufacturing,8090.0,7296472605.858403,9126057488.012848,0.7995207805169298
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,24780.0,50554350440.40784,81701314871.81238,0.618770340718831
OEM,7. Core Automotive,3363,Motor Vehicle Parts Manufacturing,119010.0,125740083792.79938,206918267621.3151,0.6076799561405501
OEM,7. Core Automotive,3361,Motor Vehicle Manufacturing,48650.0,1545720046.589168,2616487140.015526,0.5907615684210838
Upstream,5. Component Systems,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",4730.0,14963413447.027039,25909712263.392635,0.5775214056764565
Upstream,3. Forging & Foundries,3315,Foundries,10010.0,16748995702.620525,37561318180.15828,0.4459107537782889
,,3343,,,133200872.42017022,311127588.21394205,0.42812298705114094
Upstream,1. Materials & Processing - Non-Metals,3262,Rubber Product Manufacturing,5340.0,8438142919.843482,23398358003.30793,0.36062970395830957
,,3141,,,640005495.1787206,2511710423.8760195,0.2548086312398534
Upstream,3. Forging & Foundries,3321,Forging and Stamping,0.0,7052003333.062242,29926699814.91751,0.2356425324768701
,,3162,,,70450653.99764018,315059316.9758489,0.22361076216971745
,,3169,,,59792569.123681225,267501219.0641212,0.22352260424409015
,,3161,,,20101094.91512698,90046736.87479675,0.22322957624856576
Upstream,1. Materials & Processing - Non-Metals,3272,Glass and Glass Product Manufacturing,0.0,4027841104.6896586,18060831369.99389,0.2230152655863605
Upstream,1. Materials & Processing - Metals,3311,Iron and Steel Mills and Ferroalloy Manufacturing,3330.0,27291918420.5963,141055165614.62143,0.19348400536539645
Upstream,1. Materials & Processing - Metals,3313,Alumina and Aluminum Production and Processing,2610.0,9092902446.32977,47583141062.31293,0.1910950442389265
Upstream,1. Materials & Processing - Coatings & Surface Treatments,3255,"Paint, Coating, and Adhesive Manufacturing",0.0,7743208984.064013,41215560384.3107,0.1878710106538204
Upstream,4. Parts & Machining,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",24840.0,12164652823.984478,70360436837.67017,0.17289052442994018
Upstream,1. Materials & Processing - Metals,3312,Steel Product Manufacturing from Purchased Steel,2130.0,4496916765.298174,28822307494.565956,0.15602209386413649
Upstream,1. Materials & Processing - Metals,3314,Nonferrous Metal (except Aluminum) Production and Processing,1250.0,8238165851.789356,53070809886.144104,0.1552296991408869
Upstream,2. Equipment Manufacturing,3335,Metalworking Machinery Manufacturing,30000.0,1549539103.1553593,10020936544.114805,0.1546301681817742
,,3369,,,1235046940.095484,8706325379.777584,0.14185628106252043
Upstream,4. Parts & Machining,3326,Spring and Wire Product Manufacturing,0.0,1088462378.6479926,7696287622.661771,0.14142693620792027
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",24130.0,15725679647.179476,113553046188.39818,0.1384875190498076
Upstream,2. Equipment Manufacturing,3339,Other General Purpose Machinery Manufacturing,0.0,5771203309.115549,43905084357.48024,0.13144726615545818
Upstream,5. Component Systems,3359,Other Electrical Equipment and Component Manufacturing,4820.0,4516902831.276905,37095484590.141205,0.1217642222815807
Upstream,4. Parts & Machining,3344,Semiconductor and Other Electronic Component Manufacturing,13800.0,10663244216.631653,96152560763.2528,0.1108992223606684
,,4237,,,5731098256.581946,59598204692.28593,0.09616226337978515
,,4233,,,4565976475.442058,47487957772.7061,0.09615019658871014
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4239,Miscellaneous Durable Goods Merchant Wholesalers,0.0,7111068355.848194,74023380178.93372,0.09606516669002275
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,0.0,2475381383.7724543,25775211336.57279,0.09603728758802078
,,4232,,,2023948104.5754209,21084232154.88021,0.09599344617854402
Upstream,1. Materials & Processing - Non-Metals,3261,Plastics Product Manufacturing,35520.0,17261254460.189648,180654618922.56415,0.09554837049357989
Upstream,1. Materials & Processing - Coatings & Surface Treatments,3328,"Coating, Engraving, Heat Treating, and Allied Activities",11900.0,2818363865.6079435,30371303002.47711,0.09279693615312043
,,4412,,,364701329.01230097,4013031969.2313323,0.09087924836097354
Downstream,"9. Dealers, Maintenance, & Repair",4411,Automobile Dealers,38500.0,3164788068.859234,34881328609.437775,0.09073014690165623
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4413,"Automotive Parts, Accessories, and Tire Retailers",17710.0,941294194.7977552,10388184828.579306,0.09061199914427083
,,3399,,,1629787122.7943988,19899443624.70701,0.08190114022941157
,,3279,,,1942189017.736663,24253597794.23066,0.08007838813088022
,,3325,,,501615969.6341867,6348215549.837165,0.07901684586734825
Upstream,1. Materials & Processing - Non-Metals,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",0.0,6864974266.166893,86949268852.14177,0.07895378945441002
,,3334,,,2667721793.088129,33912251842.434692,0.078665427630199
,,3131,,,289979075.1829389,3794590238.212071,0.07641907478251743
,,3222,,,6688317584.184978,94980048458.81589,0.07041813194152123
,,5321,,,3319523172.209819,47184368016.906296,0.07035218043018875
,,4236,,,8267751075.830251,122999333735.9271,0.06721785252577599
,,3133,,,273901366.25700605,4118688192.826291,0.06650208839165651
,,3149,,,254263771.99652773,4365597404.9681425,0.05824260654616712
Upstream,4. Parts & Machining,3329,Other Fabricated Metal Product Manufacturing,0.0,2694328317.235097,47673604887.28989,0.0565161439669821
,,2122,,,1473858413.665984,28191268683.3829,0.0522806699556142
,,3353,,,1096455918.9817455,21188482238.328342,0.05174773287906109
,,4821,,,2723171922.1729484,53119337544.36221,0.051265170991613214
,,3152,,,20572693.64869535,409972207.30663645,0.05018070318437005
Downstream,10. Logistics,4841,General Freight Trucking,35888.0,11346455766.062813,227008877977.27814,0.049982431820126905
Downstream,10. Logistics,4842,Specialized Freight Trucking,11582.0,3174237247.7209897,63529868387.95734,0.04996448644182451
