ReceivingCode,ReceivingDescription,total_industry_output,auto_attributed_output,auto_share_of_output
375,Wholesale - Motor vehicle and motor vehicle parts and supplies,11426577015.0,9231845183.18,0.807927445906249
334,Motor vehicle metal stamping,4771430736.66604,4616022414.049902,0.9674294082439667
335,Other motor vehicle parts manufacturing,4598444508.993678,3497621703.7072406,0.7606097446357266
333,Motor vehicle seating and interior trim manufacturing,3356181175.3716803,3283320748.6450667,0.9782906753481374
379,Wholesale - Other durable goods merchant wholesalers,12043573210.35,2609806237.4354496,0.21669700443989792
378,"Wholesale - Machinery, equipment, and supplies",5955114974.0,2441192878.701,0.40993211539310914
399,Truck transportation,14171889588.4,1989155256.835185,0.14035921211687621
451,Management of companies and enterprises,20643119533.0,1711633343.117,0.08291544019695234
336,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",1903634980.79162,1575742934.581208,0.8277547694180009
377,Wholesale - Household appliances and electrical and electronic goods,7464314051.0,1480002417.318,0.19827708309241396
331,Motor vehicle electrical and electronic equipment manufacturing,1868958852.838738,1372644731.4109542,0.7344435268470794
332,Motor vehicle transmission and power train parts manufacturing,1139806202.58351,975895726.7990204,0.8561944342705221
207,Iron and steel mills and ferroalloy manufacturing,2104222901.7247117,874422853.0883021,0.4155561905402643
383,Wholesale - Other nondurable goods merchant wholesalers,10579233201.0,696295349.423,0.0658171850637703
385,Retail - Motor vehicle and parts dealers,12423129306.0,691220430.7511619,0.0556398000636863
330,Motor vehicle gasoline engine and engine parts manufacturing,799362811.86408,652859033.857702,0.8167243011158632
139,Paperboard container manufacturing,1866827064.352299,499566791.10107327,0.2676020723292864
427,"Insurance agencies, brokerages, and related activities",12395017500.0,421004590.7882923,0.033965631011678064
42,Electric power transmission and distribution,12735119400.0,420670912.36932105,0.03303234929774754
239,Machine shops,1186259922.615519,385017100.49793047,0.324563860885587
436,Lessors of nonfinancial intangible assets,6005771507.633,384715109.15105146,0.06405756673594726
185,Other plastics product manufacturing,1495495507.6602178,369277778.20722544,0.24692670510590845
220,Nonferrous metal foundries,515342257.52177,368999852.4955238,0.7160287112297129
167,Paint and coating manufacturing,676870805.2655321,337462067.3226716,0.4985620072508333
240,"Turned product and screw, nut, and bolt manufacturing",693395022.6475819,329041902.4245416,0.4745374450023665
423,Monetary authorities and depository credit intermediation,15751396131.151001,327015629.47670156,0.020761056782133355
376,Wholesale - Professional and commercial equipment and supplies,4776752141.0,282806897.3052,0.05920485069296376
454,Employment services,15318411020.759,232536663.88630405,0.015180207893049618
441,Custom computer programming services,4296187151.5,226690723.07263783,0.05276556050252361
221,Custom roll forming,364480912.24988997,218294648.68934593,0.5989192886448934
422,Securities and commodity contracts intermediation and brokerage,4373118164.968,208993685.6740599,0.04779054162045246
219,Ferrous metal foundries,335198124.37559,202396761.50104028,0.6038123330136966
55,Maintenance and repair construction of nonresidential structures,5628511802.0,183967557.1647,0.0326849376240679
326,Motor vehicle body manufacturing,404346712.53023,179676038.36364523,0.44436131863001654
273,Other engine equipment manufacturing,239708357.823403,173664853.94585267,0.7244839334045847
194,Glass product manufacturing made of purchased glass,268510597.757285,170494984.6577809,0.6349655696342256
458,Services to buildings,4029563905.73,152491447.88824365,0.03784316403852097
168,Adhesive manufacturing,257584212.9574099,143791312.88230267,0.5582303015832641
209,Rolled steel shape manufacturing,319654493.1565168,136811496.49161145,0.4279980398230241
183,Urethane and other foam product (except polystyrene) manufacturing,329916000.25571007,134614127.7207963,0.408025459863905
497,Commercial and industrial machinery and equipment repair and maintenance,2288530034.0,131456243.74745026,0.057441345227916836
380,Wholesale - Drugs and druggists’ sundries,4609047664.0,128799579.009,0.02794494403150091
318,Battery manufacturing,230093318.9826,126598072.1031851,0.5502031639291475
229,Plate work manufacturing,243444285.60768798,122803690.26965137,0.5044426898873704
418,"Data processing, hosting, and related services",8272994196.5873,120016525.79058608,0.014507024051835331
450,"All other miscellaneous professional, scientific, and technical services",3645217797.0,114361245.65809602,0.031372952736106706
388,Retail - Building material and garden equipment and supplies stores,6224242017.0,113903532.11863,0.018299984449115292
238,Spring and wire product manufacturing,282504672.037387,113574743.83656207,0.40202784264584285
459,Landscape and horticultural services,3991366797.0,111292835.9297,0.02788338972337751
437,Legal services,8138260551.855,110565070.95584463,0.013585835726363283
208,"Iron, steel pipe and tube manufacturing from purchased steel",263739238.3948266,109230371.67075701,0.4141604879712113
242,Metal coating and nonprecious engraving,429959887.67721,107088216.51946144,0.24906559795144734
