naics_code,naics_title,segment_id,segment_name,stage,employment_qcew_2024,mi_employment_pct_change_2024_2030,mi_wage_pct_change_2024_2030,mi_gdp_pct_change_2024_2030,auto_attributed_output,total_industry_output,auto_share_of_output
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,Materials & Processing - Non-Metals,Upstream,5524,-4.010993025722974,5.928505028558525,30.69803999691861,63487619.9849904,717260244.555891,0.08851406510659222
3255,"Paint, Coating, and Adhesive Manufacturing",1,Materials & Processing - Coatings & Surface Treatments,Upstream,4347,-0.0946318089710933,12.259859433846602,30.43615046713143,481253380.20497423,934455018.222942,0.5150096803163156
3261,Plastics Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,34371,-5.8367142964990455,15.42830193830216,17.527795855030416,663456631.0443498,2827255459.620097,0.23466455031039166
3262,Rubber Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,5147,-12.990833057016868,5.5515232148048055,1.581927902567325,201859128.54580596,368355188.8874949,0.5480013167602178
3272,Glass and Glass Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,2802,-9.09571418424086,10.489028561170894,0.3336415648663612,195236783.37561148,339733688.54702634,0.5746759593097773
3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,Materials & Processing - Metals,Upstream,3258,-16.971325974482504,9.523471513018205,-1.29529587664095,874422853.0883023,2104222901.7247121,0.41555619054026427
3312,Steel Product Manufacturing from Purchased Steel,1,Materials & Processing - Metals,Upstream,1974,-15.007230370890202,11.21377298759406,5.6715982207323945,248213268.6802394,617717566.321419,0.40182323154314475
3313,Alumina and Aluminum Production and Processing,1,Materials & Processing - Metals,Upstream,2698,-11.217919509285505,13.12738322611663,69.16021411136859,62219761.96423961,193965247.021464,0.32077788634659093
3314,Nonferrous Metal (except Aluminum) Production and Processing,1,Materials & Processing - Metals,Upstream,1262,-16.72114924886053,15.441048033406032,60.435169261794975,41188315.53280928,140456716.7187684,0.2932456097153347
3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,Materials & Processing - Coatings & Surface Treatments,Upstream,11221,-3.21027690266793,6.794475967426446,25.26277384432373,188054543.2922008,799032426.4044636,0.23535283059590018
3335,Metalworking Machinery Manufacturing,2,Equipment Manufacturing,Upstream,29604,-7.811404327376457,-4.021880535343775,3.809586577382275,92055752.96998747,1178482303.385187,0.07811381868489463
3339,Other General Purpose Machinery Manufacturing,2,Equipment Manufacturing,Upstream,17946,1.053256053597212,10.11815420057279,16.39233001955671,61343862.70014461,279971379.41435003,0.21910762031628012
3315,Foundries,3,Forging & Foundries,Upstream,9349,-22.87394607610792,1.553981049670505,59.15842012573852,571396613.9965641,850540381.8973601,0.671804215482291
3321,Forging and Stamping,3,Forging & Foundries,Upstream,6988,-4.215445014961645,1.3093353913429064,20.671709925631955,392572973.06890786,1000312842.505208,0.3924501979658069
3326,Spring and Wire Product Manufacturing,4,Parts & Machining,Upstream,2869,-1.3137819692068808,2.1758793057528187,13.027319100230372,113574743.83656208,282504672.037387,0.4020278426458429
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,Parts & Machining,Upstream,24530,-6.612320553472944,1.4181334330958013,22.52279892131704,714059002.922472,1879654945.263101,0.3798883431887138
3329,Other Fabricated Metal Product Manufacturing,4,Parts & Machining,Upstream,10865,-0.8704164469529019,13.034041304870549,27.65542711728528,123955995.31658816,773834946.1061854,0.16018402366074969
3344,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream,12179,-3.04971832658572,38.516082401512485,53.40043561389029,44013000.05807021,196784504.7078964,0.22366090319663312
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,Component Systems,Upstream,4970,-4.464605443600771,7.993962723854358,11.358846866630577,193926191.59701607,270484622.1844906,0.7169582877977587
3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,Component Systems,Upstream,8867,-2.726702620877361,12.393433271341902,19.409224378571977,2177771.587825858,104319121.16319665,0.02087605381969194
3359,Other Electrical Equipment and Component Manufacturing,5,Component Systems,Upstream,4446,2.126263147746479,27.24970080967578,16.300083474445074,131928585.65797764,262014440.02503878,0.5035164689601467
5413,"Architectural, Engineering, and Related Services",6,Engineering & Design,OEM,84452,2.727586677577237,22.5658126422611,36.42881892324631,80899860.19113716,11169430193.11,0.007242971108861151
5414,Industrial design,6,Engineering & Design,OEM,10458,-2.0096726335445387,19.52811607277482,14.621598286318491,54233246.20995278,1610668591.0,0.033671263295872375
5417,Scientific Research and Development ,6,Engineering & Design,OEM,25297,9.323465545195257,35.621578613658926,37.13461450751062,42566197.14448728,15786953055.44,0.00269628958767439
3361,Motor Vehicle Manufacturing,7,Core Automotive,OEM,48138,27.199870176160857,24.862203254629343,42.94047754260967,41232178.466032654,5974767166.61719,0.006901051926577015
3362,Motor Vehicle Body and Trailer Manufacturing,7,Core Automotive,OEM,7921,0.365456489054978,18.238153957008077,29.55052086203477,181123729.06581342,563855320.341388,0.32122376526686225
3363,Motor Vehicle Parts Manufacturing,7,Core Automotive,OEM,117023,-9.57037250942021,3.6827329681267114,12.303413624833322,15974107293.051094,18437819269.109344,0.8663772575216666
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,25978,3.668049189282737,22.47873542247077,25.09669897264981,9231845183.18,11426577015.0,0.807927445906249
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,6359,-0.7629358523141591,19.53300557839163,22.543724601810787,399889665.4134963,1845386217.7149193,0.21669700443989792
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,24407,0.997814058104456,22.71850400693711,18.075614300399607,2441192878.701,5955114974.0,0.40993211539310914
4239,Miscellaneous Durable Goods Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,8732,0.2242524361170545,22.15833472713149,22.967162734280528,831349567.5701634,3836460821.0389113,0.21669700443989792
4247,Petroleum and Petroleum Products Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,3846,-5.734584607605438,19.59343071958918,17.974924209268785,50661250.87738614,5534119845.0,0.009154346544041302
4413,"Automotive Parts, Accessories, and Tire Retailers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,18192,1.181548779962319,21.64742058030206,40.61401511232299,192005675.2086561,3450869251.6666665,0.0556398000636863
4571,Gasoline Stations,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,27826,1.5792617734133918,25.595938346462223,-4.27810516326549,2807252.155161857,1406500640.5714283,0.0019959124611712486
4411,Automobile Dealers,9,"Dealers, Maintenance, & Repair",Downstream,38262,0.4018365994655196,20.672716894227523,35.640482899511234,89602648.43070617,1610405650.7777777,0.0556398000636863
8111,Automotive Repair and Maintenance,9,"Dealers, Maintenance, & Repair",Downstream,31338,6.212770114514354,36.96030962653682,12.143165385690372,51187057.819795996,8208432046.9,0.0062359117462789165
4841,General Freight Trucking,10,Logistics,Downstream,35249,-9.666031196056382,6.327774650863423,11.087148804929528,438784247.83129084,3126152115.0882354,0.14035921211687621
4842,Specialized Freight Trucking,10,Logistics,Downstream,11640,-15.008952186685834,5.773744562364095,14.937160232999716,1550371009.0038943,11045737473.311764,0.14035921211687624
