naics_agg_code,naics_agg_title,auto_attributed_output,total_industry_output,auto_share_of_output
11,"11 Agriculture, Forestry, Fishing and Hunting",18091.273117574263,7188678809.512885,2.5166339458140503e-06
21,"21 Mining, Quarrying, and Oil and Gas Extraction",5420535.713117222,3176891292.523055,0.00170623896570672
22,22 Utilities,451091254.7476942,22026762550.584,0.020479235371597283
23,23 Construction,183967557.1647,56395144772.1,0.0032621169412391164
31-33,31-33 Manufacturing,23275491047.10476,71776806958.16139,0.32427593304160235
42,42 Wholesale Trade,17103249520.189436,68859949206.35,0.2483773182715656
44-45,44-45 Retail Trade,862466525.1408435,55834833875.72,0.015446746507038332
48-49,48-49 Transportation and Warehousing,2213022388.4921107,31905567712.7518,0.06936163645217398
51,51 Information,303434056.70918715,38592179058.12589,0.007862579002138432
52,52 Finance and Insurance,1165374435.1254299,73309886782.704,0.015896552105989295
53,53 Real Estate and Rental and Leasing,482491377.1409087,130554771509.74791,0.0036957008277930564
54,"54 Professional, Scientific, and Technical Services",904441397.3505237,68601815783.2396,0.013183927962027669
55,55 Management of Companies and Enterprises,1711633343.117,20643119533.0,0.08291544019695234
56,56 Administrative and Support and Waste Management and Remediation Services,769504986.1556351,38684460803.53912,0.019891836933274135
61,61 Educational Services,0.0,6326510627.0,0.0
62,62 Health Care and Social Assistance,0.0,84058853602.80591,0.0
71,"71 Arts, Entertainment, and Recreation",7934416.994380765,8376421537.5385,0.0009472322947004381
72,72 Accommodation and Food Services,50267303.021158494,35210454140.754135,0.0014276243873542346
81,81 Other Services (except Public Administration),236123791.76492232,30921966540.5392,0.007636118209214158
9A,9A Government Enterprises,58279071.678930685,8346764962.027468,0.006982234667450661
9B,9B Administrative Government,0.0,59458945798.0,0.0
