commodity_code,commodity_description,total_demand,auto_demand,auto_share
3001,Oilseeds,36558961699.13142,0.0,0.0
3002,Grains,81473591873.23901,0.0,0.0
3003,Vegetables and melons,27602188121.40657,0.0,0.0
3004,Fruit,22193063730.65865,0.0,0.0
3005,Tree nuts,3525622324.3255744,0.0,0.0
3006,"Greenhouse, nursery, and floriculture products",21004650226.895397,0.0,0.0
3007,Tobacco,357345308.4872292,0.0,0.0
3008,Cotton,1383426031.1080651,0.0,0.0
3009,Sugarcane and sugar beets,5191287648.623565,0.0,0.0
3010,All other crops,16890812186.127344,0.0,0.0
3011,Beef cattle,100570884565.02072,0.0,0.0
3012,Dairy cattle and milk products,45613009084.29868,0.0,0.0
3013,Poultry and egg products,66552408707.58821,0.0,0.0
3014,"Animal products, except cattle and poultry and eggs",36863579860.68886,0.0,0.0
3015,"Forest, timber, and forest nursery products",2990857884.6380434,0.0,0.0
3016,Logs and roundwood,8448433801.441412,0.0,0.0
3017,Fish,5078481611.315142,0.0,0.0
3018,"Wild game products, pelts, and furs",2233355437.151093,0.0,0.0
3019,Support activities for agriculture and forestry,48706937957.41137,0.0,0.0
3020,Natural gas and crude petroleum,292337097858.45996,0.0,0.0
3021,Coal,40857229755.84161,54544417.644348726,0.0013350003896568678
3022,"Copper, nickel, lead, and zinc ore",13190667331.27967,0.0,0.0
3023,Iron ore,4340058230.911649,21214704.10986074,0.004888115085360156
3024,Gold ore and silver ore,12286194349.726753,0.0,0.0
3025,Other metal ore,2475787040.803632,2134272.148509466,0.0008620580499592116
3026,Stone,20667682949.161564,0.0,0.0
3027,Sand and gravel,13633035691.956074,0.0,0.0
3028,"Other clay, ceramic, refractory minerals",1500655855.483594,0.0,0.0
3029,Other nonmetallic minerals,2568004716.023559,0.0,0.0
3030,Oil and gas wells,10445942321.485329,0.0,0.0
3031,Support activities for oil and gas operations,84319620628.24416,0.0,0.0
3032,Metal mining services,1300721949.0762482,0.0,0.0
3033,Other nonmetallic minerals services,2839150206.33915,0.0,0.0
3034,Electricity,276187450227.9446,0.0,0.0
3042,Electricity transmission and distribution,476716459532.99744,2626367749.977191,0.005509286909350775
3043,Natural gas distribution,128502739624.30928,421372046.40146434,0.0032790899838663987
3044,"Water, sewage and other systems",111205548335.56746,214175368.27133352,0.0019259413894084697
3045,Newly constructed health care structures,64056169723.1111,0.0,0.0
3046,Newly constructed manufacturing structures,121364019696.547,0.0,0.0
3047,Newly constructed power and communication structures,148938797343.14398,0.0,0.0
3048,Newly constructed educational and vocational structures,111456074477.272,0.0,0.0
3049,Newly constructed highways and streets,184673505866.025,0.0,0.0
3050,"Newly constructed commercial structures, including farm structures",243376881135.02496,0.0,0.0
3051,Newly constructed nonresidential structures,139480808713.14496,0.0,0.0
3052,Newly constructed single-family residential structures,487342844054.09393,0.0,0.0
3053,Newly constructed multifamily residential structures,123400348845.2037,0.0,0.0
3054,Newly constructed residential structures,391472167861.4049,0.0,0.0
3055,Maintained and repaired nonresidential structures,252035728962.0765,1009244845.4563006,0.004004372116653986
3056,Maintained and repaired residential structures,100977022376.28006,0.0,0.0
3057,"Maintained and repaired highways, streets, bridges, and tunnels",43122252546.78936,0.0,0.0
3058,Dog and cat food,37605972314.37033,0.0,0.0
3059,Other animal food,58710412310.23072,0.0,0.0
3060,Flour,17936142481.74189,0.0,0.0
3061,Rice,3351865062.3955994,0.0,0.0
3062,Malt,1801136196.02208,0.0,0.0
3063,Wet corn,29511973175.636284,0.0,0.0
3064,Soybean and other oilseed processing,54260068152.623215,0.0,0.0
3065,Fats and oils refining and blending,20553700146.59789,0.0,0.0
3066,Breakfast cereal,12038390506.868242,0.0,0.0
3067,Beet sugar,5057424047.343537,0.0,0.0
3068,Sugar cane,8537015951.643967,0.0,0.0
3069,Nonchocolate confectioneries,14647571784.393778,0.0,0.0
3070,Chocolate and confectioneries  from cacao beans,3043807676.88464,0.0,0.0
3071,Confectioneries from purchased chocolate,15982756509.921589,0.0,0.0
3072,"Frozen fruits, juices and vegetables",18213388861.420002,0.0,0.0
3073,Frozen specialties,26523955227.589176,0.0,0.0
3074,Canned fruits and vegetables,35049657328.01188,0.0,0.0
3075,Canned specialties,12396603538.627964,0.0,0.0
3076,Dehydrated food products,9937367128.174538,0.0,0.0
3077,Cheese,60318801318.22708,0.0,0.0
3078,"Dry, condensed, and evaporated dairy products",22324980458.931362,0.0,0.0
3079,Fluid milk,47388851613.27676,0.0,0.0
3080,Creamery butter,4037979876.92768,0.0,0.0
3081,Ice cream and frozen dessert,10559765120.525646,0.0,0.0
3082,Frozen cakes and other pastries,5683498987.330698,0.0,0.0
3083,Processed poultry meat products,88025157204.651,0.0,0.0
3084,Meat (except poultry) produced in slaughtering plant,85464791570.68495,0.0,0.0
3085,Meat processed from carcasses,104465745575.73703,0.0,0.0
3086,Processed animal rendered byproducts,8220476296.485737,0.0,0.0
3087,Seafood products,20045571720.258892,0.0,0.0
3088,"Bread and bakery products, except frozen",70626858824.48073,0.0,0.0
3089,Cookies and crackers,13123232326.168133,0.0,0.0
3090,"Dry pasta, mixes, and dough",15774805813.033457,0.0,0.0
3091,Tortillas,4688783496.398892,0.0,0.0
3092,Roasted nuts and peanut butter,14989258197.688961,0.0,0.0
3093,Other snack foods,40840632820.26745,0.0,0.0
3094,Coffee and tea,18899343433.968964,0.0,0.0
3095,Flavoring syrup and concentrate,20547853925.800346,0.0,0.0
3096,"Mayonnaise, dressings, and sauces",13300832028.22705,0.0,0.0
3097,Spices and extracts,21081144491.22533,0.0,0.0
3098,All other food products,50677933620.96087,0.0,0.0
3099,Bottled and canned soft drinks and water,75604029260.25777,0.0,0.0
3100,Manufactured ice,1549969876.195564,0.0,0.0
3101,"Beer, ale, malt liquor and nonalcoholic beer",38246926362.82522,0.0,0.0
3102,Wine and brandies,30689964456.522015,0.0,0.0
3103,Distilled liquors except brandies,25485286028.956646,0.0,0.0
3104,"Cigarettes, cigars, smoking and chewing tobacco, and reconstituted tobacco",52367703178.07824,0.0,0.0
3105,"Fiber filaments, yarn, and thread",2559741156.8698745,82100454.61319005,0.03207373307759948
3106,Broadwoven fabrics and felts,3947402416.639345,4137451.6851672702,0.00104814540005519
3107,Narrow fabrics  and schiffli machine embroidery,573267265.703852,0.0,0.0
3108,Nonwoven fabrics,4492686963.600704,83088325.74696304,0.018494127549979835
3109,Knitted fabrics,851476509.1983675,34702662.93879694,0.04075586650237499
3110,Finished textiles and fabrics,8076750984.028793,551840596.5007199,0.06832457724547232
3111,Coated fabric coating,2549756978.2933283,57731704.64056485,0.02264204201892503
3112,Carpets and rugs,10900800260.832788,1166609521.569338,0.10702053919481803
3113,Curtains and linens,3655123413.2522826,0.0,0.0
3114,Textile bags and canvas,3671080425.5998616,0.0,0.0
3115,"Rope, cordage, twine, tire cord and tire fabric",3552905399.8562765,0.0,0.0
3116,Other textile products,7581364630.837633,206647778.21041495,0.027257332719476824
3117,Knitted apparel,486323242.8991577,4109.7974778768685,8.450752740865938e-06
3118,Cut and sewn apparel,15367924005.9108,0.0,0.0
3120,Apparel accessories and other apparel,2355362449.3642874,196707.61885146392,8.351479786245014e-05
3121,Tanned and finished leather and hides,947801378.6488612,479322245.5230739,0.5057201395996829
3122,Footwear,2645165836.131617,0.0,0.0
3123,Other leather and allied products,2167059521.649772,33627137.17888332,0.01551740357979791
3124,Dimension lumber,49909192034.63889,470231977.0881264,0.009421750942426947
3125,Preserved wood products,11116361539.76572,156347207.94129226,0.014064602647368314
3126,Veneer and plywood,12472847049.608889,405706544.1040596,0.032527180241241016
3127,Engineered wood members and trusses,18689738389.041126,696487912.2364888,0.037265792475986714
3128,Reconstituted wood products,16072136921.122253,471499835.9812438,0.029336474564349395
3129,Wood windows and doors,20419448085.751694,464484055.8414924,0.022747140563784417
3130,"Cut stock, resawn and planed lumber",1787947657.9027581,192448264.9600039,0.10763640876699014
3131,"Other millwork, including flooring",11660425922.936394,293228804.9532552,0.025147349409978727
3132,Wood containers and pallets,18114218473.326633,539806149.5570979,0.02980013464847892
3133,Manufactured homes (mobile homes),10058110787.238005,0.0,0.0
3134,Prefabricated wood buildings,7080226038.249429,0.0,0.0
3135,All other miscellaneous wood products,8104116396.983563,24772677.987070944,0.003056801849032128
3136,Wood pulp,338497542.8850688,0.0,0.0
3137,Paper from pulp,48227503811.143036,59871327.70031813,0.0012414353422638632
3138,Paperboard from pulp,28434191195.01545,258732905.74327502,0.009099358725161532
3139,Paperboard containers,91156691999.56541,5766439774.632751,0.06325854578685504
3140,Paper bags and coated and treated paper,23081935950.118446,172734018.46807575,0.007483515197397875
3141,Stationery products,5955157649.734106,0.0,0.0
3142,Sanitary paper products,20576636563.75191,0.0,0.0
3143,All other converted paper products,7330010253.887664,6359003.796965548,0.0008675300001924121
3144,Printed materials,64772585499.16696,4771283.68508601,7.366208478967345e-05
3145,Printing support services,4210535532.312639,0.0,0.0
3146,Refined petroleum products,613474429664.6659,243881464.02866864,0.0003975413680436165
3147,Asphalt paving mixtures and blocks,20102526507.83745,91695464.40917592,0.004561390050819048
3148,Asphalt shingles and coating materials,21798334174.97248,0.0,0.0
3149,Petroleum lubricating oil and grease,25924189558.465725,170822361.5168068,0.0065893038288259076
3150,All other petroleum and coal products,8820209817.520464,71464733.38816069,0.008102384735361188
3151,Petrochemicals,187995812832.93417,52030977.375070244,0.00027676668214578003
3152,Industrial gases,36610475004.20236,61725571.15208405,0.0016860084755797031
3153,Synthetic dyes and pigments,6199500948.356754,14162457.254931089,0.002284451179684875
3154,Other basic inorganic chemicals,34746869814.47137,72369472.16758098,0.0020827623482055514
3155,Other basic organic chemicals,110284623452.9233,454709718.93509084,0.004123056367229569
3156,Plastics materials and resins,90468769397.19809,2021423068.7257586,0.022343877143401976
3157,Synthetic rubbers,6656574338.731833,31182665.716063008,0.004684491471029485
3158,Artificial and synthetic fibers and filaments,24297285115.87652,2020227287.5282588,0.0831462148093322
3159,Nitrogenous fertilizer,18433918464.19568,9210981.583782366,0.0004996757255747288
3160,Phosphatic fertilizer,12279198693.152668,6928054.667581792,0.0005642106493028026
3162,Pesticides and other agricultural chemicals,26318188557.604267,0.0,0.0
3163,Medicines and botanicals,27198944436.621326,0.0,0.0
3164,Pharmaceuticals,250440296279.8447,0.0,0.0
3165,In-vitro diagnostic substances,7851450060.206962,0.0,0.0
3166,Biological products (except diagnostic),16904477617.93966,0.0,0.0
3167,Paints and coatings,37758949948.321495,6851647089.1105995,0.1814575643254925
3168,Adhesives,18032760842.10072,3438925971.9787197,0.1907043520451915
3169,Soaps and other detergents,31676088058.8738,20311692.035722066,0.000641231076197615
3170,Polish and other sanitation goods,18105573692.07916,8867904.77997991,0.0004897886656780972
3171,Surface active agents,720196950.1975414,480093.15882770484,0.0006666137071200053
3172,Toilet preparations,44157447840.80566,0.0,0.0
3173,Printing inks,3650219981.239694,0.0,0.0
3174,Explosives,3103797484.434804,0.0,0.0
3175,Compounded resins,11801073507.886042,302218775.15324503,0.025609430781978266
3176,Photographic films and chemicals,4267805981.828185,5183907.814030473,0.0012146540484977392
3177,Other miscellaneous chemical products,29555073684.34768,73825279.20075206,0.002497888517863849
3178,Plastics packaging materials and unlaminated films and sheets,47946475114.92094,2788459971.766812,0.058157767908553586
3179,Unlaminated plastics profile shapes,11602101682.72056,536166064.9594409,0.04621283967524374
3180,Plastics pipes and pipe fittings,25476038208.91391,400973606.0397998,0.015739244962330978
3181,"Laminated plastics plates, sheets (except packaging), and shapes",8088081098.097337,302348045.6051246,0.03738192556900175
3182,Polystyrene foam products,14179157035.64268,262475930.5655985,0.01851139174958024
3183,Urethane and other foam products (except polystyrene),18624505896.680157,1869698836.5643363,0.10038917794311057
3184,Plastics bottles,18000298404.31293,0.0,0.0
