ReceivingCode,ReceivingDescription,total_industry_output,auto_attributed_output,auto_share_of_output
1,Oilseed farming,366055884.8,1610.7826466768272,4.400373586554692e-06
2,Grain farming,1441160683.213,3757.30549115993,2.607138492553928e-06
3,Vegetable and melon farming,491751102.33100003,1384.1962092602698,2.814830922999255e-06
4,Fruit farming,396137724.298,860.8773747444583,2.1731769582662913e-06
5,Tree nut farming,330310.21620599995,1.2431969297775027,3.763725336918358e-06
6,"Greenhouse, nursery, and floriculture production",467578056.5,1864.0256609203482,3.986555046815693e-06
9,Sugarcane and sugar beet farming,275650605.9579,368.0961707210307,1.335372253008034e-06
10,All other crop farming,14935495.8255786,285.7104473648968,1.912962587258655e-05
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",819825980.38,1015.6357718792312,1.2388431157164242e-06
12,Dairy cattle and milk production,1195329646.913,4653.774018140649,3.893297577081986e-06
13,Poultry and egg production,416644806.544,1521.583554803762,3.6519921307193207e-06
14,"Animal production, except cattle and poultry and eggs",557798167.7540001,768.0425730796101,1.3769184222532834e-06
15,"Forestry, forest products, and timber tract production",19367432.4602,0.0,0.0
16,Commercial logging,150816218.7,0.0,0.0
17,Commercial fishing,21970843.78,0.0,0.0
18,Commercial hunting and trapping,39935111.14,0.0,0.0
19,Support activities for agriculture and forestry,513390738.7,0.0,0.0
20,Oil and gas extraction,1834143114.996143,750539.5141501359,0.00040920444430625263
22,"Copper, nickel, lead, and zinc mining",150688758.479,293773.1990467179,0.001949536262770777
23,Iron ore mining,78413989.34,2065524.705778807,0.0263412781719697
25,Other metal ore mining,23954563.59,51621.246551659046,0.002154965017739196
26,Stone mining and quarrying,357841027.9926,182783.34560598287,0.000510794825935283
27,Sand and gravel mining,302041179.40155,46745.778607539956,0.00015476624313333638
28,"Other clay, ceramic, refractory minerals mining",15307341.70332,8894.695093300405,0.0005810737922817284
29,Other nonmetallic mineral mining and quarrying,41039349.440675,150416.379165004,0.0036651745511327
30,Drilling oil and gas wells,42004181.948307,333.40488992186636,7.937421334194188e-06
31,Support activities for oil and gas operations,287787880.56346,276.54171806088084,9.609220427192408e-07
32,Metal mining services,33462036.558000002,1869626.9020828195,0.05587307571199921
33,Other nonmetallic minerals services,10207868.51,0.0,0.0
34,Electric power generation - Hydroelectric,173783460.9,0.0,0.0
35,Electric power generation - Fossil  fuel,3808107184.0,0.0,0.0
36,Electric power generation - Nuclear,3162915291.0,0.0,0.0
37,Electric power generation - Solar,55229614.34,0.0,0.0
38,Electric power generation - Wind,108849171.2,0.0,0.0
40,Electric power generation - Biomass,94070985.64,0.0,0.0
41,Electric power generation - All other,3320767.742,0.0,0.0
42,Electric power transmission and distribution,12735119400.0,420670912.35995233,0.033032349297011876
43,Natural gas distribution,1731295479.237,28393396.45700593,0.016400086985451607
44,"Water, sewage and other systems",154071196.525,2026945.9241949888,0.013155904347546824
45,Construction of new health care structures,1501498433.0,0.0,0.0
46,Construction of new manufacturing structures,2867435906.0,0.0,0.0
47,Construction of new power and communication structures,3299409405.0,0.0,0.0
48,Construction of new educational and vocational structures,2679599953.0,0.0,0.0
49,Construction of new highways and streets,4323903229.0,0.0,0.0
50,"Construction of new commercial structures, including farm structures",5806628748.0,0.0,0.0
51,Construction of other new nonresidential structures,3227653063.0,0.0,0.0
52,Construction of new single-family residential structures,11609101913.0,0.0,0.0
53,Construction of new multifamily residential structures,2880721040.0,0.0,0.0
54,Construction of other new residential structures,9107862759.0,0.0,0.0
55,Maintenance and repair construction of nonresidential structures,5628511802.0,183967557.17019626,0.0326849376250444
56,Maintenance and repair construction of residential structures,2464693963.0,0.0,0.0
57,"Maintenance and repair construction of highways, streets, bridges, and tunnels",998124558.1,0.0,0.0
58,Dog and cat food manufacturing,21033283.782899998,0.0,0.0
59,Other animal food manufacturing,488529096.2149671,95.01622860576953,1.9449451289992277e-07
60,Flour milling,446764376.7054,0.0,0.0
64,Soybean and other oilseed processing,118982078.66103499,13541.118543953009,0.00011380805156825304
65,Fats and oils refining and blending,74903481.4716,0.0,0.0
66,Breakfast cereal manufacturing,260817544.615027,0.0,0.0
67,Beet sugar manufacturing,131525282.03048001,1103.5955973132634,8.390748761576602e-06
68,Sugar cane mills and refining,928845.6474967,9.720731530363976,1.0465389547296674e-05
69,Nonchocolate confectionery manufacturing,31208089.0273121,0.0,0.0
70,Chocolate and confectionery manufacturing from cacao beans,7909036.4042793,0.0,0.0
71,Confectionery manufacturing from purchased chocolate,22006209.297073,0.0,0.0
72,"Frozen fruits, juices and vegetables manufacturing",481824943.417,1184.8613918827089,2.4591117750773213e-06
73,Frozen specialties manufacturing,171531531.63059,1075.5427535665287,6.2702334861838445e-06
74,Canned fruits and vegetables manufacturing,155306394.64562,260.1711341270473,1.6752119880234742e-06
75,Canned specialties,108295728.557453,93.1845868226357,8.604641019908688e-07
76,Dehydrated food products manufacturing,7934309.166848,14.086073579389621,1.7753371192347277e-06
77,Cheese manufacturing,125229284.487296,0.0,0.0
78,"Dry, condensed, and evaporated dairy product manufacturing",356107363.4631,0.0,0.0
79,Fluid milk manufacturing,304405773.554962,0.0,0.0
80,Creamery butter manufacturing,88228186.80048199,0.0,0.0
81,Ice cream and frozen dessert manufacturing,142691040.2013319,0.0,0.0
82,Frozen cakes and other pastries manufacturing,16003622.972474,81.3565304465952,5.083632036728637e-06
83,Poultry processing,159576199.6197725,0.0,0.0
84,"Animal, except poultry, slaughtering",322248862.1218,0.0,0.0
85,Meat processed from carcasses,891025162.1033599,0.0,0.0
86,Rendering and meat byproduct processing,2822465.8435657,185774.9436074665,0.06582008566409145
87,Seafood product preparation and packaging,30372343.51797,0.0,0.0
88,"Bread and bakery product, except frozen, manufacturing",625413108.0151299,1943.5367201669267,3.107604710005389e-06
89,Cookie and cracker manufacturing,89119218.29685,0.0,0.0
90,"Dry pasta, mixes, and dough manufacturing",123896955.298108,0.0,0.0
91,Tortilla manufacturing,32907677.582068,0.0,0.0
92,Roasted nuts and peanut butter manufacturing,134375383.795149,0.0,0.0
93,Other snack food manufacturing,202827611.13008866,0.0,0.0
94,Coffee and tea manufacturing,98496649.595554,0.0,0.0
95,Flavoring syrup and concentrate manufacturing,13197402.136269402,0.0,0.0
96,"Mayonnaise, dressing, and sauce manufacturing",14876089.9094068,0.0,0.0
97,Spice and extract manufacturing,82944233.1891707,0.0,0.0
98,All other food manufacturing,115032659.0438952,691.2817759037627,6.009439246640183e-06
99,Bottled and canned soft drinks and water,1332244037.8941,0.0,0.0
100,Manufactured ice,34886493.88,0.0,0.0
101,Breweries,372655922.743208,0.0,0.0
102,Wineries,169281936.9289385,0.0,0.0
103,Distilleries,20070028.375826,47.89164430401996,2.38622703502027e-06
104,Tobacco manufacturing,74567341.6720201,12.132334331749561,1.6270305551608496e-07
105,"Fiber, yarn, and thread mills",1500197.87206,418721.8257696981,0.2791110649921995
106,Broadwoven fabric mills,1138069.13953633,78467.97377897531,0.06894833631192616
107,Narrow fabric mills and schiffli machine embroidery,106674.84944133599,3392.8438968553214,0.03180547162357288
108,Nonwoven fabric mills,580729.61226887,61441.14152896394,0.10579991140613218
109,Knit fabric mills,217469.4675032,40734.91937952115,0.18731328055935828
110,Textile and fabric finishing mills,5732942.3141942,1432603.3911974747,0.2498897272436337
111,Fabric coating mills,2423129.6166815,216599.15185486124,0.08938818227623165
112,Carpet and rug mills,170694097.63168576,82874554.80868433,0.4855150585669719
113,Curtain and linen mills,1071234.7818131,5321.236919263308,0.0049673862439912
114,Textile bag and canvas mills,10626234.2992492,48386.54004470348,0.004553498321425328
