ReceivingCode,ReceivingDescription,total_industry_output,auto_attributed_output,auto_share_of_output
1,Oilseed farming,34823986948.7646,9543.387448253347,2.7404637677742704e-07
2,Grain farming,80143826467.66069,23556.90158945212,2.9393282836273993e-07
3,Vegetable and melon farming,27003917375.882793,7921.707210832479,2.933540012201103e-07
4,Fruit farming,21880676486.84574,4229.834276581404,1.933136884101505e-07
5,Tree nut farming,3330453837.732912,1576.0224692325796,4.732155273785151e-07
6,"Greenhouse, nursery, and floriculture production",21230106521.079174,5476.84082428895,2.5797519286354243e-07
7,Tobacco farming,358238595.5677744,141.78102582816774,3.957726151853018e-07
8,Cotton farming,1468700927.6573927,3560.8205959231345,2.4244694946865146e-06
9,Sugarcane and sugar beet farming,5231211968.778194,763.6119589440841,1.45972283956682e-07
10,All other crop farming,17982160664.56377,44468.52623420687,2.472924531357235e-06
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",101271506989.87743,15940.234929775477,1.5740098477421473e-07
12,Dairy cattle and milk production,46129265135.48176,11739.026001881546,2.5448109713874696e-07
13,Poultry and egg production,67166305333.406204,13960.876536139762,2.078553594222504e-07
14,"Animal production, except cattle and poultry and eggs",35683775388.30454,6039.6590357506075,1.6925504574636805e-07
15,"Forestry, forest products, and timber tract production",1122321546.3870592,0.0,0.0
16,Commercial logging,8448433801.44141,0.0,0.0
17,Commercial fishing,3279956670.174722,0.0,0.0
18,Commercial hunting and trapping,1566855875.3119442,0.0,0.0
19,Support activities for agriculture and forestry,38461215932.23195,0.0,0.0
20,Oil and gas extraction,333168006686.3192,18073529.307129983,5.424749359006244e-05
21,Coal mining,40150095357.4833,53538976.2647846,0.00133347071253732
22,"Copper, nickel, lead, and zinc mining",14657650848.919561,5848028.458035512,0.0003989744685770421
23,Iron ore mining,3088283284.477201,15095884.110718615,0.004888115085360156
24,Gold ore and silver ore mining,12091750648.883698,59414.671327889715,4.913653370231782e-06
25,Other metal ore mining,2255641684.2081304,1944494.0716951727,0.0008620580499592116
26,Stone mining and quarrying,20610872019.217804,1169343.8770941056,5.673432332236096e-05
27,Sand and gravel mining,13085638216.673836,174134.61819649284,1.3307308005398543e-05
28,"Other clay, ceramic, refractory minerals mining",1453058126.2472458,552234.7771103936,0.0003800500249337086
29,Other nonmetallic mineral mining and quarrying,3920419131.250993,4428554.935760084,0.0011296126224001326
30,Drilling oil and gas wells,9614008071.40073,57035.0857848819,5.932498221480281e-06
31,Support activities for oil and gas operations,84895904226.19337,11644.608824115878,1.371633759043361e-07
32,Metal mining services,1827154500.2064228,44524159.6122932,0.024368032154512977
33,Other nonmetallic minerals services,2742129391.934865,0.0,0.0
34,Electric power generation - Hydroelectric,7449520656.211987,0.0,0.0
35,Electric power generation - Fossil  fuel,155036548375.45724,0.0,0.0
36,Electric power generation - Nuclear,49670331053.43911,0.0,0.0
37,Electric power generation - Solar,11135910035.130932,0.0,0.0
38,Electric power generation - Wind,28703655070.429054,0.0,0.0
39,Electric power generation - Geothermal,1114984556.5772123,0.0,0.0
40,Electric power generation - Biomass,3214514562.6132,0.0,0.0
41,Electric power generation - All other,674260190.7864262,0.0,0.0
42,Electric power transmission and distribution,432485318549.5157,2349366919.890196,0.005432246643122094
43,Natural gas distribution,107987908784.81638,359359795.0981134,0.003327778073878593
44,"Water, sewage and other systems",16625351591.333544,29897825.275681656,0.0017983273984573524
45,Construction of new health care structures,64056169723.1111,0.0,0.0
46,Construction of new manufacturing structures,121364019696.54698,0.0,0.0
47,Construction of new power and communication structures,148938797343.14398,0.0,0.0
48,Construction of new educational and vocational structures,111456074477.272,0.0,0.0
49,Construction of new highways and streets,184673505866.025,0.0,0.0
50,"Construction of new commercial structures, including farm structures",243376881135.025,0.0,0.0
51,Construction of other new nonresidential structures,139480808713.145,0.0,0.0
52,Construction of new single-family residential structures,487342844054.09393,0.0,0.0
53,Construction of new multifamily residential structures,123400348845.20367,0.0,0.0
54,Construction of other new residential structures,391472167861.40497,0.0,0.0
55,Maintenance and repair construction of nonresidential structures,252035728962.07648,1009244845.4563005,0.004004372116653986
56,Maintenance and repair construction of residential structures,100977022376.28006,0.0,0.0
57,"Maintenance and repair construction of highways, streets, bridges, and tunnels",43122252546.78936,0.0,0.0
58,Dog and cat food manufacturing,37549189480.58673,0.0,0.0
59,Other animal food manufacturing,59410406553.10848,2840.3864926158913,4.780957844610602e-08
60,Flour milling,20133559943.324448,0.0,0.0
61,Rice milling,3343824149.2509766,0.0,0.0
62,Malt manufacturing,1352983034.9611888,0.0,0.0
63,Wet corn milling,27304323390.596943,7743267.096953641,0.00028359124619877104
64,Soybean and other oilseed processing,57619001648.91759,3062564.491194415,5.3151988121126134e-05
65,Fats and oils refining and blending,18624896909.84264,0.0,0.0
66,Breakfast cereal manufacturing,12633970296.921532,0.0,0.0
67,Beet sugar manufacturing,4970032812.842694,57517.18228895699,1.1572797294281657e-05
68,Sugar cane mills and refining,8469769289.1381,98368.21259638427,1.1614036845435068e-05
69,Nonchocolate confectionery manufacturing,12906449601.724796,0.0,0.0
70,Chocolate and confectionery manufacturing from cacao beans,5668984316.073896,0.0,0.0
71,Confectionery manufacturing from purchased chocolate,13156911599.340523,0.0,0.0
72,"Frozen fruits, juices and vegetables manufacturing",17864783415.625065,14420.654108047564,8.072112475449792e-07
73,Frozen specialties manufacturing,26691763160.67403,19543.349196942978,7.321865205868799e-07
74,Canned fruits and vegetables manufacturing,33172866356.07096,2269.0699869627815,6.840138451127602e-08
75,Canned specialties,10354650762.349049,659.1485216546948,6.365724318307775e-08
76,Dehydrated food products manufacturing,6829993570.312485,471.25656222212746,6.899809749023917e-08
77,Cheese manufacturing,66477777391.909355,0.0,0.0
78,"Dry, condensed, and evaporated dairy product manufacturing",23735226702.383327,0.0,0.0
79,Fluid milk manufacturing,46059567173.00833,0.0,0.0
80,Creamery butter manufacturing,6123724422.6548605,0.0,0.0
81,Ice cream and frozen dessert manufacturing,11135733250.757004,0.0,0.0
82,Frozen cakes and other pastries manufacturing,5392975927.307872,2712.6044160565116,5.029884154166104e-07
83,Poultry processing,87530214849.29192,0.0,0.0
84,"Animal, except poultry, slaughtering",101889452956.66795,0.0,0.0
85,Meat processed from carcasses,90875975393.71681,0.0,0.0
86,Rendering and meat byproduct processing,5413168620.729677,244647685.34371382,0.045194913087842466
87,Seafood product preparation and packaging,19785280036.777832,0.0,0.0
88,"Bread and bakery product, except frozen, manufacturing",71943734597.1081,35650.116605943316,4.955277454748135e-07
89,Cookie and cracker manufacturing,14080127055.882753,0.0,0.0
90,"Dry pasta, mixes, and dough manufacturing",14078050809.14672,0.0,0.0
91,Tortilla manufacturing,5943861374.013343,0.0,0.0
92,Roasted nuts and peanut butter manufacturing,15448775326.813078,0.0,0.0
93,Other snack food manufacturing,39633479242.058014,0.0,0.0
94,Coffee and tea manufacturing,19331627559.112167,0.0,0.0
95,Flavoring syrup and concentrate manufacturing,20275165546.036552,0.0,0.0
96,"Mayonnaise, dressing, and sauce manufacturing",13807966402.651564,0.0,0.0
97,Spice and extract manufacturing,19270057824.127842,0.0,0.0
98,All other food manufacturing,48755690783.0292,6361.799457338526,1.3048321857749024e-07
99,Bottled and canned soft drinks and water,73956891299.58508,0.0,0.0
100,Manufactured ice,1549969876.1955645,0.0,0.0
101,Breweries,38047756206.06633,0.0,0.0
102,Wineries,30780776316.0157,0.0,0.0
103,Distilleries,22672048373.504414,9188.193118117813,4.0526523967969096e-07
104,Tobacco manufacturing,52383677427.07177,14990.228031707173,2.8616219341562025e-07
105,"Fiber, yarn, and thread mills",6212991476.348427,310178304.59866893,0.049924147776389774
106,Broadwoven fabric mills,5387229511.146369,76671869.0392655,0.014232151958744041
107,Narrow fabric mills and schiffli machine embroidery,632652205.6328619,2331340.4096425897,0.0036850269214038014
108,Nonwoven fabric mills,6555545776.376432,140213397.03773227,0.021388516199979158
109,Knit fabric mills,819260839.6731428,32586263.810437813,0.03977520007356707
110,Textile and fabric finishing mills,6355467678.119836,427647226.15079296,0.06728808135128549
111,Fabric coating mills,2290900462.3244376,52644416.74451839,0.022979792273952967
112,Carpet and rug mills,10939634895.357687,1163066549.1732392,0.10631676105267415
113,Curtain and linen mills,3114836079.3275285,722540.105983412,0.00023196729702045939
114,Textile bag and canvas mills,5677043563.981651,4752218.888555691,0.0008370939618477535
115,"Rope, cordage, twine, tire cord and tire fabric mills",1575693589.0789378,14215.745457257219,9.021897122502698e-06
116,Other textile product mills,5612225243.387936,357334126.64157945,0.06367066736364048
117,Apparel knitting mills,925670993.0074884,2668397.049732972,0.002882662490118004
118,Cut and sew apparel contractors,2686620873.3385177,96273.825739938,3.583454096383304e-05
119,Cut and sew apparel manufacturing (except contractors),12156627018.158382,1090210.0965982021,8.968031140296997e-05
120,Apparel accessories and other apparel manufacturing,2670857879.447221,14951587.025126798,0.005598046657660902
121,Leather and hide tanning and finishing,1100959832.17184,170715231.2480569,0.15506036302095655
122,Footwear manufacturing,2237749478.9425983,122189.68840291801,5.4603828334106546e-05
123,Other leather and allied product manufacturing,1811959440.0550332,34278532.716443226,0.018917935997177792
124,Sawmills,45378817766.37135,434035673.98582006,0.009564719738191783
125,Wood preservation,10979673692.187033,153470700.06050122,0.01397771048238971
126,Veneer and plywood manufacturing,12904965512.115288,409807622.5013024,0.03175580919736451
127,Engineered wood member and truss manufacturing,18623175230.776245,682946998.6118805,0.03667188812589045
128,Reconstituted wood product manufacturing,16039732974.504246,468939332.68180346,0.029236105951838478
129,Wood windows and door manufacturing,20376148290.73523,469979090.1984336,0.023065158512422437
130,"Cut stock, resawing lumber, and planing",5570329979.694743,177403479.46386883,0.03184793003476441
131,"Other millwork, including flooring",12252286196.653795,320918795.9253008,0.02619256445486447
132,Wood container and pallet manufacturing,18017523098.92777,535002549.38054156,0.029693457110782327
133,Manufactured home (mobile home) manufacturing,10109273944.023672,0.0,0.0
134,Prefabricated wood building manufacturing,7444613201.635083,15232983.195879215,0.00204617523883357
135,All other miscellaneous wood product manufacturing,7576863011.455189,28367590.854878206,0.003743975681227212
136,Pulp mills,509882600.0174707,2315198.6564893425,0.004540650448573875
137,Paper mills,43946961284.416336,52209737.90403512,0.0011880170181993626
138,Paperboard mills,28560823636.667183,255704032.77846718,0.008952964243306598
139,Paperboard container manufacturing,92255533894.02278,5771092332.270836,0.0625555138936196
140,Paper bag and coated and treated paper manufacturing,23476311401.441048,193434898.23945794,0.008239577969969521
141,Stationery product manufacturing,5899372684.139332,87856.6523652953,1.4892541473350372e-05
142,Sanitary paper product manufacturing,24780504399.25864,17848924.344661,0.0007202809134585246
143,All other converted paper product manufacturing,6879015171.785775,6028374.99285187,0.000876342738358421
144,Printing,84528815038.70267,76409368.77791576,0.0009039446340627239
145,Support activities for printing,2888059590.613339,402304.57035848463,0.00013929926226800845
146,Petroleum refineries,602982019013.4491,337720684.3192944,0.0005600841711198055
147,Asphalt paving mixture and block manufacturing,19864836151.823803,98185259.64347532,0.004942666473212309
148,Asphalt shingle and coating materials manufacturing,21931435688.392895,1153439.385024278,5.259297208867772e-05
149,Petroleum lubricating oil and grease manufacturing,15640343894.846811,96894060.73721157,0.006195136205997125
150,All other petroleum and coal products manufacturing,5905285343.376104,51655124.69172133,0.00874726989266697
151,Petrochemical manufacturing,199691242893.42078,578310169.114547,0.0028960216819482803
152,Industrial gas manufacturing,36587648052.41137,65885696.27319436,0.001800763366336472
153,Synthetic dye and pigment manufacturing,6191438383.888646,14153270.60893318,0.0022859422530575133
154,Other basic inorganic chemical manufacturing,32513943133.87725,77970697.35950072,0.002398069561678624
155,Other basic organic chemical manufacturing,95171732516.3256,499149584.4870889,0.005244725206630715
156,Plastics material and resin manufacturing,79524344346.114,1825165491.276888,0.02295102847164908
157,Synthetic rubber manufacturing,5437670205.155364,27490279.89781174,0.00505552541081816
158,Artificial and synthetic fibers and filaments manufacturing,19426517987.47893,1588220659.8376746,0.08175529247502503
159,Nitrogenous fertilizer manufacturing,17909567376.084866,10257743.351583693,0.0005727521573346958
160,Phosphatic fertilizer manufacturing,7088614376.569975,4753743.793011521,0.0006706167863671762
161,Fertilizer mixing,5166264170.234702,3338110.2479058644,0.0006461361900806971
162,Pesticide and other agricultural chemical manufacturing,25630157828.472767,22855.022635498055,8.917238351965281e-07
163,Medicinal and botanical manufacturing,27364873138.270424,4276366.302180505,0.000156272104042752
164,Pharmaceutical preparation manufacturing,250887986409.2566,2971375.3779986235,1.184343427728588e-05
165,In-vitro diagnostic substance manufacturing,8319549641.514595,0.0,0.0
166,Biological product (except diagnostic) manufacturing,18160788228.84171,0.0,0.0
167,Paint and coating manufacturing,37429155833.32979,6751059371.071058,0.180368998999956
168,Adhesive manufacturing,17542119569.148163,3317536010.543535,0.189118310217095
169,Soap and other detergent manufacturing,34842875121.96608,22151203.634801812,0.0006357455737295622
170,Polish and other sanitation good manufacturing,14041366875.672739,7442530.926231476,0.0005300431925275007
171,Surface active agent manufacturing,2271417214.211806,14813403.3763817,0.006521656736462673
172,Toilet preparation manufacturing,44985909468.17581,1738872.2119905134,3.865370807320537e-05
173,Printing ink manufacturing,3403280735.173884,2506501.113643865,0.0007364955490560788
174,Explosives manufacturing,3104292819.4476237,1237.536754350757,3.986533572470666e-07
175,Custom compounding of purchased resins,12005583371.657032,304656448.7221923,0.02537623031642344
176,Photographic film and chemical manufacturing,4337192972.360434,13877691.479756663,0.003199694264976178
177,Other miscellaneous chemical product manufacturing,30041897548.22799,187236890.2206951,0.006232525422873603
178,Plastics packaging materials and unlaminated film and sheet manufacturing,45946581538.997894,2639455271.949611,0.057446173002214135
179,Unlaminated plastics profile shape manufacturing,12684289093.469242,560619365.2839234,0.04419793345553511
180,Plastics pipe and pipe fitting manufacturing,25447144332.025764,406211546.4777337,0.01596295211665491
181,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",7848275511.139731,294400260.3656732,0.037511458402270104
182,Polystyrene foam product manufacturing,15239636619.446991,330919784.9805936,0.021714414407907442
183,Urethane and other foam product (except polystyrene) manufacturing,18865635533.998184,1862672686.456631,0.09873363042023507
184,Plastics bottle manufacturing,17924671943.16495,11623074.285377467,0.0006484400005886627
185,Other plastics product manufacturing,111426665132.26782,6058018087.864412,0.05436775910571592
186,Tire manufacturing,21198766413.73097,3583698547.6209106,0.1690522211377196
187,Rubber and plastics hoses and belting manufacturing,6754016783.068515,2099973309.0223222,0.31092213366817445
188,Other rubber product manufacturing,15520512947.51615,2281169609.600225,0.1469777202154453
189,"Pottery, ceramics, and plumbing fixture manufacturing",2876290179.608622,40697336.36318953,0.014149245667809231
190,"Brick, tile, and other structural clay product manufacturing",7109199082.91034,113254488.77050397,0.01593069591239246
191,Flat glass manufacturing,4648459295.713149,439970362.9936359,0.09464864270176153
192,Other pressed and blown glass and glassware manufacturing,4064962262.4381247,502844970.4606355,0.12370224813822354
193,Glass container manufacturing,5129024783.368595,20230.885096890728,3.9443921508220256e-06
194,Glass product manufacturing made of purchased glass,14938552222.19983,3372454742.9077888,0.22575512624952127
195,Cement manufacturing,11296543770.971924,31005619.12131155,0.002744699595728111
196,Ready-mix concrete manufacturing,55272797751.87033,56902633.26995899,0.0010294871181553951
197,Concrete block and brick manufacturing,7822515630.99026,181872904.10683772,0.023249925303609045
198,Concrete pipe manufacturing,3854677773.864247,2886878.915127298,0.0007489287262092604
199,Other concrete product manufacturing,18646114608.024612,265243776.36816725,0.014225149954512021
200,Lime manufacturing,2914228050.3261733,84120.12526336126,2.886532001294345e-05
201,Gypsum product manufacturing,9984429750.18452,165128825.49147397,0.016538633614846383
202,Abrasive product manufacturing,2820501091.2819943,144833484.9662947,0.051350267303198936
203,Cut stone and stone product manufacturing,7910532891.934934,297649.1865513366,3.762694506394132e-05
204,Ground or treated mineral and earth manufacturing,3905687588.7571745,92950000.07491314,0.023798626480642474
205,Mineral wool manufacturing,11359462598.08059,959214435.0138214,0.08444188505677197
206,Miscellaneous nonmetallic mineral products manufacturing,5319428613.120501,294074183.14155203,0.055283039688926526
207,Iron and steel mills and ferroalloy manufacturing,166553495586.6216,18599043444.86448,0.11167008761573206
208,"Iron, steel pipe and tube manufacturing from purchased steel",23192735169.72614,2614759281.2063303,0.11274044488807938
209,Rolled steel shape manufacturing,28930151125.647728,3255322963.8611054,0.11252353814962039
210,Steel wire drawing,7137545154.494105,77773881.36452523,0.01089644684286942
211,Alumina refining and primary aluminum production,6395810998.861533,423912915.0283198,0.0662797751690563
212,Secondary smelting and alloying of aluminum,9498674127.180817,620966908.8553958,0.06537406174178303
213,"Aluminum sheet, plate, and foil manufacturing",20919569520.72473,2711631378.962758,0.1296217580517793
214,"Other aluminum rolling, drawing and extruding",14815659052.996319,1848678757.3056228,0.12477870546918032
215,Nonferrous metal (exc aluminum) smelting and refining,9544679673.116331,375617476.3128851,0.03935359689135028
216,"Copper rolling, drawing, extruding and alloying",48028019317.16749,4542042992.501102,0.09457069138134458
217,"Nonferrous metal, except copper and aluminum, shaping",3344282430.852464,126730286.69160245,0.03789461246528113
218,Secondary processing of other nonferrous metals,6179893611.758022,365287436.1098749,0.05910901692787555
219,Ferrous metal foundries,21749796664.45939,5629338594.360019,0.25882258492828725
220,Nonferrous metal foundries,14864076884.376207,6162233476.787281,0.41457222838133134
221,Custom roll forming,4080345802.9143662,1374241375.8290775,0.336795321329759
222,"Metal crown, closure, and other metal stamping (except automotive)",15647946422.116756,1488914624.2854369,0.09515080024692632
223,Iron and steel forging,11043802804.77174,936886858.4254196,0.08483371851049487
224,Nonferrous forging,4400926108.87666,338409025.60455716,0.076894957386807
225,"Cutlery, utensil, pot, and pan manufacturing",5595496116.796779,77972905.91112182,0.013934940581418635
226,Handtool manufacturing,6945513174.706511,89721188.3762237,0.012917863103760502
