naics_code,naics_title,segment_id,segment_name,stage,employment_qcew_2024,mi_employment_pct_change_2024_2030,mi_wage_pct_change_2024_2030,mi_gdp_pct_change_2024_2030,naics4,auto_attributed_output,total_industry_output,auto_share_of_output
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,Materials & Processing - Non-Metals,Upstream,5524,-4.010993025722974,5.928505028558525,30.69803999691861,3252,63487619.986060336,717260244.555891,0.08851406510808392
3255,"Paint, Coating, and Adhesive Manufacturing",1,Materials & Processing - Coatings & Surface Treatments,Upstream,4347,-0.0946318089710933,12.259859433846602,30.43615046713143,3255,481253380.18279094,934455018.222942,0.5150096802925763
3261,Plastics Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,34371,-5.8367142964990455,15.42830193830216,17.527795855030416,3261,663456631.0244911,2827255459.620097,0.23466455030336764
3262,Rubber Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,5147,-12.990833057016868,5.5515232148048055,1.581927902567325,3262,201859128.53957355,368355188.8874949,0.5480013167432982
3272,Glass and Glass Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,2802,-9.09571418424086,10.489028561170894,0.3336415648663612,3272,195236783.3675495,339733688.54702634,0.5746759592860471
3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,Materials & Processing - Metals,Upstream,3258,-16.971325974482504,9.523471513018205,-1.29529587664095,3311,874422852.952547,2104222901.7247117,0.4155561904757487
3312,Steel Product Manufacturing from Purchased Steel,1,Materials & Processing - Metals,Upstream,1974,-15.007230370890202,11.21377298759406,5.6715982207323945,3312,248213268.6418949,617717566.321419,0.40182323148107024
3313,Alumina and Aluminum Production and Processing,1,Materials & Processing - Metals,Upstream,2698,-11.217919509285505,13.12738322611663,69.16021411136859,3313,62219761.96240148,193965247.021464,0.32077788633711435
3314,Nonferrous Metal (except Aluminum) Production and Processing,1,Materials & Processing - Metals,Upstream,1262,-16.72114924886053,15.441048033406032,60.435169261794975,3314,41188315.53275423,140456716.7187684,0.29324560971494273
3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,Materials & Processing - Coatings & Surface Treatments,Upstream,11221,-3.21027690266793,6.794475967426446,25.26277384432373,3328,188054543.26897883,799032426.4044636,0.23535283056683756
3335,Metalworking Machinery Manufacturing,2,Equipment Manufacturing,Upstream,29604,-7.811404327376457,-4.021880535343775,3.809586577382275,3335,92055752.96593314,1178482303.385187,0.07811381868145433
3339,Other General Purpose Machinery Manufacturing,2,Equipment Manufacturing,Upstream,17946,1.053256053597212,10.11815420057279,16.39233001955671,3339,61343862.7021554,279971379.41435003,0.21910762032346223
3315,Foundries,3,Forging & Foundries,Upstream,9349,-22.87394607610792,1.553981049670505,59.15842012573852,3315,571396614.0523422,850540381.8973601,0.6718042155478705
3321,Forging and Stamping,3,Forging & Foundries,Upstream,6988,-4.215445014961645,1.3093353913429064,20.671709925631955,3321,392572973.08296984,1000312842.505208,0.39245019797986447
3326,Spring and Wire Product Manufacturing,4,Parts & Machining,Upstream,2869,-1.3137819692068808,2.1758793057528187,13.027319100230372,3326,113574743.85880308,282504672.037387,0.4020278427245708
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,Parts & Machining,Upstream,24530,-6.612320553472944,1.4181334330958013,22.52279892131704,3327,714059002.8045357,1879654945.263101,0.37988834312597025
3329,Other Fabricated Metal Product Manufacturing,4,Parts & Machining,Upstream,10865,-0.8704164469529019,13.034041304870549,27.65542711728528,3329,123955995.32356259,773834946.1061854,0.1601840236697625
3344,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream,12179,-3.04971832658572,38.516082401512485,53.40043561389029,3344,44013000.05463879,196784504.7078964,0.22366090317919565
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,Component Systems,Upstream,4970,-4.464605443600771,7.993962723854358,11.358846866630577,3336,193926191.61447635,270484622.1844906,0.7169582878623106
3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,Component Systems,Upstream,8867,-2.726702620877361,12.393433271341902,19.409224378571977,3345,2177771.587676296,104319121.16319665,0.020876053818258244
3359,Other Electrical Equipment and Component Manufacturing,5,Component Systems,Upstream,4446,2.126263147746479,27.24970080967578,16.300083474445074,3359,131928585.64778303,262014440.02503878,0.503516468921238
5413,"Architectural, Engineering, and Related Services",6,Engineering & Design,OEM,84452,2.727586677577237,22.5658126422611,36.42881892324631,5413,80899860.19140436,11169430193.11,0.007242971108885073
5414,Industrial design,6,Engineering & Design,OEM,10458,-2.0096726335445387,19.52811607277482,14.621598286318491,5414,54233246.22418044,1610668591.0,0.03367126330470577
5417,Scientific Research and Development ,6,Engineering & Design,OEM,25297,9.323465545195257,35.621578613658926,37.13461450751062,5417,42566197.14335164,15786953055.44,0.002696289587602455
3361,Motor Vehicle Manufacturing,7,Core Automotive,OEM,48138,27.199870176160857,24.862203254629343,42.94047754260967,3361,41232178.46275929,5974767166.61719,0.006901051926029151
3362,Motor Vehicle Body and Trailer Manufacturing,7,Core Automotive,OEM,7921,0.365456489054978,18.238153957008077,29.55052086203477,3362,181123729.0638361,563855320.341388,0.32122376526335544
3363,Motor Vehicle Parts Manufacturing,7,Core Automotive,OEM,117023,-9.57037250942021,3.6827329681267114,12.303413624833322,3363,15974107292.405254,18437819269.109344,0.8663772574866386
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,25978,3.668049189282737,22.47873542247077,25.09669897264981,4231,9231845183.022842,11426577015.0,0.8079274458924952
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,6359,-0.7629358523141591,19.53300557839163,22.543724601810787,4235,399889665.4063025,1845386217.7149193,0.21669700443599965
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,24407,0.997814058104456,22.71850400693711,18.075614300399607,4238,2441192878.752749,5955114974.0,0.40993211540179897
4239,Miscellaneous Durable Goods Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,8732,0.2242524361170545,22.15833472713149,22.967162734280528,4239,831349567.5552078,3836460821.0389113,0.21669700443599965
4247,Petroleum and Petroleum Products Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,3846,-5.734584607605438,19.59343071958918,17.974924209268785,4247,50661250.87448223,5534119845.0,0.009154346543516574
4413,"Automotive Parts, Accessories, and Tire Retailers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,18192,1.181548779962319,21.64742058030206,40.61401511232299,4413,192005675.21767235,3450869251.6666665,0.05563980006629905
4571,Gasoline Stations,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,27826,1.5792617734133918,25.595938346462223,-4.27810516326549,4571,2807252.155329125,1406500640.5714283,0.0019959124612901735
4411,Automobile Dealers,9,"Dealers, Maintenance, & Repair",Downstream,38262,0.4018365994655196,20.672716894227523,35.640482899511234,4411,89602648.43491375,1610405650.7777777,0.055639800066299046
8111,Automotive Repair and Maintenance,9,"Dealers, Maintenance, & Repair",Downstream,31338,6.212770114514354,36.96030962653682,12.143165385690372,8111,51187057.81665619,8208432046.9,0.0062359117458964065
4841,General Freight Trucking,10,Logistics,Downstream,35249,-9.666031196056382,6.327774650863423,11.087148804929528,4841,438784247.82976013,3126152115.0882354,0.14035921211638658
4842,Specialized Freight Trucking,10,Logistics,Downstream,11640,-15.008952186685834,5.773744562364095,14.937160232999716,4842,1550371008.9984858,11045737473.311764,0.14035921211638658
