naics_code,naics_title,segment_id,segment_name,stage,employment_qcew_2024,mi_employment_pct_change_2024_2030,mi_wage_pct_change_2024_2030,mi_gdp_pct_change_2024_2030,naics4,auto_attributed_output,total_industry_output,auto_share_of_output
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,Materials & Processing - Non-Metals,Upstream,5524,-4.010993025722974,5.928505028558525,30.69803999691861,3252,3440876431.012374,104388532538.7483,0.032962207124955456
3255,"Paint, Coating, and Adhesive Manufacturing",1,Materials & Processing - Coatings & Surface Treatments,Upstream,4347,-0.0946318089710933,12.259859433846602,30.43615046713143,3255,10068595381.614594,54971275402.47795,0.18316102924475225
3261,Plastics Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,34371,-5.8367142964990455,15.42830193830216,17.527795855030416,3261,12163920077.663956,255382899704.5106,0.047630127513385405
3262,Rubber Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,5147,-12.990833057016868,5.5515232148048055,1.581927902567325,3262,7964841466.243458,43473296144.31563,0.1832122744915192
3272,Glass and Glass Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,2802,-9.09571418424086,10.489028561170894,0.3336415648663612,3272,4315290307.247157,28780998563.7197,0.1499353921891667
3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,Materials & Processing - Metals,Upstream,3258,-16.971325974482504,9.523471513018205,-1.29529587664095,3311,18599043444.864483,166553495586.6216,0.11167008761573209
3312,Steel Product Manufacturing from Purchased Steel,1,Materials & Processing - Metals,Upstream,1974,-15.007230370890202,11.21377298759406,5.6715982207323945,3312,5947856126.431961,59260431449.86797,0.10036808678086687
3313,Alumina and Aluminum Production and Processing,1,Materials & Processing - Metals,Upstream,2698,-11.217919509285505,13.12738322611663,69.16021411136859,3313,5605189960.152097,51629713699.7634,0.10856519547536797
3314,Nonferrous Metal (except Aluminum) Production and Processing,1,Materials & Processing - Metals,Upstream,1262,-16.72114924886053,15.441048033406032,60.435169261794975,3314,5409678191.615465,67096875032.8943,0.08062489033898174
3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,Materials & Processing - Coatings & Surface Treatments,Upstream,11221,-3.21027690266793,6.794475967426446,25.26277384432373,3328,2173221940.321288,39596622146.64401,0.054884023497582056
3335,Metalworking Machinery Manufacturing,2,Equipment Manufacturing,Upstream,29604,-7.811404327376457,-4.021880535343775,3.809586577382275,3335,559275538.1368086,40099748168.30486,0.013947108490293816
3339,Other General Purpose Machinery Manufacturing,2,Equipment Manufacturing,Upstream,17946,1.053256053597212,10.11815420057279,16.39233001955671,3339,4337999458.383304,102686483679.98593,0.042245087210331655
3315,Foundries,3,Forging & Foundries,Upstream,9349,-22.87394607610792,1.553981049670505,59.15842012573852,3315,11791572071.147299,36613873548.835594,0.32205202367948577
3321,Forging and Stamping,3,Forging & Foundries,Upstream,6988,-4.215445014961645,1.3093353913429064,20.671709925631955,3321,4138451884.144491,35173021138.67952,0.11765983558328645
3326,Spring and Wire Product Manufacturing,4,Parts & Machining,Upstream,2869,-1.3137819692068808,2.1758793057528187,13.027319100230372,3326,1533442386.2035465,12396776766.878708,0.12369686209890836
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,Parts & Machining,Upstream,24530,-6.612320553472944,1.4181334330958013,22.52279892131704,3327,7942333544.182515,75385063403.88274,0.10535685964248247
3329,Other Fabricated Metal Product Manufacturing,4,Parts & Machining,Upstream,10865,-0.8704164469529019,13.034041304870549,27.65542711728528,3329,2413626040.659195,93294855302.77258,0.025870944682064002
3344,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream,12179,-3.04971832658572,38.516082401512485,53.40043561389029,3344,12762898328.051657,209448837099.4522,0.06093563709781531
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,Component Systems,Upstream,4970,-4.464605443600771,7.993962723854358,11.358846866630577,3336,18006796827.598125,53786540712.61064,0.3347825792294596
3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,Component Systems,Upstream,8867,-2.726702620877361,12.393433271341902,19.409224378571977,3345,382565225.8242474,187815936885.9909,0.002036915674820898
3359,Other Electrical Equipment and Component Manufacturing,5,Component Systems,Upstream,4446,2.126263147746479,27.24970080967578,16.300083474445074,3359,5466278764.948002,60960914036.09162,0.08966858275306891
5413,"Architectural, Engineering, and Related Services",6,Engineering & Design,OEM,84452,2.727586677577237,22.5658126422611,36.42881892324631,5413,453979412.05042607,457652012588.528,0.0009919751242492537
5414,Industrial design,6,Engineering & Design,OEM,10458,-2.0096726335445387,19.52811607277482,14.621598286318491,5414,309044909.05476993,58056309282.57385,0.005323192481123368
5417,Scientific Research and Development ,6,Engineering & Design,OEM,25297,9.323465545195257,35.621578613658926,37.13461450751062,5417,241339646.6122985,765077056678.0594,0.0003154448882053628
