naics_agg_code,naics_agg_title,auto_attributed_output,total_industry_output,auto_share_of_output
11,"11 Agriculture, Forestry, Fishing and Hunting",18091.273115680793,7188678809.512885,2.5166339455506544e-06
21,"21 Mining, Quarrying, and Oil and Gas Extraction",5420535.712689949,3176891292.523055,0.0017062389655722258
22,22 Utilities,451091254.74115324,22026762550.584,0.020479235371300326
23,23 Construction,183967557.17019626,56395144772.1,0.0032621169413365766
31-33,31-33 Manufacturing,23275491046.23021,71776806958.16139,0.32427593302941804
42,42 Wholesale Trade,17103249520.122274,68859949206.35,0.24837731827059026
44-45,44-45 Retail Trade,862466525.177448,55834833875.72,0.015446746507693919
48-49,48-49 Transportation and Warehousing,2213022388.4906354,31905567712.7518,0.06936163645212774
51,51 Information,303434056.6965192,38592179058.12589,0.00786257900181018
52,52 Finance and Insurance,1165374435.1197255,73309886782.70401,0.01589655210591148
53,53 Real Estate and Rental and Leasing,482491377.1533091,130554771509.74791,0.003695700827888039
54,"54 Professional, Scientific, and Technical Services",904441397.3588359,68601815783.2396,0.013183927962148836
55,55 Management of Companies and Enterprises,1711633343.133053,20643119533.0,0.08291544019772998
56,56 Administrative and Support and Waste Management and Remediation Services,769504986.1607506,38684460803.53912,0.01989183693340637
61,61 Educational Services,0.0,6326510627.0,0.0
62,62 Health Care and Social Assistance,0.0,84058853602.8059,0.0
71,"71 Arts, Entertainment, and Recreation",7934416.993594608,8376421537.5385,0.0009472322946065846
72,72 Accommodation and Food Services,50267303.02102241,35210454140.754135,0.0014276243873503696
81,81 Other Services (except Public Administration),236123791.74015307,30921966540.5392,0.007636118208413134
9A,9A Government Enterprises,58279071.68162012,8346764962.027468,0.006982234667772874
9B,9B Administrative Government,0.0,59458945798.0,0.0
