naics_agg_code,naics_agg_title,auto_attributed_output,total_industry_output,auto_share_of_output
11,"11 Agriculture, Forestry, Fishing and Hunting",148919.23013709052,516582916467.15,2.8827749697092513e-07
21,"21 Mining, Quarrying, and Oil and Gas Extraction",145477434.39875504,543560612193.4164,0.00026763792507281505
22,22 Utilities,2738624540.263991,814098303426.3108,0.003363997356016946
23,23 Construction,1009244845.4563005,2411696621600.1177,0.0004184791886413493
31-33,31-33 Manufacturing,322775244595.9515,7366177535253.249,0.04381855352402316
42,42 Wholesale Trade,118734412240.23398,2513982530656.4,0.04722960911316773
44-45,44-45 Retail Trade,4472412837.5377655,2144564312405.3167,0.0020854645447874504
48-49,48-49 Transportation and Warehousing,13970717947.182442,1519991743769.0933,0.009191311732088446
51,51 Information,2320177859.9311438,2422614728677.809,0.0009577164014013188
52,52 Finance and Insurance,9677766098.172222,3610218501290.8086,0.0026806593824479055
53,53 Real Estate and Rental and Leasing,2884106124.5846643,5050597094721.821,0.000571042605556228
54,"54 Professional, Scientific, and Technical Services",6290353492.970351,3344359108606.603,0.0018808845846674553
55,55 Management of Companies and Enterprises,9936765519.630026,768439688893.8806,0.012931093569533555
56,56 Administrative and Support and Waste Management and Remediation Services,4296202392.978921,1553472977046.9294,0.0027655469109902227
61,61 Educational Services,0.0,352109946882.391,0.0
62,62 Health Care and Social Assistance,0.0,3213355169928.2397,0.0
71,"71 Arts, Entertainment, and Recreation",64561912.06048602,495460918878.9452,0.0001303067701213792
72,72 Accommodation and Food Services,441881373.4164398,1762702015276.8638,0.0002506841029208413
81,81 Other Services (except Public Administration),1253723534.0452602,1161260135845.3047,0.0010796233293005012
9A,9A Government Enterprises,730421402.6990181,527288826583.7264,0.0013852396748692286
9B,9B Administrative Government,0.0,2701965676401.6006,0.0
