stage_clean,methodology,projection_method,projection_label,occcd,soctitle,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_edu_training_grouped,ep_avg_annual_salary,employment,employment_auto,employment_raw,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,openings,ep_openings_annual_avg,empl_2021,employment_auto_pct_change,employment_raw_pct_change,year
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-1011,Chief Executives,Bachelor's degree,5 years or more,Unreported,BA+,BA+,206420,97.46403406435672,97.46403406435672,232.44077732341555,115.54850389556705,247.3044433464071,-18.08446983121034,-14.863666022991566,6.846073584017463,44.4,320.0,-0.15650977054237858,-0.06010270507825677,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-1021,General and Operations Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,102950,915.4943234219742,915.4943234219742,3553.9072372361675,994.9981895542466,3583.0612859101184,-79.50386613227235,-29.154048673950683,74.47279803954396,617.4,4120.0,-0.07990352843545336,-0.00813663131819566,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-2021,Marketing Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,161030,90.20561996224481,90.20561996224481,322.3419009305335,97.30522448209422,323.17254925496616,-7.0996045198494135,-0.8306483244326586,7.360658414904237,68.6,450.0,-0.07296221305317331,-0.002570293567159755,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,138060,529.7564659335466,529.7564659335466,1496.966755280625,561.2271505469781,1511.7521422994878,-31.47068461343158,-14.78538701886282,40.94332307688294,98.0,790.0,-0.05607477218940656,-0.009780298373761948,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3012,Administrative Services Managers,Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,108390,35.089211025051505,35.089211025051505,244.08793687357405,39.94237979204381,246.9874275005117,-4.853168766992308,-2.899490626937663,2.933584489301603,46.4,180.0,-0.12150424667383036,-0.01173942599540479,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3013,Facilities Managers,Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,104690,429.6660591833508,429.6660591833508,583.0542537471028,468.43580448481464,619.0140210000587,-38.769745301463836,-35.959767252955885,36.76882969996908,26.4,280.0,-0.08276426552001671,-0.05809200766544911,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,171200,280.6085677002236,280.6085677002236,1151.0256525961893,283.6168482550541,1102.3859005567238,-3.008280554830508,48.63975203946552,21.73260393387997,111.2,1270.0,-0.010606847136687692,0.044122255205642245,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,161700,486.3519018056174,486.3519018056174,1329.2984727020314,502.5478026321286,1283.6723008049898,-16.19590082651121,45.6261718970415,38.887301044693515,149.2,1350.0,-0.03222758261340328,0.035543473103244,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3051,Industrial Production Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,121440,3114.354725084598,3114.354725084598,3671.3192763604316,3350.8718087259945,3896.7178435937703,-236.51708364139608,-225.39856723333855,218.081350528037,34.2,3790.0,-0.07058374570626148,-0.05784318400263321,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3061,Purchasing Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,139510,298.98929012319525,298.98929012319525,684.1554293423952,327.4148548546622,703.8603961427782,-28.42556473146695,-19.704966800383033,22.565229443260023,12.8,790.0,-0.08681818894284718,-0.027995561205557414,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,5 years or more,Unreported,HS or less,HS or Less - Limited Training,102010,157.93872918875897,157.93872918875897,524.1696303905555,165.18849355522195,522.811757778934,-7.249764366462975,1.357872611621616,13.087867816313732,37.0,450.0,-0.04388782905172147,0.002597249567206137,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3121,Human Resources Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,140030,255.1868796830326,255.1868796830326,659.2738554870541,289.4472298998007,684.7150482523323,-34.26035021676808,-25.441192765278174,20.08285401770184,35.8,670.0,-0.11836475418551475,-0.03715588379460085,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-9021,Construction Managers,Bachelor's degree,Unreported,Moderate-term on-the-job training,BA+,BA+,106980,1.5493047687510282,1.5493047687510282,179.2969623920826,1.4810661278991142,170.8815597075473,0.068238640851914,8.415402684535309,0.12624264503795268,46.8,70.0,0.04607400005070011,0.04924699130168126,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-9041,Architectural and Engineering Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,167740,1312.2716393127816,1312.2716393127816,6705.9053003373565,1400.017126180248,6698.4881198106295,-87.74548686746641,7.417180526726497,87.88886267914702,29.0,6200.0,-0.0626745810652101,0.0011072917342034765,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-9111,Medical and Health Services Managers,Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,117960,0.5486116069398912,0.5486116069398912,63.489377068566135,0.4936887092996709,56.96051990251186,0.05492289764022029,6.528857166054273,0.049543780689256516,62.1,0.0,0.1112500581958456,0.11462074393331444,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-9121,Natural Sciences Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,161180,3.87560623026126,3.87560623026126,448.51370661813377,3.784946771297882,436.6973192526377,0.09065945896337801,11.816387365496041,0.3100484984209008,8.5,590.0,0.023952637762535908,0.02705852966012836,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-9199,"Managers, All Other",Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,136550,107.08668612733759,107.08668612733759,511.6976233442192,108.31933757448793,503.5871559270196,-1.2326514471503454,8.110467417199644,8.379399684501996,213.4,680.0,-0.011379791224283366,0.016105389745831845,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1020,Buyers and Purchasing Agents,Bachelor's degree,Unreported,Moderate-term on-the-job training,BA+,BA+,75650,1006.5761084970862,1006.5761084970862,2268.948678759658,1059.1671918923262,2263.7929240143258,-52.59108339523986,5.155754745332274,97.80041482279739,104.4,2310.0,-0.04965324058166845,0.0022774851403765794,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1041,Compliance Officers,Bachelor's degree,Unreported,Moderate-term on-the-job training,BA+,BA+,78420,61.830191748064316,61.830191748064316,438.2338688292229,60.40725839738202,427.4416611532961,1.4229333506822863,10.792207675926832,4.854285948863708,66.6,260.0,0.023555668448345845,0.02524837575918075,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1051,Cost Estimators,Bachelor's degree,Unreported,Moderate-term on-the-job training,BA+,BA+,77070,96.7707216036464,96.7707216036464,397.96390181905394,98.04575754604383,408.61332910874563,-1.2750359423974351,-10.649427289691658,7.545214279592267,33.8,410.0,-0.013004498861653021,-0.02606235903493371,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1071,Human Resources Specialists,Bachelor's degree,Unreported,Unreported,BA+,BA+,72910,831.2041255215036,831.2041255215036,1762.3516506325611,894.5546684979371,1807.4351061216385,-63.3505429764335,-45.08345548907744,69.84334614037904,163.6,1700.0,-0.07081796698105275,-0.024943332867876346,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1081,Logisticians,Bachelor's degree,Unreported,Unreported,BA+,BA+,80880,758.1972142657762,758.1972142657762,1605.0432547406513,740.8739767443917,1521.9984749172531,17.323237521384463,83.04477982339813,76.64716238413361,52.8,1720.0,0.023382164936481684,0.054562984912263496,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1082,Project Management Specialists,Bachelor's degree,Unreported,Unreported,BA+,BA+,100750,793.1457583137721,793.1457583137721,4865.2619381262775,826.2125149614269,4825.946391147766,-33.06675664765478,39.31554697851129,57.66187728363034,156.4,4820.0,-0.04002209606955488,0.008146701971374527,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1111,Management Analysts,Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,101190,170.9868130355439,170.9868130355439,324.22012006418345,182.444395550112,333.02261206535616,-11.457582514568108,-8.80249200117268,14.944588701698908,196.2,650.0,-0.06280040820119932,-0.026432115064442468,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1141,"Compensation, Benefits, and Job Analysis Specialists",Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,77020,47.658019828295565,47.658019828295565,114.80869474607147,48.24120498328896,114.11917470870318,-0.5831851549933992,0.6895200373682826,3.6876938419709813,17.0,120.0,-0.012088942537720979,0.006042105011084496,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1151,Training and Development Specialists,Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,65850,199.71539621832463,199.71539621832463,425.85087778857064,211.6195066044286,428.0756928450985,-11.904110386103993,-2.224815056527916,18.394012155637157,87.8,180.0,-0.056252424821856536,-0.005197246874124613,2030
