segment_id,segment_name,year,adjustment_source,forecast_source,value_type,employment_qcew
1,1. Materials & Processing,2001,sam_mi,bls_us,QCEW,30402.003453450743
2,2. Equipment Manufacturing,2001,sam_mi,bls_us,QCEW,8381.597086643374
3,3. Forging & Foundries,2001,sam_mi,bls_us,QCEW,13346.706934542986
4,4. Parts & Machining,2001,sam_mi,bls_us,QCEW,15908.563548240605
5,5. Component Systems,2001,sam_mi,bls_us,QCEW,4625.09371972769
6,6. Engineering & Design,2001,sam_mi,bls_us,QCEW,760.7010813364587
7,7. Core Automotive,2001,sam_mi,bls_us,QCEW,304333.0
8,"8. Motor Vehicle Parts, Materials, & Products Sales",2001,sam_mi,bls_us,QCEW,107590.17649841309
9,"9. Dealers, Maintenance, & Repair",2001,sam_mi,bls_us,QCEW,75615.0
10,10. Logistics,2001,sam_mi,bls_us,QCEW,36463.0
1,1. Materials & Processing,2002,sam_mi,bls_us,QCEW,28412.121417915798
2,2. Equipment Manufacturing,2002,sam_mi,bls_us,QCEW,7321.47010411828
3,3. Forging & Foundries,2002,sam_mi,bls_us,QCEW,12255.348784527801
4,4. Parts & Machining,2002,sam_mi,bls_us,QCEW,15193.470420487572
5,5. Component Systems,2002,sam_mi,bls_us,QCEW,4548.8324732313795
6,6. Engineering & Design,2002,sam_mi,bls_us,QCEW,732.3878280412131
7,7. Core Automotive,2002,sam_mi,bls_us,QCEW,283180.0
8,"8. Motor Vehicle Parts, Materials, & Products Sales",2002,sam_mi,bls_us,QCEW,104826.72777303061
9,"9. Dealers, Maintenance, & Repair",2002,sam_mi,bls_us,QCEW,76404.0
10,10. Logistics,2002,sam_mi,bls_us,QCEW,35744.0
1,1. Materials & Processing,2003,sam_mi,bls_us,QCEW,27749.578274641615
2,2. Equipment Manufacturing,2003,sam_mi,bls_us,QCEW,6925.564338658108
3,3. Forging & Foundries,2003,sam_mi,bls_us,QCEW,11732.466706616298
4,4. Parts & Machining,2003,sam_mi,bls_us,QCEW,14944.780792488713
5,5. Component Systems,2003,sam_mi,bls_us,QCEW,4342.599401015572
6,6. Engineering & Design,2003,sam_mi,bls_us,QCEW,709.273127407324
7,7. Core Automotive,2003,sam_mi,bls_us,QCEW,261958.0
8,"8. Motor Vehicle Parts, Materials, & Products Sales",2003,sam_mi,bls_us,QCEW,102056.92998377481
9,"9. Dealers, Maintenance, & Repair",2003,sam_mi,bls_us,QCEW,74642.0
10,10. Logistics,2003,sam_mi,bls_us,QCEW,34947.0
1,1. Materials & Processing,2004,sam_mi,bls_us,QCEW,27040.363510726478
