share_method,share_label,projection_method,projection_label,segment_id,segment_name,base_employment,auto_base_employment,projected_employment
sam,SAM (auto_share),moodys_mi,Moody's MI,1,Materials & Processing - Coatings & Surface Treatments,15568,4880,4793
sam,SAM (auto_share),moodys_mi,Moody's MI,1,Materials & Processing - Metals,9192,3382,2874
sam,SAM (auto_share),moodys_mi,Moody's MI,1,Materials & Processing - Non-Metals,47844,12986,11984
sam,SAM (auto_share),moodys_mi,Moody's MI,2,Equipment Manufacturing,47550,6244,6107
sam,SAM (auto_share),moodys_mi,Moody's MI,3,Forging & Foundries,16337,9023,7470
sam,SAM (auto_share),moodys_mi,Moody's MI,4,Parts & Machining,50443,14936,14208
sam,SAM (auto_share),moodys_mi,Moody's MI,5,Component Systems,18283,5987,5869
sam,SAM (auto_share),moodys_mi,Moody's MI,6,Engineering & Design,120207,1032,1048
sam,SAM (auto_share),moodys_mi,Moody's MI,7,Core Automotive,173082,173082,174974
sam,SAM (auto_share),moodys_mi,Moody's MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,116955
sam,SAM (auto_share),moodys_mi,Moody's MI,9,"Dealers, Maintenance, & Repair",69600,69600,71696
sam,SAM (auto_share),moodys_mi,Moody's MI,10,Logistics,46889,46889,41724
sam,SAM (auto_share),moodys_us,Moody's US,1,Materials & Processing - Coatings & Surface Treatments,15568,4880,4894
sam,SAM (auto_share),moodys_us,Moody's US,1,Materials & Processing - Metals,9192,3382,3000
sam,SAM (auto_share),moodys_us,Moody's US,1,Materials & Processing - Non-Metals,47844,12986,12376
sam,SAM (auto_share),moodys_us,Moody's US,2,Equipment Manufacturing,47550,6244,6031
sam,SAM (auto_share),moodys_us,Moody's US,3,Forging & Foundries,16337,9023,7833
sam,SAM (auto_share),moodys_us,Moody's US,4,Parts & Machining,50443,14936,14227
sam,SAM (auto_share),moodys_us,Moody's US,5,Component Systems,18283,5987,5816
sam,SAM (auto_share),moodys_us,Moody's US,6,Engineering & Design,120207,1032,1087
sam,SAM (auto_share),moodys_us,Moody's US,7,Core Automotive,173082,173082,182433
sam,SAM (auto_share),moodys_us,Moody's US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,119865
sam,SAM (auto_share),moodys_us,Moody's US,9,"Dealers, Maintenance, & Repair",69600,69600,72531
sam,SAM (auto_share),moodys_us,Moody's US,10,Logistics,46889,46889,41179
sam,SAM (auto_share),dtmb_mi,DTMB MI,1,Materials & Processing - Coatings & Surface Treatments,15568,4880,4829
sam,SAM (auto_share),dtmb_mi,DTMB MI,1,Materials & Processing - Metals,9192,3382,3217
sam,SAM (auto_share),dtmb_mi,DTMB MI,1,Materials & Processing - Non-Metals,47844,12986,12752
sam,SAM (auto_share),dtmb_mi,DTMB MI,2,Equipment Manufacturing,47550,6244,6131
sam,SAM (auto_share),dtmb_mi,DTMB MI,3,Forging & Foundries,16337,9023,8644
