naics_code,naics_title,segment_id,segment_name,stage,share_method,share_label,projection_method,projection_label,base_employment,share_value,share_applied,auto_base_employment,projection_rate,projected_employment
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,Materials & Processing - Non-Metals,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,5524,0.012,0.012,66,0.008,67
3255,"Paint, Coating, and Adhesive Manufacturing",1,Materials & Processing - Coatings & Surface Treatments,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,4347,0.012,0.012,52,0.008,52
3261,Plastics Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,34371,0.061,0.061,2097,-0.018,2059
3262,Rubber Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,5147,0.061,0.061,314,-0.018,308
3272,Glass and Glass Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,2802,0.035,0.035,98,-0.026,95
3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,Materials & Processing - Metals,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,3258,0.145,0.145,472,-0.049,449
3312,Steel Product Manufacturing from Purchased Steel,1,Materials & Processing - Metals,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,1974,0.145,0.145,286,-0.049,272
3313,Alumina and Aluminum Production and Processing,1,Materials & Processing - Metals,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,2698,0.145,0.145,391,-0.049,372
3314,Nonferrous Metal (except Aluminum) Production and Processing,1,Materials & Processing - Metals,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,1262,0.145,0.145,183,-0.049,174
3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,Materials & Processing - Coatings & Surface Treatments,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,11221,0.053,0.053,595,-0.026,580
3335,Metalworking Machinery Manufacturing,2,Equipment Manufacturing,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,29604,0.039,0.039,1155,-0.018,1134
3339,Other General Purpose Machinery Manufacturing,2,Equipment Manufacturing,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,17946,0.039,0.039,700,-0.018,687
3315,Foundries,3,Forging & Foundries,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,9349,0.145,0.145,1356,-0.049,1290
3321,Forging and Stamping,3,Forging & Foundries,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,6988,0.053,0.053,370,-0.026,360
3326,Spring and Wire Product Manufacturing,4,Parts & Machining,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,2869,0.053,0.053,152,-0.026,148
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,Parts & Machining,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,24530,0.053,0.053,1300,-0.026,1266
3329,Other Fabricated Metal Product Manufacturing,4,Parts & Machining,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,10865,0.053,0.053,576,-0.026,561
3344,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,12179,0.018,0.018,219,0.016,223
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,Component Systems,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,4970,0.18,0.18,895,-0.018,879
3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,Component Systems,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,8867,0.018,0.018,160,0.016,163
3359,Other Electrical Equipment and Component Manufacturing,5,Component Systems,Upstream,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,4446,0.0289999999999999,0.0289999999999999,129,0.063,137
5413,"Architectural, Engineering, and Related Services",6,Engineering & Design,OEM,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,84452,0.002,0.002,169,0.019,172
5414,Industrial design,6,Engineering & Design,OEM,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,10458,0.002,0.002,21,0.106,23
5417,Scientific Research and Development ,6,Engineering & Design,OEM,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,25297,0.002,0.002,51,0.044,53
3361,Motor Vehicle Manufacturing,7,Core Automotive,OEM,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,48138,1.0,1.0,48138,-0.031,46646
3362,Motor Vehicle Body and Trailer Manufacturing,7,Core Automotive,OEM,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,7921,1.0,1.0,7921,-0.031,7675
3363,Motor Vehicle Parts Manufacturing,7,Core Automotive,OEM,bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,117023,1.0,1.0,117023,-0.031,113395
