naics_code,naics_title,segment_id,segment_name,stage,share_method,share_label,projection_method,projection_label,base_employment,share_value,share_applied,auto_base_employment,projection_rate,projected_employment
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,Materials & Processing - Non-Metals,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,5524,0.02,0.02,110,0.008,111
3255,"Paint, Coating, and Adhesive Manufacturing",1,Materials & Processing - Coatings & Surface Treatments,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,4347,0.14,0.14,609,0.008,614
3261,Plastics Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,34371,0.07,0.07,2406,-0.018,2363
3262,Rubber Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,5147,0.12,0.12,618,-0.018,607
3272,Glass and Glass Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,2802,0.19,0.19,532,-0.026,518
3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,Materials & Processing - Metals,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,3258,0.22,0.22,717,-0.049,682
3312,Steel Product Manufacturing from Purchased Steel,1,Materials & Processing - Metals,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,1974,0.2,0.2,395,-0.049,376
3313,Alumina and Aluminum Production and Processing,1,Materials & Processing - Metals,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,2698,0.05,0.05,135,-0.049,128
3314,Nonferrous Metal (except Aluminum) Production and Processing,1,Materials & Processing - Metals,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,1262,0.05,0.05,63,-0.049,60
3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,Materials & Processing - Coatings & Surface Treatments,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,11221,0.09,0.09,1010,-0.026,984
3335,Metalworking Machinery Manufacturing,2,Equipment Manufacturing,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,29604,0.02,0.02,592,-0.018,581
3339,Other General Purpose Machinery Manufacturing,2,Equipment Manufacturing,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,17946,0.01,0.01,179,-0.018,176
3315,Foundries,3,Forging & Foundries,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,9349,0.25,0.25,2337,-0.049,2222
3321,Forging and Stamping,3,Forging & Foundries,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,6988,0.17,0.17,1188,-0.026,1157
3326,Spring and Wire Product Manufacturing,4,Parts & Machining,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,2869,0.14,0.14,402,-0.026,392
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,Parts & Machining,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,24530,0.17,0.17,4170,-0.026,4062
3329,Other Fabricated Metal Product Manufacturing,4,Parts & Machining,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,10865,0.04,0.04,435,-0.026,424
3344,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,12179,0.02,0.02,244,0.016,248
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,Component Systems,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,4970,0.05,0.05,248,-0.018,244
3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,Component Systems,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,8867,0.0,0.0,0,0.016,0
3359,Other Electrical Equipment and Component Manufacturing,5,Component Systems,Upstream,mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,4446,0.06,0.06,267,0.063,284
