naics_code,naics_title,segment_id,segment_name,stage,share_method,share_label,projection_method,projection_label,base_employment,share_value,share_applied,auto_base_employment,projection_rate,projected_employment
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,Materials & Processing - Non-Metals,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,5524,0.02,0.02,110,-0.04,106
3255,"Paint, Coating, and Adhesive Manufacturing",1,Materials & Processing - Coatings & Surface Treatments,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,4347,0.14,0.14,609,-0.001,608
3261,Plastics Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,34371,0.07,0.07,2406,-0.0579999999999999,2266
3262,Rubber Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,5147,0.12,0.12,618,-0.13,538
3272,Glass and Glass Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,2802,0.19,0.19,532,-0.091,484
3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,Materials & Processing - Metals,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,3258,0.22,0.22,717,-0.17,595
3312,Steel Product Manufacturing from Purchased Steel,1,Materials & Processing - Metals,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,1974,0.2,0.2,395,-0.15,336
3313,Alumina and Aluminum Production and Processing,1,Materials & Processing - Metals,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,2698,0.05,0.05,135,-0.1119999999999999,120
3314,Nonferrous Metal (except Aluminum) Production and Processing,1,Materials & Processing - Metals,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,1262,0.05,0.05,63,-0.1669999999999999,52
3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,Materials & Processing - Coatings & Surface Treatments,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,11221,0.09,0.09,1010,-0.032,978
3335,Metalworking Machinery Manufacturing,2,Equipment Manufacturing,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,29604,0.02,0.02,592,-0.078,546
3339,Other General Purpose Machinery Manufacturing,2,Equipment Manufacturing,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,17946,0.01,0.01,179,0.011,181
3315,Foundries,3,Forging & Foundries,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,9349,0.25,0.25,2337,-0.2289999999999999,1802
3321,Forging and Stamping,3,Forging & Foundries,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,6988,0.17,0.17,1188,-0.042,1138
3326,Spring and Wire Product Manufacturing,4,Parts & Machining,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,2869,0.14,0.14,402,-0.013,397
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,Parts & Machining,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,24530,0.17,0.17,4170,-0.066,3895
3329,Other Fabricated Metal Product Manufacturing,4,Parts & Machining,Upstream,mrio_indirect,MRIO Indirect,moodys_mi,Moody's MI,10865,0.04,0.04,435,-0.009,431
