naics_code,naics_title,segment_id,segment_name,stage,share_method,share_label,projection_method,projection_label,base_employment,share_value,share_applied,auto_base_employment,projection_rate,projected_employment
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,Materials & Processing - Non-Metals,Upstream,mrio_total,MRIO Total,bls_us,BLS US,5524,0.02,0.02,110,0.013,111
3255,"Paint, Coating, and Adhesive Manufacturing",1,Materials & Processing - Coatings & Surface Treatments,Upstream,mrio_total,MRIO Total,bls_us,BLS US,4347,0.14,0.14,609,0.013,617
3261,Plastics Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,mrio_total,MRIO Total,bls_us,BLS US,34371,0.07,0.07,2406,0.026,2469
3262,Rubber Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,mrio_total,MRIO Total,bls_us,BLS US,5147,0.13,0.13,669,0.009,675
3272,Glass and Glass Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,mrio_total,MRIO Total,bls_us,BLS US,2802,0.19,0.19,532,0.009,537
3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,Materials & Processing - Metals,Upstream,mrio_total,MRIO Total,bls_us,BLS US,3258,0.22,0.22,717,0.009,723
3312,Steel Product Manufacturing from Purchased Steel,1,Materials & Processing - Metals,Upstream,mrio_total,MRIO Total,bls_us,BLS US,1974,0.2,0.2,395,0.011,399
3313,Alumina and Aluminum Production and Processing,1,Materials & Processing - Metals,Upstream,mrio_total,MRIO Total,bls_us,BLS US,2698,0.05,0.05,135,-0.009,134
3314,Nonferrous Metal (except Aluminum) Production and Processing,1,Materials & Processing - Metals,Upstream,mrio_total,MRIO Total,bls_us,BLS US,1262,0.05,0.05,63,0.011,64
3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,Materials & Processing - Coatings & Surface Treatments,Upstream,mrio_total,MRIO Total,bls_us,BLS US,11221,0.1,0.1,1122,-0.065,1049
3335,Metalworking Machinery Manufacturing,2,Equipment Manufacturing,Upstream,mrio_total,MRIO Total,bls_us,BLS US,29604,0.02,0.02,592,-0.038,570
3339,Other General Purpose Machinery Manufacturing,2,Equipment Manufacturing,Upstream,mrio_total,MRIO Total,bls_us,BLS US,17946,0.01,0.01,179,0.002,179
3315,Foundries,3,Forging & Foundries,Upstream,mrio_total,MRIO Total,bls_us,BLS US,9349,0.25,0.25,2337,-0.091,2124
3321,Forging and Stamping,3,Forging & Foundries,Upstream,mrio_total,MRIO Total,bls_us,BLS US,6988,0.17,0.17,1188,-0.0579999999999999,1119
3326,Spring and Wire Product Manufacturing,4,Parts & Machining,Upstream,mrio_total,MRIO Total,bls_us,BLS US,2869,0.15,0.15,430,-0.0579999999999999,405
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,Parts & Machining,Upstream,mrio_total,MRIO Total,bls_us,BLS US,24530,0.17,0.17,4170,-0.024,4070
3329,Other Fabricated Metal Product Manufacturing,4,Parts & Machining,Upstream,mrio_total,MRIO Total,bls_us,BLS US,10865,0.05,0.05,543,-0.0579999999999999,512
3344,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream,mrio_total,MRIO Total,bls_us,BLS US,12179,0.02,0.02,244,0.067,260
