segment,edu_group,empl_2021,empl_2024,level_change_2021_2024,pct_change_2021_2024,percent_share_change_21_24,share_2021,share_2024
1. Materials & Processing,BA+,12110.0,15550.0,3190.0,28.40627580511974,0.06883901596892533,0.17041936391781592,0.12940001664308895
1. Materials & Processing,HS or less,55850.0,100470.0,42200.0,79.89256938227396,0.9106603366422098,0.7859555305375738,0.8360655737704918
1. Materials & Processing,SC or associate's,3100.0,4150.0,950.0,33.87096774193547,0.020500647388864913,0.04362510554461019,0.03453440958641924
10. Logistics,BA+,1650.0,3920.0,1750.0,137.5757575757576,2.3026315789473686,0.03638368246968027,0.08347529812606473
10. Logistics,HS or less,14640.0,15810.0,1030.0,7.991803278688514,1.355263157894737,0.32282249173098126,0.3366695059625213
10. Logistics,SC or associate's,29060.0,27230.0,-2020.0,-6.297315898141775,-2.6578947368421053,0.6407938257993385,0.579855195911414
2. Equipment Manufacturing,BA+,11540.0,12570.0,860.0,8.925476603119575,10.75,0.24647586501495086,0.26653944020356235
2. Equipment Manufacturing,HS or less,28940.0,29360.0,260.0,1.4512785072563927,3.25,0.6181119179837676,0.6225614927905004
2. Equipment Manufacturing,SC or associate's,6340.0,5230.0,-1040.0,-17.507886435331233,-13.0,0.1354122170012815,0.11089906700593724
3.Forging and foundries,BA+,2080.0,2020.0,-70.0,-2.8846153846153855,-0.08139534883720931,0.1415929203539823,0.12688442211055276
3.Forging and foundries,HS or less,11790.0,13180.0,1040.0,11.789652247667526,1.2093023255813953,0.8025867937372362,0.8278894472361809
3.Forging and foundries,SC or associate's,820.0,720.0,-110.0,-12.195121951219512,-0.12790697674418605,0.055820285908781485,0.04522613065326633
4. Parts & Machining,BA+,7990.0,8810.0,160.0,10.262828535669577,0.0380952380952381,0.17275675675675675,0.1706372264187488
4. Parts & Machining,HS or less,35840.0,40100.0,3850.0,11.88616071428572,0.9166666666666666,0.774918918918919,0.7766802246755762
4. Parts & Machining,SC or associate's,2420.0,2720.0,190.0,12.396694214876035,0.04523809523809524,0.05232432432432432,0.052682548905674996
5. Component Systems,BA+,5040.0,6560.0,1240.0,30.15873015873016,-3.3513513513513513,0.3245331616226658,0.40821406347230865
5. Component Systems,HS or less,9900.0,8590.0,-1700.0,-13.232323232323228,4.594594594594595,0.6374758531873793,0.5345364032358432
5. Component Systems,SC or associate's,590.0,920.0,90.0,55.93220338983051,-0.24324324324324326,0.037990985189954925,0.05724953329184816
6. Engineering & Design,BA+,84340.0,88020.0,4120.0,4.363291439411898,0.6959459459459459,0.7082038794189268,0.7150284321689683
6. Engineering & Design,HS or less,21450.0,23850.0,3230.0,11.188811188811187,0.5456081081081081,0.180115878747166,0.19374492282696995
6. Engineering & Design,SC or associate's,13300.0,11230.0,-1430.0,-15.563909774436091,-0.24155405405405406,0.11168024183390712,0.09122664500406173
7. Core Automotive,BA+,24590.0,28670.0,4040.0,16.592110614070755,0.73992673992674,0.14511655355562111,0.16420389461626575
7. Core Automotive,HS or less,136570.0,137540.0,1230.0,0.7102584755070751,0.22527472527472528,0.8059604603127767,0.7877434135166094
7. Core Automotive,SC or associate's,8290.0,8390.0,190.0,1.2062726176115701,0.0347985347985348,0.048922986131602245,0.04805269186712486
"8. Motor Vehicle Parts, Materia",BA+,15700.0,18860.0,3180.0,20.12738853503184,0.38545454545454544,0.1544515494343335,0.17033959537572255
"8. Motor Vehicle Parts, Materia",HS or less,77960.0,84260.0,5530.0,8.081067213955873,0.6703030303030303,0.7669454008853911,0.7610187861271677
"8. Motor Vehicle Parts, Materia",SC or associate's,7990.0,7600.0,-460.0,-4.881101376720897,-0.055757575757575756,0.07860304968027546,0.06864161849710983
"9. Dealers, Maintenance, & Repa",BA+,4900.0,6060.0,1420.0,23.673469387755098,0.39664804469273746,0.0752919483712354,0.08832531700918234
"9. Dealers, Maintenance, & Repa",HS or less,44080.0,44930.0,590.0,1.928312159709611,0.164804469273743,0.677320221266134,0.654860807462469
"9. Dealers, Maintenance, & Repa",SC or associate's,16100.0,17620.0,1570.0,9.440993788819885,0.43854748603351956,0.2473878303626306,0.2568138755283486
Total,BA+,172020.0,190330.0,18570.0,10.644111149866298,0.5852505515285219,0.2492393288707294,0.2637866755367067
Total,HS or less,428620.0,445150.0,16830.0,3.8565629228687337,0.5304128584935393,0.6210263989104292,0.6169528640527767
Total,SC or associate's,89540.0,86050.0,-3670.0,-3.89769935224481,-0.11566341002206114,0.12973427221884146,0.11926046041051654
All Segments Combined,BA+,341960.0,381370.0,38460.0,11.524739735641587,0.36007864432169273,0.2468757896256723,0.2548464052069203
All Segments Combined,HS or less,865640.0,943240.0,74090.0,8.964465597708049,0.6936616421683363,0.6249431469515937,0.6303099961910362
All Segments Combined,SC or associate's,177550.0,171860.0,-5740.0,-3.204731061672772,-0.05374028649002902,0.128181063422734,0.11484359860204348
