occupation_code,occupation_title,min_employment,max_employment,avg_employment,std_employment,segment_name
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",27.1067291375952,141.15574771463645,80.8962293118019,60.43023377186458,10. Logistics
41-2011,Cashiers,5.47923812955604,121.84105609729028,63.21261647629334,61.67558268893659,"8. Motor Vehicle Parts, Materia"
23-2099,"Legal Support Workers, All Other",39.9335379115543,51.49018541146226,45.66034245231705,5.801033694176414,"8. Motor Vehicle Parts, Materia"
51-4192,"Layout Workers, Metal and Plastic",3.3769844378138374,70.77226635650705,41.788555988278475,29.729498621516683,1. Materials & Processing
51-2090,Miscellaneous Assemblers and Fabricators,0.0034704435993838,352.77955326057366,41.103767904870345,107.36943940512096,1. Materials & Processing
49-3023,Automotive Service Technicians and Mechanics,0.8469456474226179,128.44330127858524,37.31684303054545,48.00915644882873,1. Materials & Processing
51-2061,Timing Device Assemblers and Adjusters,8.20920272491114,49.8289186646364,28.322652869285065,22.922679843093295,5. Component Systems
49-3021,Automotive Body and Related Repairers,1.6745906857790684,107.47152333838729,25.96891528937677,33.795195797392815,1. Materials & Processing
13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.0002073647615522,50.55161882607646,24.369960156206158,26.086445626633353,1. Materials & Processing
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",0.0215858015622903,90.9929138869376,23.216810990605342,38.55512052275596,1. Materials & Processing
41-2031,Retail Salespersons,0.0012516054027819,57.9904822344733,21.79961193384067,24.68697570314963,1. Materials & Processing
11-9021,Construction Managers,0.0048458940545626,40.55940228180918,20.147206676966984,21.488343194789923,6. Engineering & Design
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",0.1015341748524431,40.44129506086117,19.671659388287576,20.68245907519896,1. Materials & Processing
15-1241,Computer Network Architects,0.0031136355454309,60.66194259129176,19.59940214985404,28.749423151995263,6. Engineering & Design
41-2022,Parts Salespersons,0.0042581195464994,41.927712112715625,19.533225503853135,17.833402747587137,2. Equipment Manufacturing
17-2081,Environmental Engineers,0.0043609882368916,60.66194259129176,19.51514623650699,28.811393756962644,1. Materials & Processing
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.0008996353407754,80.88259012172234,19.50873597313387,34.89807125788683,1. Materials & Processing
19-4099,"Life, Physical, and Social Science Technicians, All Other",0.003748499440142,70.77226635650705,17.084996809694537,30.52697483139339,1. Materials & Processing
53-3032,Heavy and Tractor-Trailer Truck Drivers,0.000777996976674,222.7313602219128,16.85772465615081,48.82324768274921,1. Materials & Processing
51-4061,"Model Makers, Metal and Plastic",0.0070242600609923,50.55161882607646,15.714730933188108,21.585545456030665,1. Materials & Processing
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",8.294590462089826e-05,131.07319430644816,15.182382068105856,37.981353237589865,1. Materials & Processing
47-2211,Sheet Metal Workers,0.3193853967755226,51.88280437025592,15.108849642607666,22.477723443285726,1. Materials & Processing
53-6031,Automotive and Watercraft Service Attendants,14.953630388246658,15.19920821096627,15.076419299606464,0.14178442205417005,"9. Dealers, Maintenance, & Repa"
41-1011,First-Line Supervisors of Retail Sales Workers,0.0001714527949016,33.670019790176426,14.672619961918949,14.559563728561896,6. Engineering & Design
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.0006922705792232,30.33097129564588,14.624785137926523,15.648869202266063,6. Engineering & Design
15-1212,Information Security Analysts,0.0049677816137762,40.55940228180918,13.527873741933211,19.73417529149256,6. Engineering & Design
41-2021,Counter and Rental Clerks,7.197732482517837,18.733536945128535,12.918165861560528,6.05633309211396,"8. Motor Vehicle Parts, Materia"
53-7061,Cleaners of Vehicles and Equipment,0.0067628651875924,58.4836723544972,12.383914502010962,23.42927610383266,10. Logistics
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",0.0051904472831006,50.69925285226147,10.41381954474895,20.474850844278723,1. Materials & Processing
15-1254,Web Developers,0.0005502703513555,30.33097129564588,9.785297812593614,14.385302264639742,6. Engineering & Design
51-8031,Water and Wastewater Treatment Plant and System Operators,0.0057494732444487,30.33097129564588,9.773408196391886,14.39403855516908,1. Materials & Processing
