segment_id,segment_name,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
1,1. Materials & Processing,2001,6408.723743439,QCEW,,
1,1. Materials & Processing,2002,5917.804295476,QCEW,,
1,1. Materials & Processing,2003,5783.647270935,QCEW,,
1,1. Materials & Processing,2004,5692.766741318001,QCEW,,
1,1. Materials & Processing,2005,5638.5342252069995,QCEW,,
1,1. Materials & Processing,2006,5474.88094268,QCEW,,
1,1. Materials & Processing,2007,5282.717045612,QCEW,,
1,1. Materials & Processing,2008,4983.565206061,QCEW,,
1,1. Materials & Processing,2009,3755.9031016960002,QCEW,,
1,1. Materials & Processing,2010,4092.01387913,QCEW,,
1,1. Materials & Processing,2011,4516.355260275,QCEW,,
1,1. Materials & Processing,2012,4636.829479004,QCEW,,
1,1. Materials & Processing,2013,4825.079021755,QCEW,,
1,1. Materials & Processing,2014,5047.50725806,QCEW,,
1,1. Materials & Processing,2015,5141.513900202,QCEW,,
1,1. Materials & Processing,2016,5194.7440682960005,QCEW,,
1,1. Materials & Processing,2017,5260.918482744,QCEW,,
1,1. Materials & Processing,2018,5327.235128095,QCEW,,
1,1. Materials & Processing,2019,5287.025044109,QCEW,,
1,1. Materials & Processing,2020,4436.1492898060005,QCEW,,
1,1. Materials & Processing,2021,4514.198420805,QCEW,,
1,1. Materials & Processing,2022,4576.459496529,QCEW,,
1,1. Materials & Processing,2023,4625.282707936,QCEW,,
1,1. Materials & Processing,2024,4562.31377394,QCEW,,
1,1. Materials & Processing,2025,4570.084647750432,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2026,4577.868757493939,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2027,4585.666125714951,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2028,4593.4767749962975,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2029,4601.300727959274,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2030,4609.138007263705,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2031,4616.9886356080115,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2032,4624.852635729276,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2033,4632.730030403308,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2034,4640.62084244471,Forecast,BLS,0.1703274740729066
2,2. Equipment Manufacturing,2001,2746.606227456,QCEW,,
2,2. Equipment Manufacturing,2002,2406.54235832,QCEW,,
2,2. Equipment Manufacturing,2003,2294.53703912,QCEW,,
2,2. Equipment Manufacturing,2004,2238.455779296,QCEW,,
2,2. Equipment Manufacturing,2005,2190.155941648,QCEW,,
2,2. Equipment Manufacturing,2006,2135.489485856,QCEW,,
2,2. Equipment Manufacturing,2007,2011.57623272,QCEW,,
2,2. Equipment Manufacturing,2008,1929.9892002079998,QCEW,,
2,2. Equipment Manufacturing,2009,1552.15792344,QCEW,,
2,2. Equipment Manufacturing,2010,1576.9562941119998,QCEW,,
2,2. Equipment Manufacturing,2011,1745.553774592,QCEW,,
2,2. Equipment Manufacturing,2012,1915.9983603359997,QCEW,,
2,2. Equipment Manufacturing,2013,1978.642738864,QCEW,,
2,2. Equipment Manufacturing,2014,2028.67178144,QCEW,,
2,2. Equipment Manufacturing,2015,2081.72693264,QCEW,,
2,2. Equipment Manufacturing,2016,2098.468780352,QCEW,,
2,2. Equipment Manufacturing,2017,2142.602806128,QCEW,,
2,2. Equipment Manufacturing,2018,2178.1694074879997,QCEW,,
2,2. Equipment Manufacturing,2019,2102.634592224,QCEW,,
2,2. Equipment Manufacturing,2020,1896.8985059039996,QCEW,,
2,2. Equipment Manufacturing,2021,1902.9114230399998,QCEW,,
2,2. Equipment Manufacturing,2022,1919.3781699679998,QCEW,,
2,2. Equipment Manufacturing,2023,1920.832274112,QCEW,,
2,2. Equipment Manufacturing,2024,1868.7203255999998,QCEW,,
2,2. Equipment Manufacturing,2025,1867.2999309361346,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2026,1865.8806158993134,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2027,1864.462379668923,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2028,1863.045221424974,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2029,1861.6291403481002,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2030,1860.2141356195584,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2031,1858.8002064212274,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2032,1857.387351935608,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2033,1855.9755713458223,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2034,1854.5648638356136,Forecast,BLS,-0.076008948177364
3,3. Forging & Foundries,2001,2685.457545453,QCEW,,
3,3. Forging & Foundries,2002,2456.0545905729996,QCEW,,
3,3. Forging & Foundries,2003,2339.3869610969996,QCEW,,
3,3. Forging & Foundries,2004,2539.4370451659997,QCEW,,
3,3. Forging & Foundries,2005,2492.5958348739996,QCEW,,
