segment_id,segment_name,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
1,1. Materials & Processing,2001,96567.0,QCEW,,
1,1. Materials & Processing,2002,90158.0,QCEW,,
1,1. Materials & Processing,2003,88475.0,QCEW,,
1,1. Materials & Processing,2004,87072.0,QCEW,,
1,1. Materials & Processing,2005,88546.0,QCEW,,
1,1. Materials & Processing,2006,85620.0,QCEW,,
1,1. Materials & Processing,2007,82139.0,QCEW,,
1,1. Materials & Processing,2008,77593.0,QCEW,,
1,1. Materials & Processing,2009,59620.0,QCEW,,
1,1. Materials & Processing,2010,64137.0,QCEW,,
1,1. Materials & Processing,2011,69846.0,QCEW,,
1,1. Materials & Processing,2012,72219.0,QCEW,,
1,1. Materials & Processing,2013,74741.0,QCEW,,
1,1. Materials & Processing,2014,78687.0,QCEW,,
1,1. Materials & Processing,2015,79982.0,QCEW,,
1,1. Materials & Processing,2016,81235.0,QCEW,,
1,1. Materials & Processing,2017,82226.0,QCEW,,
1,1. Materials & Processing,2018,83724.0,QCEW,,
1,1. Materials & Processing,2019,83591.0,QCEW,,
1,1. Materials & Processing,2020,70950.0,QCEW,,
1,1. Materials & Processing,2021,72517.0,QCEW,,
1,1. Materials & Processing,2022,73289.0,QCEW,,
1,1. Materials & Processing,2023,73569.0,QCEW,,
1,1. Materials & Processing,2024,72604.0,QCEW,,
1,1. Materials & Processing,2025,72727.66455927589,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2026,72851.53975327192,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2027,72975.62594075689,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2028,73099.92348111067,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2029,73224.43273432528,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2030,73349.15406100587,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2031,73474.08782237183,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2032,73599.23438025778,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2033,73724.59409711468,Forecast,BLS,0.1703274740729066
1,1. Materials & Processing,2034,73850.1673360108,Forecast,BLS,0.1703274740729066
2,2. Equipment Manufacturing,2001,69888.0,QCEW,,
2,2. Equipment Manufacturing,2002,61235.0,QCEW,,
2,2. Equipment Manufacturing,2003,58385.0,QCEW,,
2,2. Equipment Manufacturing,2004,56958.0,QCEW,,
2,2. Equipment Manufacturing,2005,55729.0,QCEW,,
2,2. Equipment Manufacturing,2006,54338.0,QCEW,,
2,2. Equipment Manufacturing,2007,51185.0,QCEW,,
2,2. Equipment Manufacturing,2008,49109.0,QCEW,,
2,2. Equipment Manufacturing,2009,39495.0,QCEW,,
2,2. Equipment Manufacturing,2010,40126.0,QCEW,,
2,2. Equipment Manufacturing,2011,44416.0,QCEW,,
2,2. Equipment Manufacturing,2012,48753.0,QCEW,,
2,2. Equipment Manufacturing,2013,50347.0,QCEW,,
2,2. Equipment Manufacturing,2014,51620.0,QCEW,,
2,2. Equipment Manufacturing,2015,52970.0,QCEW,,
2,2. Equipment Manufacturing,2016,53396.0,QCEW,,
2,2. Equipment Manufacturing,2017,54519.0,QCEW,,
2,2. Equipment Manufacturing,2018,55424.0,QCEW,,
2,2. Equipment Manufacturing,2019,53502.0,QCEW,,
2,2. Equipment Manufacturing,2020,48267.0,QCEW,,
2,2. Equipment Manufacturing,2021,48420.0,QCEW,,
2,2. Equipment Manufacturing,2022,48839.0,QCEW,,
2,2. Equipment Manufacturing,2023,48876.0,QCEW,,
2,2. Equipment Manufacturing,2024,47550.0,QCEW,,
2,2. Equipment Manufacturing,2025,47513.857745141664,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2026,47477.74296163109,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2027,47441.6556285876,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2028,47405.595725146384,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2029,47369.56323045849,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2030,47333.558123690804,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2031,47297.58038402606,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2032,47261.62999066282,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2033,47225.706922815436,Forecast,BLS,-0.076008948177364
2,2. Equipment Manufacturing,2034,47189.81115971408,Forecast,BLS,-0.076008948177364
3,3. Forging & Foundries,2001,22569.0,QCEW,,
3,3. Forging & Foundries,2002,20853.0,QCEW,,
3,3. Forging & Foundries,2003,20120.0,QCEW,,
3,3. Forging & Foundries,2004,21836.0,QCEW,,
3,3. Forging & Foundries,2005,21459.0,QCEW,,
3,3. Forging & Foundries,2006,20882.0,QCEW,,
3,3. Forging & Foundries,2007,19764.0,QCEW,,
3,3. Forging & Foundries,2008,17934.0,QCEW,,
3,3. Forging & Foundries,2009,13152.0,QCEW,,
3,3. Forging & Foundries,2010,14405.0,QCEW,,
3,3. Forging & Foundries,2011,16777.0,QCEW,,
3,3. Forging & Foundries,2012,17730.0,QCEW,,
3,3. Forging & Foundries,2013,17469.0,QCEW,,
3,3. Forging & Foundries,2014,17851.0,QCEW,,
3,3. Forging & Foundries,2015,18047.0,QCEW,,
3,3. Forging & Foundries,2016,18194.0,QCEW,,
3,3. Forging & Foundries,2017,18552.0,QCEW,,
3,3. Forging & Foundries,2018,19277.0,QCEW,,
3,3. Forging & Foundries,2019,19271.0,QCEW,,
3,3. Forging & Foundries,2020,15883.0,QCEW,,
3,3. Forging & Foundries,2021,16199.0,QCEW,,
3,3. Forging & Foundries,2022,16746.0,QCEW,,
3,3. Forging & Foundries,2023,17055.0,QCEW,,
3,3. Forging & Foundries,2024,16337.0,QCEW,,
3,3. Forging & Foundries,2025,16156.92675454776,Forecast,BLS,-1.1022418158305736
3,3. Forging & Foundries,2026,15978.838351706017,Forecast,BLS,-1.1022418158305736
3,3. Forging & Foundries,2027,15802.712913709542,Forecast,BLS,-1.1022418158305736
3,3. Forging & Foundries,2028,15628.528803938978,Forecast,BLS,-1.1022418158305736
3,3. Forging & Foundries,2029,15456.264624262836,Forecast,BLS,-1.1022418158305736
3,3. Forging & Foundries,2030,15285.899212408784,Forecast,BLS,-1.1022418158305736
3,3. Forging & Foundries,2031,15117.411639363898,Forecast,BLS,-1.1022418158305736
3,3. Forging & Foundries,2032,14950.781206803591,Forecast,BLS,-1.1022418158305736
3,3. Forging & Foundries,2033,14785.987444548862,Forecast,BLS,-1.1022418158305736
3,3. Forging & Foundries,2034,14623.010108051587,Forecast,BLS,-1.1022418158305736
4,4. Parts & Machining,2001,53878.0,QCEW,,
4,4. Parts & Machining,2002,50874.0,QCEW,,
4,4. Parts & Machining,2003,49178.0,QCEW,,
4,4. Parts & Machining,2004,49248.0,QCEW,,
4,4. Parts & Machining,2005,50724.0,QCEW,,
4,4. Parts & Machining,2006,50064.0,QCEW,,
4,4. Parts & Machining,2007,48225.0,QCEW,,
4,4. Parts & Machining,2008,46965.0,QCEW,,
4,4. Parts & Machining,2009,37232.0,QCEW,,
4,4. Parts & Machining,2010,40120.0,QCEW,,
4,4. Parts & Machining,2011,44729.0,QCEW,,
4,4. Parts & Machining,2012,47604.0,QCEW,,
4,4. Parts & Machining,2013,48091.0,QCEW,,
4,4. Parts & Machining,2014,50307.0,QCEW,,
4,4. Parts & Machining,2015,52603.0,QCEW,,
4,4. Parts & Machining,2016,52458.0,QCEW,,
4,4. Parts & Machining,2017,52257.0,QCEW,,
4,4. Parts & Machining,2018,53718.0,QCEW,,
4,4. Parts & Machining,2019,52591.0,QCEW,,
4,4. Parts & Machining,2020,45730.0,QCEW,,
4,4. Parts & Machining,2021,47346.0,QCEW,,
4,4. Parts & Machining,2022,48605.0,QCEW,,
4,4. Parts & Machining,2023,50818.0,QCEW,,
4,4. Parts & Machining,2024,50443.0,QCEW,,
4,4. Parts & Machining,2025,50385.640378318254,Forecast,BLS,-0.1137117571947454
4,4. Parts & Machining,2026,50328.34598127024,Forecast,BLS,-0.1137117571947454
4,4. Parts & Machining,2027,50271.11673468789,Forecast,BLS,-0.1137117571947454
4,4. Parts & Machining,2028,50213.95256448745,Forecast,BLS,-0.1137117571947454
4,4. Parts & Machining,2029,50156.85339666944,Forecast,BLS,-0.1137117571947454
4,4. Parts & Machining,2030,50099.819157318496,Forecast,BLS,-0.1137117571947454
4,4. Parts & Machining,2031,50042.84977260332,Forecast,BLS,-0.1137117571947454
4,4. Parts & Machining,2032,49985.94516877656,Forecast,BLS,-0.1137117571947454
4,4. Parts & Machining,2033,49929.10527217474,Forecast,BLS,-0.1137117571947454
4,4. Parts & Machining,2034,49872.33000921814,Forecast,BLS,-0.1137117571947454
5,5. Component Systems,2001,16198.0,QCEW,,
5,5. Component Systems,2002,15254.0,QCEW,,
5,5. Component Systems,2003,14725.0,QCEW,,
5,5. Component Systems,2004,14908.0,QCEW,,
5,5. Component Systems,2005,15615.0,QCEW,,
5,5. Component Systems,2006,15814.0,QCEW,,
5,5. Component Systems,2007,15751.0,QCEW,,
5,5. Component Systems,2008,15865.0,QCEW,,
5,5. Component Systems,2009,13865.0,QCEW,,
5,5. Component Systems,2010,13189.0,QCEW,,
5,5. Component Systems,2011,14492.0,QCEW,,
5,5. Component Systems,2012,15170.0,QCEW,,
5,5. Component Systems,2013,15239.0,QCEW,,
5,5. Component Systems,2014,15439.0,QCEW,,
5,5. Component Systems,2015,16676.0,QCEW,,
5,5. Component Systems,2016,16542.0,QCEW,,
5,5. Component Systems,2017,16794.0,QCEW,,
5,5. Component Systems,2018,17376.0,QCEW,,
5,5. Component Systems,2019,18237.0,QCEW,,
5,5. Component Systems,2020,16885.0,QCEW,,
5,5. Component Systems,2021,17142.0,QCEW,,
5,5. Component Systems,2022,17979.0,QCEW,,
5,5. Component Systems,2023,18726.0,QCEW,,
5,5. Component Systems,2024,18283.0,QCEW,,
5,5. Component Systems,2025,18435.204522047057,Forecast,BLS,0.8324920529839686
5,5. Component Systems,2026,18588.67613464444,Forecast,BLS,0.8324920529839686
5,5. Component Systems,2027,18743.425386220282,Forecast,BLS,0.8324920529839686
5,5. Component Systems,2028,18899.462913017545,Forecast,BLS,0.8324920529839686
5,5. Component Systems,2029,19056.79943982507,Forecast,BLS,0.8324920529839686
5,5. Component Systems,2030,19215.44578071471,Forecast,BLS,0.8324920529839686
