stage,year,employment_qcew
Downstream,2001,219668.1764984131
Downstream,2002,216974.7277730306
Downstream,2003,211645.9299837748
Downstream,2004,210432.40278879803
Downstream,2005,208775.06699625653
Downstream,2006,206478.07436879477
Downstream,2007,204309.68500010174
Downstream,2008,198611.59295272827
Downstream,2009,179646.23037465411
Downstream,2010,180735.81250254312
Downstream,2011,187714.61084620157
Downstream,2012,194269.29066594443
Downstream,2013,200397.9054781596
Downstream,2014,210050.88727823892
Downstream,2015,217547.71697362262
Downstream,2016,220883.18589528403
Downstream,2017,222321.9301846822
Downstream,2018,226562.07780456543
Downstream,2019,229051.66566467285
Downstream,2020,210261.23542785645
Downstream,2021,218514.6236228943
Downstream,2022,227476.0
Downstream,2023,232636.0
Downstream,2024,231829.0
OEM,2001,406790.0
OEM,2002,385430.0
OEM,2003,361927.0
OEM,2004,347949.0
OEM,2005,330040.0
OEM,2006,309403.0
OEM,2007,291288.0
OEM,2008,255873.0
OEM,2009,200373.0
OEM,2010,206713.0
OEM,2011,224261.0
OEM,2012,243548.0
OEM,2013,259419.0
OEM,2014,273287.0
OEM,2015,284225.0
OEM,2016,295186.0
OEM,2017,294432.0
OEM,2018,299693.0
OEM,2019,299164.0
OEM,2020,270130.0
OEM,2021,294352.0
OEM,2022,299542.0
OEM,2023,302226.0
OEM,2024,293289.0
Upstream,2001,259100.0
Upstream,2002,238374.0
Upstream,2003,230883.0
Upstream,2004,230022.0
Upstream,2005,232073.0
Upstream,2006,226718.0
Upstream,2007,217064.0
Upstream,2008,207466.0
Upstream,2009,163364.0
Upstream,2010,171977.0
Upstream,2011,190260.0
Upstream,2012,201476.0
Upstream,2013,205887.0
Upstream,2014,213904.0
Upstream,2015,220278.0
Upstream,2016,221825.0
Upstream,2017,224348.0
Upstream,2018,229519.0
Upstream,2019,227192.0
Upstream,2020,197715.0
Upstream,2021,201624.0
Upstream,2022,205458.0
Upstream,2023,209044.0
Upstream,2024,205217.0
