stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
Downstream,2001,219668.1764984131,QCEW,,
Downstream,2002,216974.7277730306,QCEW,,
Downstream,2003,211645.9299837748,QCEW,,
Downstream,2004,210432.40278879803,QCEW,,
Downstream,2005,208775.06699625653,QCEW,,
Downstream,2006,206478.07436879477,QCEW,,
Downstream,2007,204309.68500010174,QCEW,,
Downstream,2008,198611.59295272827,QCEW,,
Downstream,2009,179646.23037465411,QCEW,,
Downstream,2010,180735.81250254312,QCEW,,
Downstream,2011,187714.61084620157,QCEW,,
Downstream,2012,194269.29066594443,QCEW,,
Downstream,2013,200397.9054781596,QCEW,,
Downstream,2014,210050.88727823892,QCEW,,
Downstream,2015,217547.71697362262,QCEW,,
Downstream,2016,220883.18589528403,QCEW,,
Downstream,2017,222321.9301846822,QCEW,,
Downstream,2018,226562.07780456543,QCEW,,
Downstream,2019,229051.66566467285,QCEW,,
Downstream,2020,210261.23542785645,QCEW,,
Downstream,2021,218514.6236228943,QCEW,,
Downstream,2022,227476.0,QCEW,,
Downstream,2023,232636.0,QCEW,,
Downstream,2024,231829.0,QCEW,,
Downstream,2025,233968.38121318922,Forecast,Moody,0.922827261985878
Downstream,2026,233091.4361058181,Forecast,Moody,-0.3748135123318358
Downstream,2027,231896.91729983443,Forecast,Moody,-0.5124679078477147
Downstream,2028,231145.50223695135,Forecast,Moody,-0.3240297765198482
Downstream,2029,230583.24014333542,Forecast,Moody,-0.2432502852854636
Downstream,2030,230321.5279646424,Forecast,Moody,-0.1135000872267767
Downstream,2031,229785.28412403105,Forecast,Moody,-0.2328240201209847
Downstream,2032,228410.17996807935,Forecast,Moody,-0.5984300348883415
Downstream,2033,226341.62080528453,Forecast,Moody,-0.9056335243393716
Downstream,2034,224046.9870591151,Forecast,Moody,-1.0137922216892812
Downstream,2035,221907.37619620937,Forecast,Moody,-0.9549831001928144
Downstream,2036,220083.8019703467,Forecast,Moody,-0.8217726950411347
Downstream,2037,218347.52972811225,Forecast,Moody,-0.788914143926143
Downstream,2038,216627.91362333024,Forecast,Moody,-0.7875592212667983
Downstream,2039,214986.4293087606,Forecast,Moody,-0.7577436753713246
Downstream,2040,213246.15157984864,Forecast,Moody,-0.8094825959514834
Downstream,2041,211415.99431636333,Forecast,Moody,-0.8582369482058485
Downstream,2042,209536.78968976025,Forecast,Moody,-0.888865874447995
Downstream,2043,207648.4426912208,Forecast,Moody,-0.9012006919335492
Downstream,2044,205803.26877124183,Forecast,Moody,-0.8886047475553706
Downstream,2045,203956.80095112594,Forecast,Moody,-0.897200433763898
Downstream,2046,202086.39988744483,Forecast,Moody,-0.9170574626385226
Downstream,2047,200158.92371209076,Forecast,Moody,-0.9537881700241096
Downstream,2048,198242.16917829722,Forecast,Moody,-0.9576163271893948
Downstream,2049,196429.5019812203,Forecast,Moody,-0.9143701385988312
Downstream,2050,194709.46276563083,Forecast,Moody,-0.8756521796577654
Downstream,2051,193046.86021603903,Forecast,Moody,-0.8538889307054703
Downstream,2052,191403.54352288521,Forecast,Moody,-0.8512527431499068
Downstream,2053,189664.78141536302,Forecast,Moody,-0.90842733395597
Downstream,2054,187811.18176107825,Forecast,Moody,-0.9773030292985212
Downstream,2055,185914.2622900058,Forecast,Moody,-1.0100141287037858
OEM,2001,304560.217147131,QCEW,,
OEM,2002,283406.75808675,QCEW,,
OEM,2003,262179.699551827,QCEW,,
OEM,2004,249830.080293171,QCEW,,
OEM,2005,232300.237573631,QCEW,,
OEM,2006,214104.81090332998,QCEW,,
OEM,2007,198274.73240926,QCEW,,
OEM,2008,167197.092141259,QCEW,,
OEM,2009,122770.48029532499,QCEW,,
OEM,2010,126211.92266444,QCEW,,
OEM,2011,137855.046912434,QCEW,,
OEM,2012,150376.085020857,QCEW,,
OEM,2013,160812.164740158,QCEW,,
OEM,2014,170591.252805092,QCEW,,
OEM,2015,166930.699725065,QCEW,,
OEM,2016,173614.206932086,QCEW,,
OEM,2017,180963.197128443,QCEW,,
OEM,2018,183253.799170734,QCEW,,
OEM,2019,181083.447259269,QCEW,,
OEM,2020,154982.927271249,QCEW,,
OEM,2021,175133.975417889,QCEW,,
OEM,2022,177409.453269932,QCEW,,
OEM,2023,179388.02117181302,QCEW,,
OEM,2024,173348.581020381,QCEW,,
OEM,2025,169358.6055278287,Forecast,Moody,-2.301706462819661
OEM,2026,169826.13381121625,Forecast,Moody,0.2760581795831596
OEM,2027,171506.24171965316,Forecast,Moody,0.9893105794333062
OEM,2028,173442.0380827224,Forecast,Moody,1.1287031560248069
OEM,2029,175173.64510030134,Forecast,Moody,0.9983779230921178
OEM,2030,177010.47440446343,Forecast,Moody,1.0485762873235605
OEM,2031,178209.47429508626,Forecast,Moody,0.6773609836687773
OEM,2032,178347.78797703199,Forecast,Moody,0.0776129790477454
OEM,2033,177784.03097605438,Forecast,Moody,-0.3160997999314718
OEM,2034,176959.24133296928,Forecast,Moody,-0.4639278559254738
OEM,2035,176365.1005101486,Forecast,Moody,-0.3357500960928763
OEM,2036,176227.3708498082,Forecast,Moody,-0.0780934889850641
OEM,2037,176225.42481823952,Forecast,Moody,-0.0011042731667109
