stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
Downstream,2001,191105.44649841308,QCEW,,
Downstream,2002,188971.9077730306,QCEW,,
Downstream,2003,184271.49998377482,QCEW,,
Downstream,2004,182221.07278879802,QCEW,,
Downstream,2005,179507.84699625653,QCEW,,
Downstream,2006,176129.05436879475,QCEW,,
Downstream,2007,172390.66500010173,QCEW,,
Downstream,2008,168120.42295272826,QCEW,,
Downstream,2009,153130.41037465414,QCEW,,
Downstream,2010,153943.96250254312,QCEW,,
Downstream,2011,159061.61084620157,QCEW,,
Downstream,2012,164152.76066594443,QCEW,,
Downstream,2013,168523.8554781596,QCEW,,
Downstream,2014,176073.6872782389,QCEW,,
Downstream,2015,181612.77697362265,QCEW,,
Downstream,2016,184188.45589528402,QCEW,,
Downstream,2017,185765.3101846822,QCEW,,
Downstream,2018,189395.94780456543,QCEW,,
Downstream,2019,191198.47566467285,QCEW,,
Downstream,2020,175229.51542785644,QCEW,,
Downstream,2021,181924.6536228943,QCEW,,
Downstream,2022,188989.83,QCEW,,
Downstream,2023,194273.65,QCEW,,
Downstream,2024,195139.18,QCEW,,
Downstream,2025,195271.63750122563,Forecast,BLS,0.0678784758784134
Downstream,2026,195404.1849125843,Forecast,BLS,0.0678784758784134
Downstream,2027,195536.82229510558,Forecast,BLS,0.0678784758784134
Downstream,2028,195669.54970986058,Forecast,BLS,0.0678784758784134
Downstream,2029,195802.3672179618,Forecast,BLS,0.0678784758784134
Downstream,2030,195935.2748805632,Forecast,BLS,0.0678784758784134
Downstream,2031,196068.27275886032,Forecast,BLS,0.0678784758784134
Downstream,2032,196201.36091409015,Forecast,BLS,0.0678784758784134
Downstream,2033,196334.53940753135,Forecast,BLS,0.0678784758784134
Downstream,2034,196467.80830050408,Forecast,BLS,0.0678784758784134
OEM,2001,308828.57,QCEW,,
OEM,2002,287397.7,QCEW,,
OEM,2003,265984.81,QCEW,,
OEM,2004,253579.61,QCEW,,
OEM,2005,236034.89,QCEW,,
OEM,2006,217710.18,QCEW,,
OEM,2007,201840.0,QCEW,,
OEM,2008,170625.89,QCEW,,
OEM,2009,125755.39,QCEW,,
OEM,2010,129310.44,QCEW,,
OEM,2011,141228.14,QCEW,,
OEM,2012,154028.39,QCEW,,
OEM,2013,164675.46,QCEW,,
OEM,2014,174632.2,QCEW,,
OEM,2015,171549.55,QCEW,,
OEM,2016,178408.82,QCEW,,
OEM,2017,185527.41,QCEW,,
OEM,2018,187969.14,QCEW,,
OEM,2019,185853.66999999998,QCEW,,
OEM,2020,159590.27000000002,QCEW,,
OEM,2021,179897.87,QCEW,,
OEM,2022,182252.91999999998,QCEW,,
OEM,2023,184258.79,QCEW,,
OEM,2024,178080.47,QCEW,,
OEM,2025,178308.17071500342,Forecast,BLS,0.1278639454418639
OEM,2026,178536.16257712484,Forecast,BLS,0.1278639454418639
OEM,2027,178764.44595863644,Forecast,BLS,0.1278639454418639
OEM,2028,178993.02123228644,Forecast,BLS,0.1278639454418639
OEM,2029,179221.88877129962,Forecast,BLS,0.1278639454418639
OEM,2030,179451.04894937805,Forecast,BLS,0.1278639454418639
OEM,2031,179680.50214070154,Forecast,BLS,0.1278639454418639
OEM,2032,179910.2487199284,Forecast,BLS,0.1278639454418639
OEM,2033,180140.28906219598,Forecast,BLS,0.1278639454418639
OEM,2034,180370.62354312127,Forecast,BLS,0.1278639454418639
Upstream,2001,101204.05,QCEW,,
Upstream,2002,93718.87,QCEW,,
Upstream,2003,90765.95,QCEW,,
Upstream,2004,90949.04,QCEW,,
Upstream,2005,90714.65,QCEW,,
Upstream,2006,88238.11,QCEW,,
Upstream,2007,84293.16,QCEW,,
Upstream,2008,80458.02,QCEW,,
Upstream,2009,62587.37,QCEW,,
Upstream,2010,66263.75,QCEW,,
Upstream,2011,73961.21,QCEW,,
Upstream,2012,77967.82,QCEW,,
Upstream,2013,79599.67,QCEW,,
Upstream,2014,82926.78,QCEW,,
Upstream,2015,85340.12,QCEW,,
Upstream,2016,85692.98,QCEW,,
Upstream,2017,86515.83,QCEW,,
Upstream,2018,88523.09,QCEW,,
Upstream,2019,87573.13,QCEW,,
Upstream,2020,75936.48,QCEW,,
Upstream,2021,77664.83,QCEW,,
Upstream,2022,79474.6,QCEW,,
Upstream,2023,81282.5,QCEW,,
Upstream,2024,79562.27,QCEW,,
Upstream,2025,79581.31414810798,Forecast,BLS,0.0239361547979655
Upstream,2026,79600.36285465273,Forecast,BLS,0.0239361547979655
Upstream,2027,79619.41612072536,Forecast,BLS,0.0239361547979655
Upstream,2028,79638.47394741725,Forecast,BLS,0.0239361547979655
Upstream,2029,79657.53633582004,Forecast,BLS,0.0239361547979655
Upstream,2030,79676.60328702563,Forecast,BLS,0.0239361547979655
Upstream,2031,79695.67480212617,Forecast,BLS,0.0239361547979655
Upstream,2032,79714.7508822141,Forecast,BLS,0.0239361547979655
Upstream,2033,79733.83152838207,Forecast,BLS,0.0239361547979655
Upstream,2034,79752.91674172305,Forecast,BLS,0.0239361547979655
