stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
Downstream,2001,191105.44649841308,QCEW,,
Downstream,2002,188971.9077730306,QCEW,,
Downstream,2003,184271.49998377482,QCEW,,
Downstream,2004,182221.07278879802,QCEW,,
Downstream,2005,179507.84699625653,QCEW,,
Downstream,2006,176129.05436879475,QCEW,,
Downstream,2007,172390.66500010173,QCEW,,
Downstream,2008,168120.42295272826,QCEW,,
Downstream,2009,153130.41037465414,QCEW,,
Downstream,2010,153943.96250254312,QCEW,,
Downstream,2011,159061.61084620157,QCEW,,
Downstream,2012,164152.76066594443,QCEW,,
Downstream,2013,168523.8554781596,QCEW,,
Downstream,2014,176073.6872782389,QCEW,,
Downstream,2015,181612.77697362265,QCEW,,
Downstream,2016,184188.45589528402,QCEW,,
Downstream,2017,185765.3101846822,QCEW,,
Downstream,2018,189395.94780456543,QCEW,,
Downstream,2019,191198.47566467285,QCEW,,
Downstream,2020,175229.51542785644,QCEW,,
Downstream,2021,181924.6536228943,QCEW,,
Downstream,2022,188989.83,QCEW,,
Downstream,2023,194273.65,QCEW,,
Downstream,2024,195139.18,QCEW,,
Downstream,2025,195271.63750122563,Forecast,BLS,0.0678784758784134
Downstream,2025,196939.97755185567,Forecast,Moody,0.922827261985878
Downstream,2026,195404.1849125843,Forecast,BLS,0.0678784758784134
Downstream,2026,196201.819904808,Forecast,Moody,-0.3748135123318358
Downstream,2027,195536.82229510558,Forecast,BLS,0.0678784758784134
Downstream,2027,195196.3485431827,Forecast,Moody,-0.5124679078477147
Downstream,2028,195669.54970986058,Forecast,BLS,0.0678784758784134
Downstream,2028,194563.85425122333,Forecast,Moody,-0.3240297765198482
Downstream,2029,195802.3672179618,Forecast,BLS,0.0678784758784134
Downstream,2029,194090.57712069483,Forecast,Moody,-0.2432502852854636
Downstream,2030,195935.2748805632,Forecast,BLS,0.0678784758784134
Downstream,2030,193870.28414636388,Forecast,Moody,-0.1135000872267767
Downstream,2031,196068.27275886032,Forecast,BLS,0.0678784758784134
Downstream,2031,193418.90755699435,Forecast,Moody,-0.2328240201209847
Downstream,2032,196201.36091409015,Forecast,BLS,0.0678784758784134
