stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
Downstream,2001,219668.1764984131,QCEW,,
Downstream,2002,216974.7277730306,QCEW,,
Downstream,2003,211645.9299837748,QCEW,,
Downstream,2004,210432.40278879803,QCEW,,
Downstream,2005,208775.06699625653,QCEW,,
Downstream,2006,206478.0743687948,QCEW,,
Downstream,2007,204309.68500010172,QCEW,,
Downstream,2008,198611.59295272827,QCEW,,
Downstream,2009,179646.23037465411,QCEW,,
Downstream,2010,180735.81250254312,QCEW,,
Downstream,2011,187714.6108462016,QCEW,,
Downstream,2012,194269.29066594443,QCEW,,
Downstream,2013,200397.9054781596,QCEW,,
Downstream,2014,210050.8872782389,QCEW,,
Downstream,2015,217547.71697362265,QCEW,,
Downstream,2016,220883.18589528403,QCEW,,
Downstream,2017,222321.9301846822,QCEW,,
Downstream,2018,226562.07780456543,QCEW,,
Downstream,2019,229051.66566467285,QCEW,,
Downstream,2020,210261.23542785645,QCEW,,
Downstream,2021,218514.6236228943,QCEW,,
Downstream,2022,227476.0,QCEW,,
Downstream,2023,232636.0,QCEW,,
Downstream,2024,231829.0,QCEW,,
Downstream,2025,231986.36199184417,Forecast,BLS,0.0678784758784134
Downstream,2026,232143.83079861003,Forecast,BLS,0.0678784758784134
Downstream,2027,232301.40649280188,Forecast,BLS,0.0678784758784134
Downstream,2028,232459.0891469733,Forecast,BLS,0.0678784758784134
Downstream,2029,232616.87883372713,Forecast,BLS,0.0678784758784134
Downstream,2030,232774.77562571538,Forecast,BLS,0.0678784758784134
Downstream,2031,232932.77959563953,Forecast,BLS,0.0678784758784134
Downstream,2032,233090.89081625026,Forecast,BLS,0.0678784758784134
Downstream,2033,233249.10936034776,Forecast,BLS,0.0678784758784134
Downstream,2034,233407.43530078154,Forecast,BLS,0.0678784758784134
OEM,2001,406790.0,QCEW,,
OEM,2002,385430.0,QCEW,,
OEM,2003,361927.0,QCEW,,
OEM,2004,347949.0,QCEW,,
OEM,2005,330040.0,QCEW,,
OEM,2006,309403.0,QCEW,,
OEM,2007,291288.0,QCEW,,
OEM,2008,255873.0,QCEW,,
OEM,2009,200373.0,QCEW,,
OEM,2010,206713.0,QCEW,,
OEM,2011,224261.0,QCEW,,
OEM,2012,243548.0,QCEW,,
OEM,2013,259419.0,QCEW,,
OEM,2014,273287.0,QCEW,,
OEM,2015,284225.0,QCEW,,
OEM,2016,295186.0,QCEW,,
OEM,2017,294432.0,QCEW,,
OEM,2018,299693.0,QCEW,,
OEM,2019,299164.0,QCEW,,
OEM,2020,270130.0,QCEW,,
OEM,2021,294352.0,QCEW,,
OEM,2022,299542.0,QCEW,,
OEM,2023,302226.0,QCEW,,
OEM,2024,293289.0,QCEW,,
OEM,2025,293664.010886947,Forecast,BLS,0.1278639454418639
OEM,2026,294039.50127760984,Forecast,BLS,0.1278639454418639
OEM,2027,294415.471785101,Forecast,BLS,0.1278639454418639
OEM,2028,294791.9230233167,Forecast,BLS,0.1278639454418639
OEM,2029,295168.85560693825,Forecast,BLS,0.1278639454418639
OEM,2030,295546.2701514329,Forecast,BLS,0.1278639454418639
OEM,2031,295924.1672730548,Forecast,BLS,0.1278639454418639
OEM,2032,296302.54758884606,Forecast,BLS,0.1278639454418639
OEM,2033,296681.4117166379,Forecast,BLS,0.1278639454418639
OEM,2034,297060.7602750514,Forecast,BLS,0.1278639454418639
Upstream,2001,259100.0,QCEW,,
Upstream,2002,238374.0,QCEW,,
Upstream,2003,230883.0,QCEW,,
Upstream,2004,230022.0,QCEW,,
Upstream,2005,232073.0,QCEW,,
Upstream,2006,226718.0,QCEW,,
Upstream,2007,217064.0,QCEW,,
Upstream,2008,207466.0,QCEW,,
Upstream,2009,163364.0,QCEW,,
Upstream,2010,171977.0,QCEW,,
Upstream,2011,190260.0,QCEW,,
Upstream,2012,201476.0,QCEW,,
Upstream,2013,205887.0,QCEW,,
Upstream,2014,213904.0,QCEW,,
Upstream,2015,220278.0,QCEW,,
Upstream,2016,221825.0,QCEW,,
Upstream,2017,224348.0,QCEW,,
Upstream,2018,229519.0,QCEW,,
Upstream,2019,227192.0,QCEW,,
Upstream,2020,197715.0,QCEW,,
Upstream,2021,201624.0,QCEW,,
Upstream,2022,205458.0,QCEW,,
Upstream,2023,209044.0,QCEW,,
Upstream,2024,205217.0,QCEW,,
Upstream,2025,205266.12105879173,Forecast,BLS,0.0239361547979655
Upstream,2026,205315.25387527613,Forecast,BLS,0.0239361547979655
Upstream,2027,205364.39845226755,Forecast,BLS,0.0239361547979655
Upstream,2028,205413.55479258098,Forecast,BLS,0.0239361547979655
Upstream,2029,205462.72289903215,Forecast,BLS,0.0239361547979655
Upstream,2030,205511.90277443736,Forecast,BLS,0.0239361547979655
Upstream,2031,205561.0944216137,Forecast,BLS,0.0239361547979655
Upstream,2032,205610.29784337885,Forecast,BLS,0.0239361547979655
Upstream,2033,205659.5130425512,Forecast,BLS,0.0239361547979655
Upstream,2034,205708.7400219498,Forecast,BLS,0.0239361547979655
