stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
Downstream,2001,219668.1764984131,QCEW,,
Downstream,2002,216974.7277730306,QCEW,,
Downstream,2003,211645.9299837748,QCEW,,
Downstream,2004,210432.40278879803,QCEW,,
Downstream,2005,208775.06699625653,QCEW,,
Downstream,2006,206478.0743687948,QCEW,,
Downstream,2007,204309.68500010172,QCEW,,
Downstream,2008,198611.59295272827,QCEW,,
Downstream,2009,179646.23037465411,QCEW,,
Downstream,2010,180735.81250254312,QCEW,,
Downstream,2011,187714.6108462016,QCEW,,
Downstream,2012,194269.29066594443,QCEW,,
Downstream,2013,200397.9054781596,QCEW,,
Downstream,2014,210050.8872782389,QCEW,,
Downstream,2015,217547.71697362265,QCEW,,
Downstream,2016,220883.18589528403,QCEW,,
Downstream,2017,222321.9301846822,QCEW,,
Downstream,2018,226562.07780456543,QCEW,,
Downstream,2019,229051.66566467285,QCEW,,
Downstream,2020,210261.23542785645,QCEW,,
Downstream,2021,218514.6236228943,QCEW,,
Downstream,2022,227476.0,QCEW,,
Downstream,2023,232636.0,QCEW,,
Downstream,2024,231829.0,QCEW,,
Downstream,2025,231986.36199184417,Forecast,BLS,0.0678784758784134
Downstream,2025,233968.38121318922,Forecast,Moody,0.922827261985878
Downstream,2026,232143.83079861003,Forecast,BLS,0.0678784758784134
Downstream,2026,233091.4361058181,Forecast,Moody,-0.3748135123318358
Downstream,2027,232301.40649280188,Forecast,BLS,0.0678784758784134
Downstream,2027,231896.91729983443,Forecast,Moody,-0.5124679078477147
Downstream,2028,232459.0891469733,Forecast,BLS,0.0678784758784134
Downstream,2028,231145.50223695135,Forecast,Moody,-0.3240297765198482
Downstream,2029,232616.87883372713,Forecast,BLS,0.0678784758784134
Downstream,2029,230583.24014333542,Forecast,Moody,-0.2432502852854636
Downstream,2030,232774.77562571538,Forecast,BLS,0.0678784758784134
Downstream,2030,230321.5279646424,Forecast,Moody,-0.1135000872267767
Downstream,2031,232932.77959563953,Forecast,BLS,0.0678784758784134
Downstream,2031,229785.28412403105,Forecast,Moody,-0.2328240201209847
Downstream,2032,233090.89081625026,Forecast,BLS,0.0678784758784134
Downstream,2032,228410.17996807935,Forecast,Moody,-0.5984300348883415
Downstream,2033,233249.10936034776,Forecast,BLS,0.0678784758784134
Downstream,2033,226341.62080528453,Forecast,Moody,-0.9056335243393716
Downstream,2034,233407.43530078154,Forecast,BLS,0.0678784758784134
Downstream,2034,224046.9870591151,Forecast,Moody,-1.0137922216892812
Downstream,2035,221907.37619620937,Forecast,Moody,-0.9549831001928144
Downstream,2036,220083.8019703467,Forecast,Moody,-0.8217726950411347
Downstream,2037,218347.52972811225,Forecast,Moody,-0.788914143926143
Downstream,2038,216627.91362333024,Forecast,Moody,-0.7875592212667983
Downstream,2039,214986.4293087606,Forecast,Moody,-0.7577436753713246
Downstream,2040,213246.15157984864,Forecast,Moody,-0.8094825959514834
Downstream,2041,211415.99431636333,Forecast,Moody,-0.8582369482058485
Downstream,2042,209536.78968976025,Forecast,Moody,-0.888865874447995
Downstream,2043,207648.4426912208,Forecast,Moody,-0.9012006919335492
Downstream,2044,205803.26877124183,Forecast,Moody,-0.8886047475553706
Downstream,2045,203956.80095112594,Forecast,Moody,-0.897200433763898
Downstream,2046,202086.39988744483,Forecast,Moody,-0.9170574626385226
Downstream,2047,200158.92371209076,Forecast,Moody,-0.9537881700241096
Downstream,2048,198242.16917829722,Forecast,Moody,-0.9576163271893948
Downstream,2049,196429.5019812203,Forecast,Moody,-0.9143701385988312
Downstream,2050,194709.46276563083,Forecast,Moody,-0.8756521796577654
Downstream,2051,193046.86021603903,Forecast,Moody,-0.8538889307054703
Downstream,2052,191403.54352288521,Forecast,Moody,-0.8512527431499068
Downstream,2053,189664.78141536302,Forecast,Moody,-0.90842733395597
Downstream,2054,187811.18176107825,Forecast,Moody,-0.9773030292985212
Downstream,2055,185914.2622900058,Forecast,Moody,-1.0100141287037858
OEM,2001,406790.0,QCEW,,
OEM,2002,385430.0,QCEW,,
OEM,2003,361927.0,QCEW,,
OEM,2004,347949.0,QCEW,,
OEM,2005,330040.0,QCEW,,
OEM,2006,309403.0,QCEW,,
OEM,2007,291288.0,QCEW,,
OEM,2008,255873.0,QCEW,,
OEM,2009,200373.0,QCEW,,
OEM,2010,206713.0,QCEW,,
OEM,2011,224261.0,QCEW,,
OEM,2012,243548.0,QCEW,,
OEM,2013,259419.0,QCEW,,
OEM,2014,273287.0,QCEW,,
OEM,2015,284225.0,QCEW,,
OEM,2016,295186.0,QCEW,,
OEM,2017,294432.0,QCEW,,
OEM,2018,299693.0,QCEW,,
OEM,2019,299164.0,QCEW,,
OEM,2020,270130.0,QCEW,,
OEM,2021,294352.0,QCEW,,
OEM,2022,299542.0,QCEW,,
OEM,2023,302226.0,QCEW,,
OEM,2024,293289.0,QCEW,,
OEM,2025,293664.010886947,Forecast,BLS,0.1278639454418639
OEM,2025,286538.34813226084,Forecast,Moody,-2.301706462819661
OEM,2026,294039.50127760984,Forecast,BLS,0.1278639454418639
OEM,2026,287329.3606799224,Forecast,Moody,0.2760581795831596
