title_2023,code,type,employment_base_2023,employment_proj_2023,share_base_2023,share_proj_2023,change_numeric_2023,change_percent_2023,self_employed_2023,openings_2023,median_wage_2023,base_year_2023,projection_year_2023,title_2024,employment_base_2024,employment_proj_2024,share_base_2024,share_proj_2024,change_numeric_2024,change_percent_2024,self_employed_2024,openings_2024,median_wage_2024,base_year_2024,projection_year_2024,_merge,employment_base_delta,employment_proj_delta,share_base_delta,share_proj_delta,change_numeric_delta,change_percent_delta,self_employed_delta,openings_delta,median_wage_delta
Chief executives,11-1011,Line item,313.9,331.1,0.2,0.2,17.2,5.5,28.1,23.0,206680.0,2023,2033,Chief executives,309.4,322.7,0.2,0.2,13.3,4.3,25.9,22.2,206420.0,2024,2034,both,-4.5,-8.400000000000034,0.0,0.0,-3.8999999999999986,-1.2000000000000002,-2.200000000000003,-0.8000000000000007,-260.0
General and operations managers,11-1021,Line item,3630.1,3840.5,2.2,2.2,210.4,5.8,0.5,320.8,101280.0,2023,2033,General and operations managers,3712.9,3876.8,2.2,2.2,164.0,4.4,0.9,308.7,102950.0,2024,2034,both,82.80000000000018,36.30000000000018,0.0,0.0,-46.400000000000006,-1.3999999999999995,0.4,-12.100000000000023,1670.0
Legislators,11-1031,Line item,33.7,35.0,0.0,0.0,1.4,4.1,,2.7,47290.0,2023,2033,Legislators,27.7,28.6,0.0,0.0,0.9,3.4,,2.2,44810.0,2024,2034,both,-6.0000000000000036,-6.399999999999999,0.0,0.0,-0.4999999999999999,-0.6999999999999997,,-0.5,-2480.0
Advertising and promotions managers,11-2011,Line item,22.2,21.7,0.0,0.0,-0.6,-2.6,6.2,1.8,131870.0,2023,2033,Advertising and promotions managers,27.0,26.4,0.0,0.0,-0.6,-2.2,20.7,2.1,126960.0,2024,2034,both,4.800000000000001,4.699999999999999,0.0,0.0,0.0,0.3999999999999999,14.5,0.30000000000000004,-4910.0
Marketing managers,11-2021,Line item,389.1,420.8,0.2,0.2,31.7,8.2,3.2,34.8,157620.0,2023,2033,Marketing managers,407.0,433.7,0.2,0.2,26.7,6.6,3.6,34.3,161030.0,2024,2034,both,17.899999999999977,12.899999999999977,0.0,0.0,-5.0,-1.5999999999999996,0.3999999999999999,-0.5,3410.0
Sales managers,11-2022,Line item,584.8,619.1,0.3,0.4,34.3,5.9,0.1,48.6,135160.0,2023,2033,Sales managers,619.5,648.5,0.4,0.4,29.0,4.7,0.9,49.0,138060.0,2024,2034,both,34.700000000000045,29.399999999999977,0.10000000000000003,0.0,-5.299999999999997,-1.2000000000000002,0.8,0.3999999999999986,2900.0
Public relations managers,11-2032,Line item,78.4,83.8,0.0,0.0,5.4,6.9,,6.0,134760.0,2023,2033,Public relations managers,83.2,87.3,0.0,0.0,4.1,5.0,0.3,6.6,138520.0,2024,2034,both,4.799999999999997,3.5,0.0,0.0,-1.3000000000000007,-1.9000000000000004,,0.5999999999999996,3760.0
Fundraising managers,11-2033,Line item,38.2,40.5,0.0,0.0,2.3,5.9,,2.9,119200.0,2023,2033,Fundraising managers,45.7,47.6,0.0,0.0,1.9,4.2,0.2,3.6,123480.0,2024,2034,both,7.5,7.100000000000001,0.0,0.0,-0.3999999999999999,-1.7000000000000002,,0.7000000000000002,4280.0
Administrative services managers,11-3012,Line item,256.8,272.8,0.2,0.2,16.0,6.2,,22.7,106470.0,2023,2033,Administrative services managers,271.2,283.8,0.2,0.2,12.6,4.6,0.0,23.2,108390.0,2024,2034,both,14.399999999999977,11.0,0.0,0.0,-3.4000000000000004,-1.6000000000000005,,0.5,1920.0
Facilities managers,11-3013,Line item,140.5,147.9,0.1,0.1,7.4,5.3,0.7,12.5,102340.0,2023,2033,Facilities managers,151.4,157.1,0.1,0.1,5.7,3.8,,13.2,104690.0,2024,2034,both,10.900000000000006,9.199999999999989,0.0,0.0,-1.7000000000000002,-1.5,,0.6999999999999993,2350.0
