projection_method,projection_label,year,value_type,stage,employment_raw,employment_auto,auto_share_ratio
moodys_mi_detail,Moody's MI (detail),2001,Moody's detailed,Downstream,224.22289691024454,40.18618208467995,0.17922425692665234
moodys_mi_detail,Moody's MI (detail),2001,Moody's detailed,OEM,412.1812699138103,181.581087991111,0.4405369706126645
moodys_mi_detail,Moody's MI (detail),2001,Moody's detailed,Upstream,259.94910545770404,72.35398056710326,0.27833902501686386
moodys_mi_detail,Moody's MI (detail),2002,Moody's detailed,Downstream,220.34159188691464,38.892278774671915,0.17650902147712766
moodys_mi_detail,Moody's MI (detail),2002,Moody's detailed,OEM,389.15816780428156,171.3792060518862,0.4403844509260758
moodys_mi_detail,Moody's MI (detail),2002,Moody's detailed,Upstream,240.58817619003938,67.7468813251064,0.28158857346170446
moodys_mi_detail,Moody's MI (detail),2003,Moody's detailed,Downstream,215.38806632823835,38.37142300650413,0.17815018102269606
moodys_mi_detail,Moody's MI (detail),2003,Moody's detailed,OEM,365.512864820938,158.78669223778132,0.4344216237520661
moodys_mi_detail,Moody's MI (detail),2003,Moody's detailed,Upstream,233.18052763469487,65.91365017627945,0.28267218898973007
moodys_mi_detail,Moody's MI (detail),2004,Moody's detailed,Downstream,213.46419579657993,38.31011352434528,0.1794685679318924
moodys_mi_detail,Moody's MI (detail),2004,Moody's detailed,OEM,351.4322990188818,151.7764429106455,0.43187960621254917
moodys_mi_detail,Moody's MI (detail),2004,Moody's detailed,Upstream,231.51216198210955,65.90597081572265,0.28467606302607823
moodys_mi_detail,Moody's MI (detail),2005,Moody's detailed,Downstream,213.01064772970992,38.57567908455462,0.18109742163454412
moodys_mi_detail,Moody's MI (detail),2005,Moody's detailed,OEM,334.25126659182513,141.99291337921895,0.4248089014801409
moodys_mi_detail,Moody's MI (detail),2005,Moody's detailed,Upstream,231.17671585161017,65.54478655303845,0.28352676571074287
moodys_mi_detail,Moody's MI (detail),2006,Moody's detailed,Downstream,210.74839476658047,38.76276920869909,0.183929131472777
moodys_mi_detail,Moody's MI (detail),2006,Moody's detailed,OEM,313.5363645451482,131.25732236667017,0.4186350841858075
moodys_mi_detail,Moody's MI (detail),2006,Moody's detailed,Upstream,225.88422115436887,63.7094324813529,0.28204463399775936
moodys_mi_detail,Moody's MI (detail),2007,Moody's detailed,Downstream,208.86002815928805,38.625380449509215,0.1849342872828275
moodys_mi_detail,Moody's MI (detail),2007,Moody's detailed,OEM,291.8422251570894,117.31773351722086,0.40199026530198795
moodys_mi_detail,Moody's MI (detail),2007,Moody's detailed,Upstream,217.4514802423334,61.13478957832228,0.2811422093342024
moodys_mi_detail,Moody's MI (detail),2008,Moody's detailed,Downstream,203.0178374540671,37.43438095902047,0.18438961535825651
moodys_mi_detail,Moody's MI (detail),2008,Moody's detailed,OEM,257.59732541884443,99.31206992930291,0.38553222463713427
