adjustment_source,forecast_source,projection_label,stage,year,value_type,employment_auto,employment_raw,auto_share_ratio
sam_mi,bls_us,BLS US,Downstream,2024,QCEW,231829.0,231829.0,1.0
sam_mi,bls_us,BLS US,OEM,2024,QCEW,174114.02550542576,293289.0,0.5936602651494797
sam_mi,bls_us,BLS US,Upstream,2024,QCEW,57438.86459823029,205217.0,0.279893306101494
sam_mi,bls_us,BLS US,Downstream,2025,Forecast,231941.37655888128,231941.37655888128,1.0
sam_mi,bls_us,BLS US,OEM,2025,Forecast,171470.70852788258,291204.3569028414,0.5888329087915836
sam_mi,bls_us,BLS US,Upstream,2025,Forecast,57324.02957522009,204895.35171445514,0.27977223053409045
sam_mi,bls_us,BLS US,Downstream,2026,Forecast,232061.710376985,232061.710376985,1.0
sam_mi,bls_us,BLS US,OEM,2026,Forecast,168902.04505485046,289197.338390275,0.5840373427881113
sam_mi,bls_us,BLS US,Upstream,2026,Forecast,57213.98063143398,204586.44809296128,0.27965674737867646
sam_mi,bls_us,BLS US,Downstream,2027,Forecast,232189.9122602116,232189.9122602116,1.0
sam_mi,bls_us,BLS US,OEM,2027,Forecast,166406.2111594316,287266.1386188408,0.5792754132439806
sam_mi,bls_us,BLS US,Upstream,2027,Forecast,57108.72552895558,204290.3029581937,0.27954692269775727
sam_mi,bls_us,BLS US,Downstream,2028,Forecast,232325.89446570657,232325.89446570657,1.0
sam_mi,bls_us,BLS US,OEM,2028,Forecast,163981.4287597845,285408.9977132475,0.5745489107688814
sam_mi,bls_us,BLS US,Upstream,2028,Forecast,57008.2735747796,204006.9333364254,0.2794428240375926
sam_mi,bls_us,BLS US,Downstream,2029,Forecast,232469.5706804216,232469.5706804216,1.0
sam_mi,bls_us,BLS US,OEM,2029,Forecast,161625.96447356552,283624.20062171784,0.5698595681160975
sam_mi,bls_us,BLS US,Upstream,2029,Forecast,56912.63564028867,203736.35949810612,0.2793445204404848
sam_mi,bls_us,BLS US,Downstream,2030,Forecast,232620.856,232620.856,1.0
sam_mi,bls_us,BLS US,OEM,2030,Forecast,159338.12850103067,281910.07600000006,0.5652090580154738
sam_mi,bls_us,BLS US,Upstream,2030,Forecast,56821.8241815222,203478.605,0.27925208245614913
sam_mi,bls_us,BLS US,Downstream,2031,Forecast,232779.6669079821,232779.6669079821,1.0
sam_mi,bls_us,BLS US,OEM,2031,Forecast,157116.27353608032,280264.99512333,0.5605989912045265
sam_mi,bls_us,BLS US,Upstream,2031,Forecast,56735.85326025325,203233.69672891387,0.2791655821521131
sam_mi,bls_us,BLS US,Downstream,2032,Forecast,232945.9212553247,232945.9212553247,1.0
sam_mi,bls_us,BLS US,OEM,2032,Forecast,154958.79370454763,278687.370825644,0.556030914660625
sam_mi,bls_us,BLS US,Upstream,2032,Forecast,56654.738565889835,203001.66494704934,0.27908509312309127
sam_mi,bls_us,BLS US,Downstream,2033,Forecast,233119.53824023117,233119.53824023117,1.0
sam_mi,bls_us,BLS US,OEM,2033,Forecast,152864.12352905018,277175.6564653615,0.5515063100361179
sam_mi,bls_us,BLS US,Upstream,2033,Forecast,56578.49743821788,202782.543339014,0.27901069049927707
sam_mi,bls_us,BLS US,Downstream,2034,Forecast,233300.43838828627,233300.43838828627,1.0
sam_mi,bls_us,BLS US,OEM,2034,Forecast,150830.73691973946,275728.3449170732,0.5470265922972215
sam_mi,bls_us,BLS US,Upstream,2034,Forecast,56507.14889100315,202576.3690605261,0.2789424509534962
sam_mi,dtmb_mi,DTMB MI,Downstream,2024,QCEW,231829.0,231829.0,1.0
sam_mi,dtmb_mi,DTMB MI,OEM,2024,QCEW,174114.02550542576,293289.0,0.5936602651494797
sam_mi,dtmb_mi,DTMB MI,Upstream,2024,QCEW,57438.86459823029,205217.0,0.279893306101494
sam_mi,dtmb_mi,DTMB MI,Downstream,2025,Forecast,231574.82603495955,231574.82603495955,1.0
sam_mi,dtmb_mi,DTMB MI,OEM,2025,Forecast,173216.36987470416,293007.5955792521,0.591166824642445
sam_mi,dtmb_mi,DTMB MI,Upstream,2025,Forecast,57245.83336436632,204638.8730807191,0.2797407574746852
sam_mi,dtmb_mi,DTMB MI,Downstream,2026,Forecast,231322.27693488175,231322.27693488175,1.0
sam_mi,dtmb_mi,DTMB MI,OEM,2026,Forecast,172323.5675909957,292736.07862491073,0.5886652864944526
sam_mi,dtmb_mi,DTMB MI,Upstream,2026,Forecast,57054.29147104508,204064.6448211636,0.27958930132677234
sam_mi,dtmb_mi,DTMB MI,Downstream,2027,Forecast,231071.3453536063,231071.3453536063,1.0
sam_mi,dtmb_mi,DTMB MI,OEM,2027,Forecast,171435.59558143333,292474.48715947015,0.5861557267658666
sam_mi,dtmb_mi,DTMB MI,Upstream,2027,Forecast,56864.2335893239,203494.3021256771,0.279438947407013
sam_mi,dtmb_mi,DTMB MI,Downstream,2028,Forecast,230822.02399436248,230822.02399436248,1.0
sam_mi,dtmb_mi,DTMB MI,OEM,2028,Forecast,170552.43093230805,292222.8602715495,0.583638223148666
sam_mi,dtmb_mi,DTMB MI,Upstream,2028,Forecast,56675.65447049541,202927.8320676103,0.2792897055718436
