segment_id,segment_name,year,methodology,projection_method,projection_label,occcd,soctitle,employment,employment_auto,employment_raw,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,empl_2021,ep_openings_annual_avg,openings
1,Materials & Processing - Non-Metals,2030,sam_mi_bls_us,bls_us,BLS US,11-1011,Chief Executives,5.805892518348566,5.805892518348566,21.43269186946165,0.00043846673161204513,0.00041607722393270267,0.0008930669800235,Bachelor's degree,5 years or more,,BA+,90.0,22.2,23.85570728504449
3,Forging & Foundries,2030,sam_mi_bls_us,bls_us,BLS US,11-1011,Chief Executives,16.808690105986727,16.808690105986727,30.56855503519524,0.0020269665628332803,0.0018844221105527054,0.0011682242990654,Bachelor's degree,5 years or more,,BA+,,22.2,21.945777777641457
4,Parts & Machining,2030,sam_mi_bls_us,bls_us,BLS US,11-1011,Chief Executives,14.474111494374993,14.474111494374993,49.015747588852115,0.000982797478551915,0.0009684292078249046,0.0011866418036955,Bachelor's degree,5 years or more,,BA+,,22.2,22.214154062214742
5,Component Systems,2030,sam_mi_bls_us,bls_us,BLS US,11-1011,Chief Executives,16.70384039976376,16.70384039976376,50.85138578440065,0.0026687692488278282,0.002489110143123809,0.0015089163237311,Bachelor's degree,5 years or more,,BA+,,22.2,24.883652551627033
6,Engineering & Design,2030,sam_mi_bls_us,bls_us,BLS US,11-1011,Chief Executives,1.2036770018702128,1.2036770018702128,140.71391957544128,0.0011381906335031849,0.0011372867587327096,0.003024433343528,Bachelor's degree,5 years or more,,BA+,260.0,22.2,22.766827861169624
7,Core Automotive,2030,sam_mi_bls_us,bls_us,BLS US,11-1011,Chief Executives,97.93275540531997,97.93275540531997,97.93275540531997,0.0006187287623146571,0.0006872852233676048,0.0003273322422258,Bachelor's degree,5 years or more,,BA+,60.0,22.2,18.276458166346973
8,"Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi_bls_us,bls_us,BLS US,11-1011,Chief Executives,63.65559572533569,63.65559572533569,63.65559572533569,0.0005541894890276703,0.0005419075144508035,0.0011894576490473,Bachelor's degree,5 years or more,,BA+,110.0,22.2,22.609160713739364
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,11-1011,Chief Executives,216.58456265099989,216.58456265099989,454.1706509840066,0.0004826065608438305,0.0005058626998650075,0.00047015698763158286,Bachelor's degree,5 years or more,,BA+,520.0,155.4,156.55173841778367
1,Materials & Processing - Non-Metals,2030,sam_mi_bls_us,bls_us,BLS US,11-1021,General and Operations Managers,120.21402219426817,120.21402219426817,443.77502475902514,0.009078681570297389,0.009070483481734259,0.0206345475910693,Bachelor's degree,5 years or more,,BA+,1320.0,308.7,315.06894249129346
10,Logistics,2030,sam_mi_bls_us,bls_us,BLS US,11-1021,General and Operations Managers,823.8778131372882,823.8778131372882,823.8778131372882,0.017431361307227944,0.017461669505962535,0.0253386041086125,Bachelor's degree,5 years or more,,BA+,880.0,308.7,310.6295032999828
2,Equipment Manufacturing,2030,sam_mi_bls_us,bls_us,BLS US,11-1021,General and Operations Managers,166.18055160674376,166.18055160674376,1252.4630549767817,0.026957333514491554,0.026717557251908428,0.0220382713394968,Bachelor's degree,5 years or more,,BA+,990.0,308.7,307.4796424136559
3,Forging & Foundries,2030,sam_mi_bls_us,bls_us,BLS US,11-1021,General and Operations Managers,123.59646855663794,123.59646855663794,224.77453194783456,0.014904546842668634,0.014447236180904542,0.0216121495327102,Bachelor's degree,5 years or more,,BA+,230.0,308.7,292.684849800805
4,Parts & Machining,2030,sam_mi_bls_us,bls_us,BLS US,11-1021,General and Operations Managers,321.32527517511977,321.32527517511977,1088.1495964724998,0.021818104023852168,0.021499128413713,0.0245804373622647,Bachelor's degree,5 years or more,,BA+,1190.0,308.7,308.89681797322265
5,Component Systems,2030,sam_mi_bls_us,bls_us,BLS US,11-1021,General and Operations Managers,140.52374026012507,140.52374026012507,427.79545043639155,0.022451449951700612,0.022401991288114584,0.0211248285322359,Bachelor's degree,5 years or more,,BA+,410.0,308.7,323.4362128873725
