stage_clean,methodology,projection_method,projection_label,occcd,soctitle,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_avg_annual_salary,employment,employment_auto,employment_raw,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,openings,ep_openings_annual_avg,empl_2021,employment_auto_pct_change,employment_raw_pct_change,year
Core/OEM,sam_mi_bls_us,bls_us,BLS US,00-0000,All Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,58507.37859075352,159338.12850103065,159338.12850103065,281910.07600000006,174114.02550542576,293289.0,-14775.897004395112,-11378.92399999994,14965.923521607692,15511.2,283880.0,-0.08486333574508427,-0.03879765009938982,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-0000,Management Occupations,Bachelor's degree,5 years or more,Unreported,BA+,133672.70603487777,8321.56935367619,8321.56935367619,23046.66747904648,9055.324256413247,23335.02266254626,-733.7549027370569,-288.35518349978156,1616.918316279815,1641.2,22000.0,-0.08103021846151894,-0.012357184634862357,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-0000,Business and Financial Operations Occupations,Bachelor's degree,Unreported,Unreported,BA+,82774.91787023382,5712.814725598424,5712.814725598424,17844.575218827522,6069.6061736323945,17841.886351163066,-356.7914480339705,2.6888676644557563,1537.5445153943535,1571.1000000000001,17290.0,-0.05878329463679954,0.00015070534648263108,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,15-0000,Computer and Mathematical Occupations,Bachelor's degree,Unreported,Unreported,BA+,118178.44152575402,2420.978403904293,2420.978403904293,14546.397859898198,2535.8625406135507,13765.998236284237,-114.88413670925775,780.399623613961,645.7710325376316,641.6,9290.0,-0.04530377134774095,0.056690376550898716,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,17-0000,Architecture and Engineering Occupations,Bachelor's degree,Unreported,Unreported,BA+,96345.54141114293,12954.843704772777,12954.843704772777,62036.03770909433,13765.867565597895,61455.21966635144,-811.0238608251184,580.8180427428888,271.88815944069995,275.6,63380.0,-0.05891556467185097,0.009451077482046719,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,19-0000,"Life, Physical, and Social Science Occupations",Bachelor's degree,Unreported,Unreported,BA+,81169.695793621,336.49271116153903,336.49271116153903,6043.143626345543,364.75308156659696,5853.965960398652,-28.260370405057927,189.17766594689147,120.17072762499507,120.79999999999998,5450.0,-0.07747808540418903,0.03231615407856054,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,23-0000,Legal Occupations,Doctoral or professional degree,Unreported,Unreported,BA+,150064.95174245312,41.020336406061,41.020336406061,299.0043646056024,41.83197885494993,293.54191686134544,-0.8116424488889322,5.462447744256963,102.20320059288733,102.3,240.0,-0.01940243973882415,0.018608748633460584,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",Bachelor's degree,Unreported,Unreported,BA+,76770.70122431648,202.2049665049302,202.2049665049302,3404.591933100782,205.51419356525582,3332.5261157218047,-3.309227060325611,72.0658173789775,120.49590656170925,119.6,3990.0,-0.016102182544753776,0.021624982033597202,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,29-0000,Healthcare Practitioners and Technical Occupations,Bachelor's degree,Unreported,Unreported,BA+,91327.11914402216,94.98239145322437,94.98239145322437,986.8365003532739,96.67896119015307,958.301441289023,-1.6965697369287085,28.535059064250845,417.1944990730899,415.0,430.0,-0.017548489516677878,0.029776704734856694,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,33-0000,Protective Service Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,38370.0,106.5826887916641,106.5826887916641,163.24442860451393,129.37277756815809,187.45968633886199,-22.790088776493988,-24.215257734348057,289.01726466873953,322.0,110.0,-0.1761583016526593,-0.1291758148500008,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,37-0000,Building and Grounds Cleaning and Maintenance Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,35935.314222959125,411.41424685438216,411.41424685438216,741.0852949505713,458.76728693420813,778.2452851731153,-47.35304007982597,-37.159990222544025,839.5153880856915,860.8,510.0,-0.10321799620079904,-0.047748429615321136,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,41-0000,Sales and Related Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,76784.35005699347,1031.738379639403,1031.738379639403,4574.842636772854,1150.6081975134264,4664.866178141382,-118.86981787402328,-90.02354136852773,1140.2770509261406,1147.5,4280.0,-0.10331042150656693,-0.01929820447805337,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,43-0000,Office and Administrative Support Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,49439.75354207621,4903.4642244430015,4903.4642244430015,11516.914302511597,5699.718705767527,12534.61163778777,-796.2544813245258,-1017.6973352761725,2590.4326111697123,2809.3999999999996,11660.0,-0.1397006628623266,-0.08119097461369658,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,47-0000,Construction and Extraction Occupations,High school diploma or equivalent,Unreported,Apprenticeship,HS or less,62422.80416742627,4241.746781504174,4241.746781504174,5660.016820069397,4423.5511041015225,5836.999217522127,-181.8043225973488,-176.98239745272986,551.156188878572,555.0,5700.0,-0.0410991798939046,-0.030320784851477316,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,49-0000,"Installation, Maintenance, and Repair Occupations",High school diploma or equivalent,Unreported,Long-term on-the-job training,HS or less,62603.92174293922,8295.386152003317,8295.386152003317,9928.872093025406,8568.71857769945,10156.427417432156,-273.3324256961332,-227.55532440675051,858.9028921298973,878.5,11230.0,-0.03189886833341633,-0.022405055936911642,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,51-0000,Production Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,45770.326990818,102670.39851837978,102670.39851837978,112367.928356359,113012.81101055664,122626.19441210921,-10342.412492176867,-10258.26605575021,1146.4072240018866,1211.6999999999998,119140.0,-0.09151539900384188,-0.08365476972460964,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,53-0000,Transportation and Material Moving Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,42332.85272307948,7592.490915937498,7592.490915937498,8749.917376434978,8535.039093850773,9667.733814879597,-942.5481779132751,-917.816438444619,2718.02854424187,2839.1,9180.0,-0.11043278976804587,-0.09493604768389557,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,00-0000,All Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,58499.55252456039,168800.43285520395,168800.43285520395,291749.662,174114.02550542576,293289.0,-5313.592650221806,-1539.3379999999888,15558.81375088268,15511.2,283880.0,-0.03051788984142592,-0.005248536426528062,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,11-0000,Management Occupations,Bachelor's degree,5 years or more,Unreported,BA+,133666.9670059993,8813.260433423411,8813.260433423411,23583.683034491907,9055.324256413247,23335.02266254626,-242.0638229898359,248.66037194564706,1681.7024681256162,1641.2,22000.0,-0.026731657104205758,0.010656101583511976,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,13-0000,Business and Financial Operations Occupations,Bachelor's degree,Unreported,Unreported,BA+,82772.43678315052,6049.759920074448,6049.759920074448,18218.862485931528,6069.6061736323945,17841.886351163066,-19.84625355794651,376.97613476846163,1601.2877105324496,1571.1000000000001,17290.0,-0.0032697761584866377,0.021128715167714737,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,15-0000,Computer and Mathematical Occupations,Bachelor's degree,Unreported,Unreported,BA+,118174.97989924507,2561.683346769816,2561.683346769816,14724.425357410524,2535.8625406135507,13765.998236284237,25.820806156265462,958.4271211262876,671.9703093458972,641.6,9290.0,0.010182257808823553,0.06962278395475005,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,17-0000,Architecture and Engineering Occupations,Bachelor's degree,Unreported,Unreported,BA+,96343.75773095428,13712.486231631867,13712.486231631867,62944.75422988863,13765.867565597895,61455.21966635144,-53.38133396602825,1489.5345635371923,281.83837300723945,275.6,63380.0,-0.0038778038297733494,0.02423772255024184,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,19-0000,"Life, Physical, and Social Science Occupations",Bachelor's degree,Unreported,Unreported,BA+,81142.58221672536,354.84839645713805,354.84839645713805,6079.064624858153,364.75308156659696,5853.965960398652,-9.90468510945891,225.09866445950138,123.916527956644,120.79999999999998,5450.0,-0.027154493299737903,0.03845233572970286,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,23-0000,Legal Occupations,Doctoral or professional degree,Unreported,Unreported,BA+,150098.84214831638,43.38870987834272,43.38870987834272,302.1668238433642,41.83197885494993,293.54191686134544,1.5567310233927927,8.624906982018786,105.82512524009564,102.3,240.0,0.03721389869675234,0.02938219888402773,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",Bachelor's degree,Unreported,Unreported,BA+,76785.72736359913,213.30299954683858,213.30299954683858,3425.5470488600977,205.51419356525582,3332.5261157218047,7.788805981582755,93.020933138293,124.52775441369565,119.6,3990.0,0.03789911463759615,0.02791303951061318,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,29-0000,Healthcare Practitioners and Technical Occupations,Bachelor's degree,Unreported,Unreported,BA+,91395.53222793827,100.3784000850855,100.3784000850855,994.9776737060095,96.67896119015307,958.301441289023,3.6994388949324275,36.67623241698641,434.0286366782975,415.0,430.0,0.03826519078598894,0.038272124862561784,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,33-0000,Protective Service Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,38370.0,112.91967216163688,112.91967216163688,169.7558192094878,129.37277756815809,187.45968633886199,-16.453105406521203,-17.703867129374174,300.830874010316,322.0,110.0,-0.1271759462523183,-0.09444093007480943,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,37-0000,Building and Grounds Cleaning and Maintenance Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,35935.14178726652,435.8421682072795,435.8421682072795,766.5279577524299,458.76728693420813,778.2452851731153,-22.925118726928645,-11.717327420685479,871.3990918012851,860.8,510.0,-0.049971127802354263,-0.01505608532929183,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,41-0000,Sales and Related Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,76786.0651097501,1092.1871232455992,1092.1871232455992,4646.197205347508,1150.6081975134264,4664.866178141382,-58.42107426782718,-18.668972793873763,1174.1405938510081,1147.5,4280.0,-0.050774081389373615,-0.00400203823238334,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,43-0000,Office and Administrative Support Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,49440.61013395704,5193.808166912787,5193.808166912787,11827.614724428417,5699.718705767527,12534.61163778777,-505.9105388547405,-706.9969133593531,2694.9229863581713,2809.3999999999996,11660.0,-0.08876061521120529,-0.0564035754588509,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,47-0000,Construction and Extraction Occupations,High school diploma or equivalent,Unreported,Apprenticeship,HS or less,62422.19247825679,4494.194085342936,4494.194085342936,5916.829619156417,4423.5511041015225,5836.999217522127,70.64298124141351,79.83040163428996,571.8298150856585,555.0,5700.0,0.01596974457374602,0.013676616812735992,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,49-0000,"Installation, Maintenance, and Repair Occupations",High school diploma or equivalent,Unreported,Long-term on-the-job training,HS or less,62604.21230644908,8789.426060258786,8789.426060258786,10427.939940192171,8568.71857769945,10156.427417432156,220.7074825593354,271.5125227600147,894.8814309599945,878.5,11230.0,0.02575734989520352,0.02673307370798511,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,51-0000,Production Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,45770.24432883259,108788.17709953085,108788.17709953085,118515.55634508148,113012.81101055664,122626.19441210921,-4224.633911025798,-4110.6380670277285,1194.9585025035428,1211.6999999999998,119140.0,-0.03738190275287613,-0.033521696459184964,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,53-0000,Transportation and Material Moving Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,42332.851985451416,8044.770041677161,8044.770041677161,9205.759109841812,8535.039093850773,9667.733814879597,-490.2690521736122,-461.9747050377846,2830.7535510127705,2839.1,9180.0,-0.05744192226686291,-0.04778521149669635,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,00-0000,All Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,58482.52488497679,176020.85362319316,176020.85362319316,299603.6770000001,174114.02550542576,293289.0,1906.828117767407,6314.677000000083,15553.080407180005,15511.2,283880.0,0.010951605490897035,0.021530562005394282,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-0000,Management Occupations,Bachelor's degree,5 years or more,Unreported,BA+,133654.4690664342,9184.606830852177,9184.606830852177,24031.14584704173,9055.324256413247,23335.02266254626,129.28257443893017,696.1231844954709,1682.7665636805814,1641.2,22000.0,0.014276967977968149,0.029831690954934417,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,13-0000,Business and Financial Operations Occupations,Bachelor's degree,Unreported,Unreported,BA+,82767.03198054516,6303.295293646161,6303.295293646161,18535.108892733024,6069.6061736323945,17841.886351163066,233.68912001376611,693.2225415699577,1607.2447085112478,1571.1000000000001,17290.0,0.03850152931321298,0.038853657507170944,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,15-0000,Computer and Mathematical Occupations,Bachelor's degree,Unreported,Unreported,BA+,118167.41953867929,2664.305113694206,2664.305113694206,14889.725379717082,2535.8625406135507,13765.998236284237,128.44257308065517,1123.727143432845,673.1477971562967,641.6,9290.0,0.050650447736642124,0.08163063252986186,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,17-0000,Architecture and Engineering Occupations,Bachelor's degree,Unreported,Unreported,BA+,96339.86635257656,14272.532746319628,14272.532746319628,63758.50937902235,13765.867565597895,61455.21966635144,506.6651807217331,2303.2897126709067,279.8365935408665,275.6,63380.0,0.03680590259257859,0.03747915515029924,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,19-0000,"Life, Physical, and Social Science Occupations",Bachelor's degree,Unreported,Unreported,BA+,81082.7219631428,366.33571975107816,366.33571975107816,6120.0505502199985,364.75308156659696,5853.965960398652,1.5826381844811976,266.0845898213465,121.5244810158925,120.79999999999998,5450.0,0.00433893026395786,0.04545373027813546,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,23-0000,Legal Occupations,Doctoral or professional degree,Unreported,Unreported,BA+,150172.94572940518,45.091235458423355,45.091235458423355,305.20291061385944,41.83197885494993,293.54191686134544,3.2592566034734247,11.660993752514003,104.79901300753842,102.3,240.0,0.07791303908368084,0.03972514003177977,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",Bachelor's degree,Unreported,Unreported,BA+,76818.86768873327,220.36255888189837,220.36255888189837,3449.1602646565507,205.51419356525582,3332.5261157218047,14.848365316642543,116.63414893474601,122.7670323231554,119.6,3990.0,0.07224982887582322,0.034998720155410924,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,29-0000,Healthcare Practitioners and Technical Occupations,Bachelor's degree,Unreported,Unreported,BA+,91545.54034735908,104.11728733973047,104.11728733973047,1003.3266991751835,96.67896119015307,958.301441289023,7.438326149577392,45.02525788616049,434.57744484134895,415.0,430.0,0.07693841615599609,0.04698444137326608,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,33-0000,Protective Service Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,38370.0,117.76696063090897,117.76696063090897,174.8960013812233,129.37277756815809,187.45968633886199,-11.605816937249116,-12.563684957638685,301.56133974698616,322.0,110.0,-0.08970833861192141,-0.06702072964598857,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,37-0000,Building and Grounds Cleaning and Maintenance Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,35934.76659786543,454.4763354277054,454.4763354277054,786.8662479699753,458.76728693420813,778.2452851731153,-4.290951506502722,8.620962796859999,867.9000675733935,860.8,510.0,-0.00935322031171348,0.01107743658857159,2030
