segment_id,segment_name,year,adjustment_source,forecast_source,value_type,employment_qcew
1,Materials & Processing - Coatings & Surface Treatments,2024,sam_mi,bls_us,QCEW,4879.641192022313
1,Materials & Processing - Metals,2024,sam_mi,bls_us,QCEW,3382.6158243114137
1,Materials & Processing - Non-Metals,2024,sam_mi,bls_us,QCEW,12985.411769331364
2,Equipment Manufacturing,2024,sam_mi,bls_us,QCEW,6244.586842570626
3,Forging & Foundries,2024,sam_mi,bls_us,QCEW,9023.139594640334
4,Parts & Machining,2024,sam_mi,bls_us,QCEW,14936.444494648236
5,Component Systems,2024,sam_mi,bls_us,QCEW,5987.024880706003
6,Engineering & Design,2024,sam_mi,bls_us,QCEW,1032.0255054257461
7,Core Automotive,2024,sam_mi,bls_us,QCEW,173082.0
8,"Motor Vehicle Parts, Materials, & Products Sales",2024,sam_mi,bls_us,QCEW,115340.0
9,"Dealers, Maintenance, & Repair",2024,sam_mi,bls_us,QCEW,69600.0
10,Logistics,2024,sam_mi,bls_us,QCEW,46889.0
1,Materials & Processing - Coatings & Surface Treatments,2025,sam_mi,bls_us,Forecast,4855.048941245114
1,Materials & Processing - Metals,2025,sam_mi,bls_us,Forecast,3385.458951515645
1,Materials & Processing - Non-Metals,2025,sam_mi,bls_us,Forecast,13027.665334189198
2,Equipment Manufacturing,2025,sam_mi,bls_us,Forecast,6231.013312524281
3,Forging & Foundries,2025,sam_mi,bls_us,Forecast,8896.881108169242
4,Parts & Machining,2025,sam_mi,bls_us,Forecast,14899.718617478627
5,Component Systems,2025,sam_mi,bls_us,Forecast,6028.243310097978
6,Engineering & Design,2025,sam_mi,bls_us,Forecast,1036.2312105654144
7,Core Automotive,2025,sam_mi,bls_us,Forecast,170434.47731731719
8,"Motor Vehicle Parts, Materials, & Products Sales",2025,sam_mi,bls_us,Forecast,115241.87522437793
9,"Dealers, Maintenance, & Repair",2025,sam_mi,bls_us,Forecast,69748.19005030766
10,Logistics,2025,sam_mi,bls_us,Forecast,46951.31128419568
1,Materials & Processing - Coatings & Surface Treatments,2026,sam_mi,bls_us,Forecast,4830.794759937387
1,Materials & Processing - Metals,2026,sam_mi,bls_us,Forecast,3388.310938646288
1,Materials & Processing - Non-Metals,2026,sam_mi,bls_us,Forecast,13070.079306865813
2,Equipment Manufacturing,2026,sam_mi,bls_us,Forecast,6217.536006611181
3,Forging & Foundries,2026,sam_mi,bls_us,Forecast,8772.455033097838
4,Parts & Machining,2026,sam_mi,bls_us,Forecast,14863.750699484455
5,Component Systems,2026,sam_mi,bls_us,Forecast,6071.05388679102
6,Engineering & Design,2026,sam_mi,bls_us,Forecast,1040.4551825403867
7,Core Automotive,2026,sam_mi,bls_us,Forecast,167861.58987231008
8,"Motor Vehicle Parts, Materials, & Products Sales",2026,sam_mi,bls_us,Forecast,115151.28641185304
9,"Dealers, Maintenance, & Repair",2026,sam_mi,bls_us,Forecast,69896.71859062105
10,Logistics,2026,sam_mi,bls_us,Forecast,47013.705374510886
1,Materials & Processing - Coatings & Surface Treatments,2027,sam_mi,bls_us,Forecast,4806.875020576088
1,Materials & Processing - Metals,2027,sam_mi,bls_us,Forecast,3391.171794338355
1,Materials & Processing - Non-Metals,2027,sam_mi,bls_us,Forecast,13112.65434257335
2,Equipment Manufacturing,2027,sam_mi,bls_us,Forecast,6204.154308484867
3,Forging & Foundries,2027,sam_mi,bls_us,Forecast,8649.834041244694
4,Parts & Machining,2027,sam_mi,bls_us,Forecast,14828.540806254456
5,Component Systems,2027,sam_mi,bls_us,Forecast,6115.495215483776
6,Engineering & Design,2027,sam_mi,bls_us,Forecast,1044.6975091013276
7,Core Automotive,2027,sam_mi,bls_us,Forecast,165361.5136503303
8,"Motor Vehicle Parts, Materials, & Products Sales",2027,sam_mi,bls_us,Forecast,115068.14344241246
9,"Dealers, Maintenance, & Repair",2027,sam_mi,bls_us,Forecast,70045.5864368116
10,Logistics,2027,sam_mi,bls_us,Forecast,47076.18238098753
1,Materials & Processing - Coatings & Surface Treatments,2028,sam_mi,bls_us,Forecast,4783.286136342849
1,Materials & Processing - Metals,2028,sam_mi,bls_us,Forecast,3394.041527250963
1,Materials & Processing - Non-Metals,2028,sam_mi,bls_us,Forecast,13155.391099281202
