forecast_source,projection_label,stage_key,stage_name,stage_label,base_raw,target_raw,raw_change,base_auto,target_auto,auto_change
bls_us,BLS US,upstream,Upstream,Upstream (segments 1-5),205217.0,203478.60499999998,-1738.3950000000186,57438.86459823029,56821.8241815222,-617.0404167080924
bls_us,BLS US,core_oem,Core/OEM,Core/OEM (segments 6-7),293289.0,281910.07600000006,-11378.92399999994,174114.02550542576,159338.12850103067,-14775.897004395083
bls_us,BLS US,downstream,Downstream,Downstream (segments 8-10),231829.0,232620.856,791.8559999999998,231829.0,232620.856,791.8559999999998
bls_us,BLS US,upstream_core,Upstream + Core/OEM,Upstream + Core/OEM (segments 1-7),498506.0,485388.68100000004,-13117.31899999996,231552.89010365604,216159.95268255286,-15392.937421103183
bls_us,BLS US,all_segments,All Segments,All Segments (segments 1-10),730335.0,718009.537,-12325.462999999989,463381.89010365604,448780.80868255283,-14601.081421103212
dtmb_mi,DTMB MI,upstream,Upstream,Upstream (segments 1-5),205217.0,201806.459,-3410.5409999999974,57438.86459823029,56302.91192682517,-1135.9526714051244
dtmb_mi,DTMB MI,core_oem,Core/OEM,Core/OEM (segments 6-7),293289.0,291749.66199999995,-1539.338000000047,174114.02550542576,168800.43285520395,-5313.592650221806
dtmb_mi,DTMB MI,downstream,Downstream,Downstream (segments 8-10),231829.0,230328.18299999996,-1500.8170000000391,231829.0,230328.18299999996,-1500.8170000000391
dtmb_mi,DTMB MI,upstream_core,Upstream + Core/OEM,Upstream + Core/OEM (segments 1-7),498506.0,493556.1209999999,-4949.879000000074,231552.89010365604,225103.34478202913,-6449.545321626909
dtmb_mi,DTMB MI,all_segments,All Segments,All Segments (segments 1-10),730335.0,723884.3039999999,-6450.696000000113,463381.89010365604,455431.5277820291,-7950.362321626919
moodys_mi,Moody's MI,upstream,Upstream,Upstream (segments 1-5),205217.0,193316.873,-11900.127000000008,57438.86459823029,53307.346433736064,-4131.518164494228
moodys_mi,Moody's MI,core_oem,Core/OEM,Core/OEM (segments 6-7),293289.0,299603.677,6314.677000000025,174114.02550542576,176020.85362319316,1906.828117767407
moodys_mi,Moody's MI,downstream,Downstream,Downstream (segments 8-10),231829.0,230375.99699999997,-1453.003000000026,231829.0,230375.99699999997,-1453.003000000026
moodys_mi,Moody's MI,upstream_core,Upstream + Core/OEM,Upstream + Core/OEM (segments 1-7),498506.0,492920.55000000005,-5585.449999999953,231552.89010365604,229328.20005692923,-2224.6900467268133
moodys_mi,Moody's MI,all_segments,All Segments,All Segments (segments 1-10),730335.0,723296.547,-7038.4529999999795,463381.89010365604,459704.19705692923,-3677.6930467268103
moodys_mi_detail,Moody's MI (detail),upstream,Upstream,Upstream (segments 1-5),205217.0,193287.25201707683,-11929.747982923174,57438.86459823029,53303.369547011906,-4135.495051218386
moodys_mi_detail,Moody's MI (detail),core_oem,Core/OEM,Core/OEM (segments 6-7),293289.0,299663.7713080989,6374.77130809892,174114.02550542576,176052.87660326852,1938.8510978427657
moodys_mi_detail,Moody's MI (detail),downstream,Downstream,Downstream (segments 8-10),231829.0,230376.8167858846,-1452.1832141153864,231829.0,230376.8167858846,-1452.1832141153864
moodys_mi_detail,Moody's MI (detail),upstream_core,Upstream + Core/OEM,Upstream + Core/OEM (segments 1-7),498506.0,492951.02332517575,-5554.976674824255,231552.89010365604,229356.24615028044,-2196.6439533756056
moodys_mi_detail,Moody's MI (detail),all_segments,All Segments,All Segments (segments 1-10),730335.0,723327.8401110604,-7007.159888939583,463381.89010365604,459733.062936165,-3648.827167491021
moodys_us,Moody's US,upstream,Upstream,Upstream (segments 1-5),205217.0,195325.23800000004,-9891.761999999959,57438.86459823029,54176.00746313955,-3262.857135090744
moodys_us,Moody's US,core_oem,Core/OEM,Core/OEM (segments 6-7),293289.0,312165.081,18876.081000000006,174114.02550542576,183519.00488258788,9404.979377162119
moodys_us,Moody's US,downstream,Downstream,Downstream (segments 8-10),231829.0,233573.41900000005,1744.4190000000526,231829.0,233573.41900000005,1744.4190000000526
moodys_us,Moody's US,upstream_core,Upstream + Core/OEM,Upstream + Core/OEM (segments 1-7),498506.0,507490.319,8984.319000000018,231552.89010365604,237695.01234572742,6142.122242071375
moodys_us,Moody's US,all_segments,All Segments,All Segments (segments 1-10),730335.0,741063.7380000001,10728.738000000129,463381.89010365604,471268.43134572747,7886.541242071427
