Entity,employment_auto 2024,Delta employment_auto Moody's MI detail 2024-2030,Delta employment_auto Moody's MI CAGR 2024-2030,Delta employment_auto BLS US 2024-2030,Delta employment_auto DTMB MI 2024-2030
1. Materials & Processing,21247.66878566509,-1597.9336349516088,-1595.192492282371,130.57808206088157,-450.40804972019396
10. Logistics,46889.0,-5154.221370828149,-5165.152999999984,375.11200000001554,609.5569999999716
2. Equipment Manufacturing,6244.586842570626,-139.2221413643647,-137.12039718559845,-80.01008584468855,-112.40256316627256
3. Forging & Foundries,9023.139594640334,-1552.249518660421,-1553.4623162612606,-730.6051176573219,-379.05767451726024
4. Parts & Machining,14936.444494648236,-729.5551538656127,-727.4086411533171,-208.9835372782527,-273.94097898843575
5. Component Systems,5987.024880706003,-116.53460237637955,-118.33431761167958,271.9802420112901,79.85659498704263
6. Engineering & Design,1032.025505425746,15.966805643276075,15.816117767427158,25.5099956049296,51.94934977826233
7. Core Automotive,173082.0,1922.8842921995092,1891.011999999988,-14801.407000000007,-5365.542000000045
"8. Motor Vehicle Parts, Materials, & Products Sales",115340.0,1601.329538538761,1616.1459999999788,-477.48999999997613,-1783.1459999999788
"9. Dealers, Maintenance, & Repair",69600.0,2100.7086181740015,2096.0039999999863,894.2339999999531,-327.22800000001735
Upstream + Core Automotive,231552.89010365604,-2196.6439533756056,-2224.6900467268133,-15392.937421103154,-6449.54532162688
