projection_method,projection_label,naics_code,naics_title,segment_id,segment_name,segment_subgroup,stage,year,value_type,share_applied,employment_auto,employment_raw,projection_rate_total,projection_cagr
bls_us,BLS US,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2001,QCEW,0.088514065,379.1057409,4283,,
bls_us,BLS US,3255,"Paint, Coating, and Adhesive Manufacturing",1,1. Materials & Processing,Materials & Processing - Coatings & Surface Treatments,Upstream,2001,QCEW,0.51500968,2145.530328,4166,,
bls_us,BLS US,3261,Plastics Product Manufacturing,1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2001,QCEW,0.23466455,9291.777534,39596,,
bls_us,BLS US,3262,Rubber Product Manufacturing,1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2001,QCEW,0.548001317,3445.83228,6288,,
bls_us,BLS US,3272,Glass and Glass Product Manufacturing,1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2001,QCEW,0.574675959,5102.547843,8879,,
bls_us,BLS US,3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2001,QCEW,0.41555619,3050.597994,7341,,
bls_us,BLS US,3312,Steel Product Manufacturing from Purchased Steel,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2001,QCEW,0.401823231,1255.295775,3124,,
bls_us,BLS US,3313,Alumina and Aluminum Production and Processing,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2001,QCEW,0.320777886,695.1256797,2167,,
bls_us,BLS US,3314,Nonferrous Metal (except Aluminum) Production and Processing,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2001,QCEW,0.29324561,805.2524443,2746,,
bls_us,BLS US,3315,Foundries,3,3. Forging & Foundries,Forging & Foundries,Upstream,2001,QCEW,0.671804216,10796.56555,16071,,
bls_us,BLS US,3321,Forging and Stamping,3,3. Forging & Foundries,Forging & Foundries,Upstream,2001,QCEW,0.392450198,2550.141386,6498,,
bls_us,BLS US,3326,Spring and Wire Product Manufacturing,4,4. Parts & Machining,Parts & Machining,Upstream,2001,QCEW,0.402027843,1684.898689,4191,,
bls_us,BLS US,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,4. Parts & Machining,Parts & Machining,Upstream,2001,QCEW,0.379888343,9939.39861,26164,,
bls_us,BLS US,3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,1. Materials & Processing,Materials & Processing - Coatings & Surface Treatments,Upstream,2001,QCEW,0.235352831,4230.937835,17977,,
bls_us,BLS US,3329,Other Fabricated Metal Product Manufacturing,4,4. Parts & Machining,Parts & Machining,Upstream,2001,QCEW,0.160184024,2465.232124,15390,,
bls_us,BLS US,3335,Metalworking Machinery Manufacturing,2,2. Equipment Manufacturing,Equipment Manufacturing,Upstream,2001,QCEW,0.078113819,3840.15344,49161,,
bls_us,BLS US,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,5. Component Systems,Component Systems,Upstream,2001,QCEW,0.716958288,3521.69911,4912,,
bls_us,BLS US,3339,Other General Purpose Machinery Manufacturing,2,2. Equipment Manufacturing,Equipment Manufacturing,Upstream,2001,QCEW,0.21910762,4541.443646,20727,,
bls_us,BLS US,3344,Semiconductor and Other Electronic Component Manufacturing,4,4. Parts & Machining,Parts & Machining,Upstream,2001,QCEW,0.223660903,1819.034126,8133,,
bls_us,BLS US,3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,5. Component Systems,Component Systems,Upstream,2001,QCEW,0.020876054,198.0719986,9488,,
bls_us,BLS US,3359,Other Electrical Equipment and Component Manufacturing,5,5. Component Systems,Component Systems,Upstream,2001,QCEW,0.503516469,905.3226111,1798,,
bls_us,BLS US,3361,Motor Vehicle Manufacturing,7,7. Core Automotive,Core Automotive,Core Automotive,2001,QCEW,1,90361,90361,,
bls_us,BLS US,3362,Motor Vehicle Body and Trailer Manufacturing,7,7. Core Automotive,Core Automotive,Core Automotive,2001,QCEW,1,10139,10139,,
bls_us,BLS US,3363,Motor Vehicle Parts Manufacturing,7,7. Core Automotive,Core Automotive,Core Automotive,2001,QCEW,1,203833,203833,,
bls_us,BLS US,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1,20063,20063,,
bls_us,BLS US,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1,7797,7797,,
bls_us,BLS US,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1,26299,26299,,
bls_us,BLS US,4239,Miscellaneous Durable Goods Merchant Wholesalers,8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1,6498,6498,,
bls_us,BLS US,4247,Petroleum and Petroleum Products Merchant Wholesalers,8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1,3190,3190,,
bls_us,BLS US,4411,Automobile Dealers,9,"9. Dealers, Maintenance, & Repair","Dealers, Maintenance, & Repair",Downstream,2001,QCEW,1,42508,42508,,
bls_us,BLS US,4413,"Automotive Parts, Accessories, and Tire Retailers",8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1,13540,13540,,
bls_us,BLS US,4571,Gasoline Stations,8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1,30203.1765,30203.1765,,
bls_us,BLS US,4841,General Freight Trucking,10,10. Logistics,Logistics,Downstream,2001,QCEW,1,24304,24304,,
bls_us,BLS US,4842,Specialized Freight Trucking,10,10. Logistics,Logistics,Downstream,2001,QCEW,1,12159,12159,,
bls_us,BLS US,5413,"Architectural, Engineering, and Related Services",6,6. Engineering & Design,Engineering & Design,Upstream,2001,QCEW,0.007242971,603.8682303,83373,,
bls_us,BLS US,5414,Industrial design,6,6. Engineering & Design,Engineering & Design,Upstream,2001,QCEW,0.033671263,114.5496378,3402,,
bls_us,BLS US,5417,Scientific Research and Development,6,6. Engineering & Design,Engineering & Design,Upstream,2001,QCEW,0.00269629,42.28321331,15682,,
bls_us,BLS US,8111,Automotive Repair and Maintenance,9,"9. Dealers, Maintenance, & Repair","Dealers, Maintenance, & Repair",Downstream,2001,QCEW,1,33107,33107,,
bls_us,BLS US,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2002,QCEW,0.088514065,352.108951,3978,,
bls_us,BLS US,3255,"Paint, Coating, and Adhesive Manufacturing",1,1. Materials & Processing,Materials & Processing - Coatings & Surface Treatments,Upstream,2002,QCEW,0.51500968,2122.869902,4122,,
bls_us,BLS US,3261,Plastics Product Manufacturing,1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2002,QCEW,0.23466455,8761.670315,37337,,
bls_us,BLS US,3262,Rubber Product Manufacturing,1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2002,QCEW,0.548001317,3151.555573,5751,,
bls_us,BLS US,3272,Glass and Glass Product Manufacturing,1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2002,QCEW,0.574675959,4847.966393,8436,,
bls_us,BLS US,3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2002,QCEW,0.41555619,2937.151154,7068,,
bls_us,BLS US,3312,Steel Product Manufacturing from Purchased Steel,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2002,QCEW,0.401823231,1041.123993,2591,,
bls_us,BLS US,3313,Alumina and Aluminum Production and Processing,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2002,QCEW,0.320777886,558.795078,1742,,
bls_us,BLS US,3314,Nonferrous Metal (except Aluminum) Production and Processing,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2002,QCEW,0.29324561,688.247446,2347,,
