adjustment_source,forecast_source,projection_label,segment_id,segment_name,year,value_type,employment_auto,employment_raw,auto_share_ratio
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2001,QCEW,30402.003453450743,96567.0,0.3148280826105268
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2001,QCEW,8381.597086643374,69888.0,0.11992898761795122
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2001,QCEW,13346.706934542986,22569.0,0.5913734296842122
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2001,QCEW,15908.563548240605,53878.0,0.2952701204246744
sam_mi,bls_us,BLS US,5,5. Component Systems,2001,QCEW,4625.09371972769,16198.0,0.2855348635465915
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2001,QCEW,760.7010813364587,102457.0,0.007424588669748858
sam_mi,bls_us,BLS US,7,7. Core Automotive,2001,QCEW,304333.0,304333.0,1.0
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2001,QCEW,107590.17649841309,107590.17649841309,1.0
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2001,QCEW,75615.0,75615.0,1.0
sam_mi,bls_us,BLS US,10,10. Logistics,2001,QCEW,36463.0,36463.0,1.0
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2002,QCEW,28412.121417915798,90158.0,0.3151369974701723
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2002,QCEW,7321.47010411828,61235.0,0.11956348663539283
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2002,QCEW,12255.348784527801,20853.0,0.5877019510155758
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2002,QCEW,15193.470420487572,50874.0,0.2986490234793327
sam_mi,bls_us,BLS US,5,5. Component Systems,2002,QCEW,4548.8324732313795,15254.0,0.2982058786699475
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2002,QCEW,732.3878280412131,102250.0,0.007162717144657341
sam_mi,bls_us,BLS US,7,7. Core Automotive,2002,QCEW,283180.0,283180.0,1.0
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2002,QCEW,104826.72777303061,104826.72777303061,1.0
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2002,QCEW,76404.0,76404.0,1.0
sam_mi,bls_us,BLS US,10,10. Logistics,2002,QCEW,35744.0,35744.0,1.0
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2003,QCEW,27749.578274641615,88475.0,0.3136431565373452
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2003,QCEW,6925.564338658108,58385.0,0.11861889763908723
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2003,QCEW,11732.466706616298,20120.0,0.583124587803991
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2003,QCEW,14944.780792488713,49178.0,0.3038915936493699
sam_mi,bls_us,BLS US,5,5. Component Systems,2003,QCEW,4342.599401015572,14725.0,0.2949133718856076
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2003,QCEW,709.273127407324,99969.0,0.007094930702591043
sam_mi,bls_us,BLS US,7,7. Core Automotive,2003,QCEW,261958.0,261958.0,1.0
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2003,QCEW,102056.92998377481,102056.92998377481,1.0
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2003,QCEW,74642.0,74642.0,1.0
sam_mi,bls_us,BLS US,10,10. Logistics,2003,QCEW,34947.0,34947.0,1.0
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2004,QCEW,27040.363510726478,87072.0,0.3105517676259472
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2004,QCEW,6748.251814032855,56958.0,0.11847768204699699
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2004,QCEW,12734.71092502729,21836.0,0.583197972386302
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2004,QCEW,14984.62600102895,49248.0,0.3042687215933429
sam_mi,bls_us,BLS US,5,5. Component Systems,2004,QCEW,4482.971180618899,14908.0,0.3007090944874496
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2004,QCEW,703.4872747793903,98337.0,0.007153841125714536
sam_mi,bls_us,BLS US,7,7. Core Automotive,2004,QCEW,249612.0,249612.0,1.0
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2004,QCEW,100039.40278879802,100039.40278879802,1.0
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2004,QCEW,74365.0,74365.0,1.0
sam_mi,bls_us,BLS US,10,10. Logistics,2004,QCEW,36028.0,36028.0,1.0
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2005,QCEW,26662.192571472133,88546.0,0.301111202894226
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2005,QCEW,6612.348685008659,55729.0,0.11865184526922534
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2005,QCEW,12505.744535294161,21459.0,0.582773872747759
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2005,QCEW,15638.46989757001,50724.0,0.3083051395309914
sam_mi,bls_us,BLS US,5,5. Component Systems,2005,QCEW,4384.700350559753,15615.0,0.2808005347780822
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2005,QCEW,717.3347450509931,97957.0,0.00732295542994368
sam_mi,bls_us,BLS US,7,7. Core Automotive,2005,QCEW,232083.0,232083.0,1.0
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2005,QCEW,99441.06699625652,99441.06699625652,1.0
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2005,QCEW,71952.0,71952.0,1.0
sam_mi,bls_us,BLS US,10,10. Logistics,2005,QCEW,37382.0,37382.0,1.0
