adjustment_source,forecast_source,projection_label,stage,year,value_type,employment_auto,employment_raw,auto_share_ratio
sam_mi,bls_us,BLS US,Core Automotive,2001,QCEW,304333,304333,1
sam_mi,bls_us,BLS US,Downstream,2001,QCEW,219668.1765,219668.1765,1
sam_mi,bls_us,BLS US,Upstream,2001,QCEW,73424.66582,361557,0.203079088
sam_mi,bls_us,BLS US,Core Automotive,2002,QCEW,283180,283180,1
sam_mi,bls_us,BLS US,Downstream,2002,QCEW,216974.7278,216974.7278,1
sam_mi,bls_us,BLS US,Upstream,2002,QCEW,68463.63103,340624,0.200994736
sam_mi,bls_us,BLS US,Core Automotive,2003,QCEW,261958,261958,1
sam_mi,bls_us,BLS US,Downstream,2003,QCEW,211645.93,211645.93,1
sam_mi,bls_us,BLS US,Upstream,2003,QCEW,66404.26264,330852,0.20070685
sam_mi,bls_us,BLS US,Core Automotive,2004,QCEW,249612,249612,1
sam_mi,bls_us,BLS US,Downstream,2004,QCEW,210432.4028,210432.4028,1
sam_mi,bls_us,BLS US,Upstream,2004,QCEW,66694.41071,328359,0.203114307
sam_mi,bls_us,BLS US,Core Automotive,2005,QCEW,232083,232083,1
sam_mi,bls_us,BLS US,Downstream,2005,QCEW,208775.067,208775.067,1
sam_mi,bls_us,BLS US,Upstream,2005,QCEW,66520.79078,330030,0.20155983
sam_mi,bls_us,BLS US,Core Automotive,2006,QCEW,213893,213893,1
sam_mi,bls_us,BLS US,Downstream,2006,QCEW,206478.0744,206478.0744,1
sam_mi,bls_us,BLS US,Upstream,2006,QCEW,64477.0671,322228,0.200097655
sam_mi,bls_us,BLS US,Core Automotive,2007,QCEW,198068,198068,1
sam_mi,bls_us,BLS US,Downstream,2007,QCEW,204309.685,204309.685,1
sam_mi,bls_us,BLS US,Upstream,2007,QCEW,61578.60372,310284,0.198458843
sam_mi,bls_us,BLS US,Core Automotive,2008,QCEW,167000,167000,1
sam_mi,bls_us,BLS US,Downstream,2008,QCEW,198611.593,198611.593,1
sam_mi,bls_us,BLS US,Upstream,2008,QCEW,58646.01881,296339,0.197901791
sam_mi,bls_us,BLS US,Core Automotive,2009,QCEW,122598,122598,1
sam_mi,bls_us,BLS US,Downstream,2009,QCEW,179646.2304,179646.2304,1
sam_mi,bls_us,BLS US,Upstream,2009,QCEW,45504.37629,241139,0.188706001
sam_mi,bls_us,BLS US,Core Automotive,2010,QCEW,126033,126033,1
sam_mi,bls_us,BLS US,Downstream,2010,QCEW,180735.8125,180735.8125,1
sam_mi,bls_us,BLS US,Upstream,2010,QCEW,48272.98184,252657,0.191061328
sam_mi,bls_us,BLS US,Core Automotive,2011,QCEW,137663,137663,1
sam_mi,bls_us,BLS US,Downstream,2011,QCEW,187714.6108,187714.6108,1
sam_mi,bls_us,BLS US,Upstream,2011,QCEW,54019.21299,276858,0.195115232
sam_mi,bls_us,BLS US,Core Automotive,2012,QCEW,150169,150169,1
sam_mi,bls_us,BLS US,Downstream,2012,QCEW,194269.2907,194269.2907,1
sam_mi,bls_us,BLS US,Upstream,2012,QCEW,56634.19569,294855,0.192074734
sam_mi,bls_us,BLS US,Core Automotive,2013,QCEW,160593,160593,1
sam_mi,bls_us,BLS US,Downstream,2013,QCEW,200397.9055,200397.9055,1
sam_mi,bls_us,BLS US,Upstream,2013,QCEW,57742.91609,304713,0.189499352
sam_mi,bls_us,BLS US,Core Automotive,2014,QCEW,170363,170363,1
sam_mi,bls_us,BLS US,Downstream,2014,QCEW,210050.8873,210050.8873,1
sam_mi,bls_us,BLS US,Upstream,2014,QCEW,60251.80329,316828,0.190171965
sam_mi,bls_us,BLS US,Core Automotive,2015,QCEW,166670,166670,1
sam_mi,bls_us,BLS US,Downstream,2015,QCEW,217547.717,217547.717,1
sam_mi,bls_us,BLS US,Upstream,2015,QCEW,62221.15039,337833,0.184177243
sam_mi,bls_us,BLS US,Core Automotive,2016,QCEW,173344,173344,1
sam_mi,bls_us,BLS US,Downstream,2016,QCEW,220883.1859,220883.1859,1
sam_mi,bls_us,BLS US,Upstream,2016,QCEW,62489.37871,343667,0.181831187
sam_mi,bls_us,BLS US,Core Automotive,2017,QCEW,180711,180711,1
sam_mi,bls_us,BLS US,Downstream,2017,QCEW,222321.9302,222321.9302,1
sam_mi,bls_us,BLS US,Upstream,2017,QCEW,63039.85288,338069,0.186470374
sam_mi,bls_us,BLS US,Core Automotive,2018,QCEW,182995,182995,1
sam_mi,bls_us,BLS US,Downstream,2018,QCEW,226562.0778,226562.0778,1
sam_mi,bls_us,BLS US,Upstream,2018,QCEW,64626.5902,346217,0.186664982
sam_mi,bls_us,BLS US,Core Automotive,2019,QCEW,180821,180821,1
sam_mi,bls_us,BLS US,Downstream,2019,QCEW,229051.6657,229051.6657,1
sam_mi,bls_us,BLS US,Upstream,2019,QCEW,64206.38353,345535,0.185817308
sam_mi,bls_us,BLS US,Core Automotive,2020,QCEW,154727,154727,1
