stage_clean,methodology,projection_method,projection_label,occcd,soctitle,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_edu_training_grouped,ep_avg_annual_salary,employment,employment_auto,employment_raw,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,openings,ep_openings_annual_avg,empl_2021,employment_auto_pct_change,employment_raw_pct_change,year
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-1011,Chief Executives,Bachelor's degree,5 years or more,Unreported,BA+,BA+,206420,99.13643240719018,99.13643240719018,238.64667498076125,120.13040997290692,255.6665304378946,-20.99397756571674,-17.019855457133374,6.963546272550616,44.4,320.0,-0.1747598927736243,-0.0665705261771359,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-1021,General and Operations Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,102950,937.5780961413177,937.5780961413177,3663.542908174355,1034.186955837794,3696.503607828711,-96.60885969647626,-32.960699654356176,76.26924866037517,617.4,4120.0,-0.09341527578851883,-0.008916723247489797,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-2021,Marketing Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,161030,92.43943491196177,92.43943491196177,332.4344608238394,101.14265666442395,333.4902917472634,-8.703221752462186,-1.055830923423997,7.542934738861159,68.6,450.0,-0.08604897319770985,-0.003166001978324939,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,138060,543.6906697231685,543.6906697231685,1542.8472354569778,583.4248599691136,1561.2211576094032,-39.7341902459451,-18.373922152425507,42.020256808257514,98.0,790.0,-0.06810506883105498,-0.01176894257605393,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3012,Administrative Services Managers,Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,108390,35.794713195524714,35.794713195524714,251.5582194347631,41.496633442951456,254.48196560222294,-5.701920247426736,-2.9237461674598606,2.992567013103327,46.4,180.0,-0.1374068153086586,-0.011489011256813089,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3013,Facilities Managers,Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,104690,440.00991990916384,440.00991990916384,598.478208531553,487.08124419094196,641.9796675794976,-47.071324281778104,-43.50145904794465,37.65400935365292,26.4,280.0,-0.09663957469757459,-0.06776142804017665,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,171200,289.0451042423405,289.0451042423405,1191.3654190536713,294.7724568690356,1137.0326340443376,-5.727352626695067,54.33278500933375,22.385997765530206,111.2,1270.0,-0.01942974146068088,0.04778471908592123,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,161700,500.14721480811073,500.14721480811073,1375.0392858731284,522.4374550996467,1325.9730264278128,-22.29024029153603,49.06625944531555,39.990334645964694,149.2,1350.0,-0.04266585420695864,0.03700396498826273,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3051,Industrial Production Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,121440,3192.7430782536876,3192.7430782536876,3768.2309767437337,3484.3460136286344,4045.8527984121647,-291.60293537494664,-277.62182166843127,223.57046125363664,34.2,3790.0,-0.08368943102503999,-0.06861886368613972,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-3061,Purchasing Managers,Bachelor's degree,5 years or more,Unreported,BA+,BA+,139510,306.0561911585318,306.0561911585318,704.1192032898397,340.3974403742766,727.6434988456717,-34.341249215744774,-23.524295555831998,23.098580464794857,12.8,790.0,-0.10088574455197313,-0.03232942449585651,2030
