forecast_source,projection_label,stage_key,stage_name,stage_label,base_raw,target_raw,raw_change,base_auto,target_auto,auto_change
bls_us,BLS US,upstream,Upstream,Upstream (segments 1-6),325424.0,327108.08800000005,1684.088000000047,58470.890103656035,57879.35968255288,-591.5304211031544
bls_us,BLS US,core_auto,Core Automotive,Core Automotive (segment 7),173082.0,158280.593,-14801.407000000007,173082.0,158280.593,-14801.407000000007
bls_us,BLS US,downstream,Downstream,Downstream (segments 8-10),231829.0,232620.856,791.8559999999998,231829.0,232620.856,791.8559999999998
bls_us,BLS US,upstream_core,Upstream + Core Automotive,Upstream + Core Automotive (segments 1-7),498506.0,485388.68100000004,-13117.31899999996,231552.89010365604,216159.95268255286,-15392.937421103183
bls_us,BLS US,all_segments,All Segments,All Segments (segments 1-10),730335.0,718009.537,-12325.462999999989,463381.89010365604,448780.80868255283,-14601.081421103212
dtmb_mi,DTMB MI,upstream,Upstream,Upstream (segments 1-6),325424.0,325839.663,415.66300000000047,58470.890103656035,57386.88678202918,-1084.0033216268566
dtmb_mi,DTMB MI,core_auto,Core Automotive,Core Automotive (segment 7),173082.0,167716.45799999996,-5365.542000000045,173082.0,167716.45799999996,-5365.542000000045
dtmb_mi,DTMB MI,downstream,Downstream,Downstream (segments 8-10),231829.0,230328.18299999996,-1500.8170000000391,231829.0,230328.18299999996,-1500.8170000000391
dtmb_mi,DTMB MI,upstream_core,Upstream + Core Automotive,Upstream + Core Automotive (segments 1-7),498506.0,493556.1209999999,-4949.879000000074,231552.89010365604,225103.34478202913,-6449.545321626909
dtmb_mi,DTMB MI,all_segments,All Segments,All Segments (segments 1-10),730335.0,723884.3039999999,-6450.696000000113,463381.89010365604,455431.5277820291,-7950.362321626919
moodys_mi,Moody's MI,upstream,Upstream,Upstream (segments 1-6),325424.0,317947.53800000006,-7476.461999999941,58470.890103656035,54355.18805692923,-4115.702046726801
moodys_mi,Moody's MI,core_auto,Core Automotive,Core Automotive (segment 7),173082.0,174973.012,1891.011999999988,173082.0,174973.012,1891.011999999988
moodys_mi,Moody's MI,downstream,Downstream,Downstream (segments 8-10),231829.0,230375.99699999997,-1453.003000000026,231829.0,230375.99699999997,-1453.003000000026
moodys_mi,Moody's MI,upstream_core,Upstream + Core Automotive,Upstream + Core Automotive (segments 1-7),498506.0,492920.55000000005,-5585.449999999953,231552.89010365604,229328.20005692923,-2224.6900467268133
moodys_mi,Moody's MI,all_segments,All Segments,All Segments (segments 1-10),730335.0,723296.547,-7038.4529999999795,463381.89010365604,459704.19705692923,-3677.6930467268103
moodys_mi_detail,Moody's MI (detail),upstream,Upstream,Upstream (segments 1-6),325424.0,317946.13903297624,-7477.860967023764,58470.890103656035,54351.36185808093,-4119.528245575108
moodys_mi_detail,Moody's MI (detail),core_auto,Core Automotive,Core Automotive (segment 7),173082.0,175004.8842921995,1922.8842921995092,173082.0,175004.8842921995,1922.8842921995092
moodys_mi_detail,Moody's MI (detail),downstream,Downstream,Downstream (segments 8-10),231829.0,230376.8167858846,-1452.1832141153864,231829.0,230376.8167858846,-1452.1832141153864
moodys_mi_detail,Moody's MI (detail),upstream_core,Upstream + Core Automotive,Upstream + Core Automotive (segments 1-7),498506.0,492951.02332517575,-5554.976674824255,231552.89010365604,229356.24615028044,-2196.6439533756056
moodys_mi_detail,Moody's MI (detail),all_segments,All Segments,All Segments (segments 1-10),730335.0,723327.8401110604,-7007.159888939583,463381.89010365604,459733.062936165,-3648.827167491021
moodys_us,Moody's US,upstream,Upstream,Upstream (segments 1-6),325424.0,325058.32700000005,-365.67299999995157,58470.890103656035,55263.02034572746,-3207.8697579285727
moodys_us,Moody's US,core_auto,Core Automotive,Core Automotive (segment 7),173082.0,182431.99199999997,9349.99199999997,173082.0,182431.99199999997,9349.99199999997
moodys_us,Moody's US,downstream,Downstream,Downstream (segments 8-10),231829.0,233573.41900000005,1744.4190000000526,231829.0,233573.41900000005,1744.4190000000526
moodys_us,Moody's US,upstream_core,Upstream + Core Automotive,Upstream + Core Automotive (segments 1-7),498506.0,507490.319,8984.319000000018,231552.89010365604,237695.01234572742,6142.122242071375
moodys_us,Moody's US,all_segments,All Segments,All Segments (segments 1-10),730335.0,741063.7380000001,10728.738000000129,463381.89010365604,471268.43134572747,7886.541242071427
