stage_key,stage_label,education_group,employment_base,employment_target,employment_change,pct_change
upstream,Upstream (segments 1-5),BA+,3397.6580117015965,3289.572053448972,-108.08595825262455,-0.03181190039738388
upstream,Upstream (segments 1-5),HS or Less,13915.00415510471,12753.055944708474,-1161.9482103962364,-0.0835032600381924
upstream,Upstream (segments 1-5),SC or Associate's,946.4785629198811,870.4709045254026,-76.00765839447854,-0.08030573683570322
core_oem,Core/OEM (segments 6-7),BA+,27337.522797950904,28194.144923532524,856.6221255816199,0.031335031045527956
core_oem,Core/OEM (segments 6-7),HS or Less,131119.22881355727,131829.60736374347,710.3785501862003,0.005417806042745346
core_oem,Core/OEM (segments 6-7),SC or Associate's,7999.027271225967,7603.801037652158,-395.2262335738087,-0.04940928692611328
downstream,Downstream (segments 8-10),BA+,30028.79708974516,30891.98978554623,863.1926958010699,0.028745496971500414
downstream,Downstream (segments 8-10),HS or Less,151372.60227047704,151128.8782376363,-243.72403284074971,-0.001610093432926894
downstream,Downstream (segments 8-10),SC or Associate's,52818.6006397778,51197.33039309981,-1621.2702466779883,-0.03069506247874743
upstream_core,Upstream + Core/OEM (segments 1-7),BA+,30735.180809652502,31483.716976981494,748.5361673289917,0.024354376568167482
upstream_core,Upstream + Core/OEM (segments 1-7),HS or Less,145034.232968662,144582.66330845194,-451.56966021005064,-0.003113538445145035
upstream_core,Upstream + Core/OEM (segments 1-7),SC or Associate's,8945.505834145848,8474.27194217756,-471.23389196828794,-0.05267828345374761
all_segments,All Segments (segments 1-10),BA+,60763.97789939766,62375.70676252773,1611.728863130069,0.026524413292995513
all_segments,All Segments (segments 1-10),HS or Less,296406.83523913904,295711.54154608824,-695.2936930508004,-0.002345741090922691
all_segments,All Segments (segments 1-10),SC or Associate's,61764.106473923646,59671.60233527736,-2092.5041386462835,-0.03387896722070647
