stage_key,stage_label,training_group,employment_base,employment_target,employment_change,pct_change
upstream,Upstream (segments 1-5),BA+,3397.6580117015965,3289.572053448972,-108.08595825262455,-0.03181190039738388
upstream,Upstream (segments 1-5),HS or Less - Limited Training,3212.794368331435,2947.063586829626,-265.73078150180936,-0.08271017408431797
upstream,Upstream (segments 1-5),SC/Associate or Employer Training,11648.688349693157,10676.463262404252,-972.2250872889053,-0.0834621940344481
core_oem,Core/OEM (segments 6-7),BA+,27337.522797950904,28194.144923532524,856.6221255816199,0.031335031045527956
core_oem,Core/OEM (segments 6-7),HS or Less - Limited Training,18513.831877204917,18111.26601047366,-402.5658667312564,-0.021744059760362956
core_oem,Core/OEM (segments 6-7),SC/Associate or Employer Training,120604.42420757833,121322.14239092196,717.7181833436334,0.005951010404961037
downstream,Downstream (segments 8-10),BA+,30028.79708974516,30891.98978554623,863.1926958010699,0.028745496971500414
downstream,Downstream (segments 8-10),HS or Less - Limited Training,107837.95788393675,106843.20816290824,-994.7497210285073,-0.009224485891128717
downstream,Downstream (segments 8-10),SC/Associate or Employer Training,96353.2450263181,95483.00046782785,-870.2445584902453,-0.009031813700229246
upstream_core,Upstream + Core/OEM (segments 1-7),BA+,30735.180809652502,31483.716976981494,748.5361673289917,0.024354376568167482
upstream_core,Upstream + Core/OEM (segments 1-7),HS or Less - Limited Training,21726.62624553635,21058.329597303287,-668.296648233063,-0.030759338365769603
upstream_core,Upstream + Core/OEM (segments 1-7),SC/Associate or Employer Training,132253.1125572715,131998.6056533262,-254.50690394529374,-0.001924392545658091
all_segments,All Segments (segments 1-10),BA+,60763.97789939766,62375.70676252773,1611.728863130069,0.026524413292995513
all_segments,All Segments (segments 1-10),HS or Less - Limited Training,129564.5841294731,127901.53776021152,-1663.0463692615886,-0.012835655518329889
all_segments,All Segments (segments 1-10),SC/Associate or Employer Training,228606.3575835896,227481.60612115404,-1124.7514624355535,-0.004920035795698682
